Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C_24_III_1P	78.78438228417906	52.0	140.72418474941202	141	27.27272727272727	48091195.0
C_24_III_2P	75.98221574573347	54.0	140.6904896208131	141	18.181818181818183	48091195.0
C_24_II_1P	78.25173426071025	52.0	140.46614030928563	141	18.181818181818183	58813399.0
C_24_II_2P	75.58889162885785	53.0	140.45160569617818	141	18.181818181818183	58813399.0
C_6_III_1P	78.67848791778762	54.0	140.49964185900117	141	27.27272727272727	51044142.0
C_6_III_2P	75.86649911246751	55.0	140.46681795532973	141	18.181818181818183	51044142.0
C_6_II_1P	75.09881387648855	53.0	140.63257400832683	141	9.090909090909092	43626949.0
C_6_II_2P	72.49433003781087	55.0	140.61732458073106	141	9.090909090909092	43626949.0
T_24_III_1P	77.68925684202367	53.0	140.58726164993183	141	27.27272727272727	43216476.0
T_24_III_2P	74.79437848508013	54.0	140.56001315331682	141	18.181818181818183	43216476.0
T_24_II_1P	80.74105228995671	53.0	140.43422672118996	141	27.27272727272727	52104693.0
T_24_II_2P	78.2625518043202	54.0	140.42266876037442	141	18.181818181818183	52104693.0
T_6_III_1P	76.87732572602904	52.0	140.68133827203735	141	18.181818181818183	50477480.0
T_6_III_2P	73.88910452727757	54.0	140.65639980442765	141	18.181818181818183	50477480.0
T_6_II_1P	78.94007083997037	53.0	140.25130489786503	141	18.181818181818183	54234896.0
T_6_II_2P	76.43994616745289	54.0	140.23829864078655	141	18.181818181818183	54234896.0
