gene_id	C_24_Susc
Zm00001eb000010	276.72
Zm00001eb000020	1819
Zm00001eb000050	0
Zm00001eb000060	157
Zm00001eb000070	0
Zm00001eb000080	212
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	1
Zm00001eb000140	0
Zm00001eb000150	0
Zm00001eb000170	314
Zm00001eb000180	0
Zm00001eb000190	941.62
Zm00001eb000200	559.38
Zm00001eb000210	184
Zm00001eb000220	995
Zm00001eb000230	1046.99
Zm00001eb000240	150.01
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	1
Zm00001eb000320	2339
Zm00001eb000330	67
Zm00001eb000340	5053.17
Zm00001eb000360	0
Zm00001eb000370	2419
Zm00001eb000380	1528
Zm00001eb000390	18
Zm00001eb000400	23
Zm00001eb000410	0
Zm00001eb000420	200
Zm00001eb000430	3.5
Zm00001eb000440	3.5
Zm00001eb000450	1391
Zm00001eb000460	0
Zm00001eb000470	34
Zm00001eb000480	3410
Zm00001eb000490	2122
Zm00001eb000500	112
Zm00001eb000510	86
Zm00001eb000520	1549
Zm00001eb000530	0
Zm00001eb000540	22
Zm00001eb000550	484
Zm00001eb000560	0
Zm00001eb000570	128
Zm00001eb000580	42
Zm00001eb000590	1653
Zm00001eb000600	52
Zm00001eb000620	579
Zm00001eb000630	0
Zm00001eb000640	69
Zm00001eb000650	53
Zm00001eb000660	248
Zm00001eb000670	1156
Zm00001eb000680	16
Zm00001eb000690	920
Zm00001eb000700	829
Zm00001eb000710	286
Zm00001eb000720	93
Zm00001eb000740	187
Zm00001eb000750	29
Zm00001eb000760	2
Zm00001eb000770	1172
Zm00001eb000780	1193
Zm00001eb000790	122.79
Zm00001eb000800	1399.21
Zm00001eb000810	0
Zm00001eb000820	290
Zm00001eb000830	0
Zm00001eb000840	70
Zm00001eb000850	707
Zm00001eb000860	2404
Zm00001eb000870	1777
Zm00001eb000880	636
Zm00001eb000890	435
Zm00001eb000900	99
Zm00001eb000910	364
Zm00001eb000920	1128
Zm00001eb000930	206
Zm00001eb000940	0
Zm00001eb000960	45
Zm00001eb000970	1144
Zm00001eb000980	270
Zm00001eb000990	531
Zm00001eb001000	678
Zm00001eb001010	273.02
Zm00001eb001020	206.98
Zm00001eb001030	0
Zm00001eb001040	523
Zm00001eb001050	247
Zm00001eb001060	50
Zm00001eb001070	336
Zm00001eb001090	17
Zm00001eb001100	0
Zm00001eb001110	992
Zm00001eb001120	104
Zm00001eb001130	147
Zm00001eb001140	31
Zm00001eb001150	272.23
Zm00001eb001160	523.77
Zm00001eb001170	38.69
Zm00001eb001180	24.31
Zm00001eb001190	165
Zm00001eb001200	316
Zm00001eb001210	0
Zm00001eb001220	75
Zm00001eb001230	3
Zm00001eb001240	582
Zm00001eb001250	0
Zm00001eb001260	1284.6
Zm00001eb001270	931.35
Zm00001eb001280	145
Zm00001eb001290	196
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	894.19
Zm00001eb001350	255
Zm00001eb001360	537
Zm00001eb001370	5.17
Zm00001eb001400	2047
Zm00001eb001410	1
Zm00001eb001420	0
Zm00001eb001430	7175
Zm00001eb001440	81
Zm00001eb001460	5143
Zm00001eb001470	216
Zm00001eb001480	0
Zm00001eb001490	60.06
Zm00001eb001500	216.94
Zm00001eb001510	352
Zm00001eb001520	13
Zm00001eb001530	321
Zm00001eb001550	32
Zm00001eb001560	3148
Zm00001eb001570	621
Zm00001eb001580	0
Zm00001eb001590	42
Zm00001eb001600	23
Zm00001eb001610	0
Zm00001eb001620	3
Zm00001eb001630	211
Zm00001eb001640	588
Zm00001eb001650	501
Zm00001eb001660	0
Zm00001eb001670	97
Zm00001eb001680	824
Zm00001eb001690	43
Zm00001eb001700	204
Zm00001eb001710	405
Zm00001eb001720	243
Zm00001eb001740	3
Zm00001eb001760	113
Zm00001eb001770	54
Zm00001eb001780	192
Zm00001eb001790	0
Zm00001eb001800	0
Zm00001eb001810	569
Zm00001eb001820	26
Zm00001eb001830	407.73
Zm00001eb001840	1189.27
Zm00001eb001860	889
Zm00001eb001870	1937
Zm00001eb001880	883
Zm00001eb001890	2
Zm00001eb001900	154
Zm00001eb001910	660
Zm00001eb001920	26
Zm00001eb001940	1248
Zm00001eb001950	183
Zm00001eb001960	0
Zm00001eb001970	3
Zm00001eb001980	138
Zm00001eb001990	30
Zm00001eb002000	561
Zm00001eb002010	140.4
Zm00001eb002020	333.6
Zm00001eb002030	170
Zm00001eb002040	353
Zm00001eb002050	0
Zm00001eb002060	7267
Zm00001eb002070	142
Zm00001eb002080	22
Zm00001eb002090	877
Zm00001eb002100	1895
Zm00001eb002140	0
Zm00001eb002150	17.7
Zm00001eb002170	466
Zm00001eb002180	1430
Zm00001eb002190	4
Zm00001eb002200	17
Zm00001eb002210	3
Zm00001eb002220	3106.85
Zm00001eb002240	75
Zm00001eb002250	5
Zm00001eb002260	1480
Zm00001eb002270	1183
Zm00001eb002280	1
Zm00001eb002290	0
Zm00001eb002300	3
Zm00001eb002310	38
Zm00001eb002320	2645
Zm00001eb002330	3
Zm00001eb002340	0
Zm00001eb002350	0
Zm00001eb002360	0
Zm00001eb002370	0
Zm00001eb002380	5
Zm00001eb002390	55
Zm00001eb002410	0
Zm00001eb002420	1472.44
Zm00001eb002430	1120
Zm00001eb002440	275
Zm00001eb002450	253
Zm00001eb002460	202
Zm00001eb002470	39
Zm00001eb002480	6.29
Zm00001eb002490	801.71
Zm00001eb002510	107
Zm00001eb002520	2662
Zm00001eb002530	1565.24
Zm00001eb002540	342
Zm00001eb002550	274
Zm00001eb002560	171
Zm00001eb002570	408
Zm00001eb002590	914
Zm00001eb002600	6
Zm00001eb002610	629
Zm00001eb002620	4419
Zm00001eb002640	2666
Zm00001eb002650	0
Zm00001eb002660	35
Zm00001eb002680	270
Zm00001eb002690	459.53
Zm00001eb002700	94.46
Zm00001eb002710	0.01
Zm00001eb002720	364
Zm00001eb002730	0
Zm00001eb002740	817
Zm00001eb002750	0
Zm00001eb002760	257
Zm00001eb002770	0
Zm00001eb002780	1541
Zm00001eb002790	1005.14
Zm00001eb002800	1611
Zm00001eb002810	1806
Zm00001eb002820	512
Zm00001eb002830	242
Zm00001eb002840	0
Zm00001eb002850	947
Zm00001eb002860	0
Zm00001eb002870	52
Zm00001eb002880	0
Zm00001eb002890	0
Zm00001eb002900	0
Zm00001eb002910	0
Zm00001eb002920	231.51
Zm00001eb002930	62.49
Zm00001eb002940	255
Zm00001eb002950	289
Zm00001eb002960	3173.44
Zm00001eb002970	0
Zm00001eb002980	7
Zm00001eb002990	0
Zm00001eb003000	201.79
Zm00001eb003010	454.16
Zm00001eb003020	333.05
Zm00001eb003030	527
Zm00001eb003040	886.63
Zm00001eb003050	3.44
Zm00001eb003060	0
Zm00001eb003070	1830.94
Zm00001eb003080	789.77
Zm00001eb003090	17.23
Zm00001eb003100	0
Zm00001eb003110	73
Zm00001eb003120	0
Zm00001eb003130	87
Zm00001eb003140	221
Zm00001eb003150	1
Zm00001eb003160	0
Zm00001eb003170	678
Zm00001eb003180	8529
Zm00001eb003190	313
Zm00001eb003200	53
Zm00001eb003210	2
Zm00001eb003220	918.4
Zm00001eb003230	628.6
Zm00001eb003240	1389
Zm00001eb003270	0
Zm00001eb003280	0
Zm00001eb003290	0
Zm00001eb003300	0
Zm00001eb003310	0
Zm00001eb003330	13
Zm00001eb003340	27
Zm00001eb003350	3561
Zm00001eb003360	1329
Zm00001eb003370	0
Zm00001eb003380	0
Zm00001eb003390	0
Zm00001eb003400	1
Zm00001eb003420	3057
Zm00001eb003440	5176
Zm00001eb003450	2
Zm00001eb003460	42
Zm00001eb003470	885
Zm00001eb003480	854
Zm00001eb003490	3296
Zm00001eb003510	694
Zm00001eb003520	96
Zm00001eb003530	0
Zm00001eb003540	784
Zm00001eb003550	3466
Zm00001eb003560	0
Zm00001eb003570	204.24
Zm00001eb003580	657.05
Zm00001eb003590	79.95
Zm00001eb003600	17
Zm00001eb003610	11
Zm00001eb003620	68
Zm00001eb003630	89
Zm00001eb003650	905
Zm00001eb003660	710
Zm00001eb003670	187
Zm00001eb003680	3
Zm00001eb003690	1200
Zm00001eb003700	191
Zm00001eb003710	0
Zm00001eb003720	0
Zm00001eb003730	37678
Zm00001eb003740	0
Zm00001eb003750	255
Zm00001eb003760	577
Zm00001eb003770	0
Zm00001eb003780	59
Zm00001eb003790	0
Zm00001eb003800	0
Zm00001eb003810	1528
Zm00001eb003820	630
Zm00001eb003830	2950
Zm00001eb003840	986
Zm00001eb003850	16
Zm00001eb003860	17
Zm00001eb003870	101
Zm00001eb003880	679
Zm00001eb003890	540
Zm00001eb003900	127
Zm00001eb003910	220
Zm00001eb003920	31
Zm00001eb003930	7356
Zm00001eb003940	0
Zm00001eb003950	7
Zm00001eb003960	25
Zm00001eb003970	300
Zm00001eb004000	138
Zm00001eb004020	0
Zm00001eb004030	1236
Zm00001eb004040	0
Zm00001eb004050	389
Zm00001eb004060	0
Zm00001eb004070	0
Zm00001eb004080	3
Zm00001eb004090	1460
Zm00001eb004100	0
Zm00001eb004110	234
Zm00001eb004120	1138
Zm00001eb004130	0
Zm00001eb004140	54.25
Zm00001eb004150	14.75
Zm00001eb004160	529
Zm00001eb004170	3438
Zm00001eb004180	40
Zm00001eb004190	182
Zm00001eb004200	0
Zm00001eb004210	517
Zm00001eb004220	0
Zm00001eb004230	0
Zm00001eb004240	143
Zm00001eb004250	166
Zm00001eb004260	74
Zm00001eb004280	111
Zm00001eb004290	524
Zm00001eb004300	4
Zm00001eb004310	356
Zm00001eb004320	662.88
Zm00001eb004330	0
Zm00001eb004340	264.87
Zm00001eb004350	2.13
Zm00001eb004360	0
Zm00001eb004370	1404
Zm00001eb004380	0
Zm00001eb004390	2241
Zm00001eb004400	1943.87
Zm00001eb004410	38.13
Zm00001eb004420	5870
Zm00001eb004430	283.24
Zm00001eb004440	336.76
Zm00001eb004450	3.92
Zm00001eb004460	64.08
Zm00001eb004470	637
Zm00001eb004480	130
Zm00001eb004490	765
Zm00001eb004500	439
Zm00001eb004510	49
Zm00001eb004530	5
Zm00001eb004540	370
Zm00001eb004550	2646
Zm00001eb004560	35.82
Zm00001eb004570	103.99
Zm00001eb004590	222
Zm00001eb004600	0
Zm00001eb004610	0
Zm00001eb004630	41
Zm00001eb004640	0
Zm00001eb004650	19
Zm00001eb004660	5417
Zm00001eb004670	28
Zm00001eb004690	0
Zm00001eb004710	0
Zm00001eb004720	37.58
Zm00001eb004730	2410.42
Zm00001eb004740	49.31
Zm00001eb004750	276.69
Zm00001eb004760	32
Zm00001eb004770	77
Zm00001eb004780	187
Zm00001eb004790	1079
Zm00001eb004800	0
Zm00001eb004810	0
Zm00001eb004820	0
Zm00001eb004830	0
Zm00001eb004840	0
Zm00001eb004850	0
Zm00001eb004860	0
Zm00001eb004880	0
Zm00001eb004890	11
Zm00001eb004900	0
Zm00001eb004920	0
Zm00001eb004940	885
Zm00001eb004950	0
Zm00001eb004960	501.95
Zm00001eb004970	0
Zm00001eb004980	0
Zm00001eb004990	340
Zm00001eb005000	147
Zm00001eb005010	172
Zm00001eb005020	1073
Zm00001eb005030	557
Zm00001eb005040	0
Zm00001eb005060	107.58
Zm00001eb005070	1249
Zm00001eb005080	0
Zm00001eb005100	73
Zm00001eb005110	6
Zm00001eb005120	2
Zm00001eb005130	2599
Zm00001eb005140	1798
Zm00001eb005150	0
Zm00001eb005160	0
Zm00001eb005170	5.14
Zm00001eb005180	9.86
Zm00001eb005190	521
Zm00001eb005200	0
Zm00001eb005210	0
Zm00001eb005220	1303
Zm00001eb005230	273
Zm00001eb005240	0
Zm00001eb005250	22
Zm00001eb005260	0
Zm00001eb005270	0
Zm00001eb005280	525
Zm00001eb005290	0
Zm00001eb005300	20
Zm00001eb005310	74
Zm00001eb005320	1330
Zm00001eb005330	1387
Zm00001eb005340	569
Zm00001eb005350	5
Zm00001eb005360	107.96
Zm00001eb005370	411.04
Zm00001eb005380	114
Zm00001eb005390	97
Zm00001eb005400	341
Zm00001eb005410	0
Zm00001eb005420	318
Zm00001eb005430	972
Zm00001eb005440	298
Zm00001eb005450	31
Zm00001eb005460	1031
Zm00001eb005470	0
Zm00001eb005480	0
Zm00001eb005490	0
Zm00001eb005500	61
Zm00001eb005510	0
Zm00001eb005530	1388
Zm00001eb005540	2
Zm00001eb005550	2749
