gene_id	C_24_Tol
Zm00001eb000010	346
Zm00001eb000020	1344
Zm00001eb000050	1
Zm00001eb000060	0
Zm00001eb000070	0
Zm00001eb000080	354
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	18
Zm00001eb000140	1
Zm00001eb000150	0
Zm00001eb000170	640
Zm00001eb000180	0
Zm00001eb000190	1435.14
Zm00001eb000200	365.66
Zm00001eb000210	247
Zm00001eb000220	875
Zm00001eb000230	880.74
Zm00001eb000240	216.26
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	0
Zm00001eb000320	2533
Zm00001eb000330	58
Zm00001eb000340	7130.96
Zm00001eb000360	0
Zm00001eb000370	1748
Zm00001eb000380	1788
Zm00001eb000390	15
Zm00001eb000400	67.72
Zm00001eb000410	3.28
Zm00001eb000420	231
Zm00001eb000430	182.88
Zm00001eb000440	26.12
Zm00001eb000450	1516
Zm00001eb000460	0
Zm00001eb000470	27
Zm00001eb000480	5044
Zm00001eb000490	4432
Zm00001eb000500	210
Zm00001eb000510	61
Zm00001eb000520	1571
Zm00001eb000530	0
Zm00001eb000540	11
Zm00001eb000550	375
Zm00001eb000560	16.29
Zm00001eb000570	184
Zm00001eb000580	14
Zm00001eb000590	1756
Zm00001eb000600	155
Zm00001eb000620	516
Zm00001eb000630	0
Zm00001eb000640	54
Zm00001eb000650	67
Zm00001eb000660	159
Zm00001eb000670	1257
Zm00001eb000680	32
Zm00001eb000690	1017
Zm00001eb000700	1554
Zm00001eb000710	235
Zm00001eb000720	48
Zm00001eb000740	226
Zm00001eb000750	54
Zm00001eb000760	2
Zm00001eb000770	366
Zm00001eb000780	1326
Zm00001eb000790	137.01
Zm00001eb000800	1992.99
Zm00001eb000810	0
Zm00001eb000820	528
Zm00001eb000830	0
Zm00001eb000840	620
Zm00001eb000850	93
Zm00001eb000860	2991
Zm00001eb000870	2207
Zm00001eb000880	512
Zm00001eb000890	365
Zm00001eb000900	176
Zm00001eb000910	371
Zm00001eb000920	1452
Zm00001eb000930	159.41
Zm00001eb000940	4.59
Zm00001eb000960	56
Zm00001eb000970	979
Zm00001eb000980	183
Zm00001eb000990	510
Zm00001eb001000	690
Zm00001eb001010	398.35
Zm00001eb001020	51.65
Zm00001eb001030	0
Zm00001eb001040	905
Zm00001eb001050	221
Zm00001eb001060	127
Zm00001eb001070	517
Zm00001eb001090	17
Zm00001eb001100	0
Zm00001eb001110	1126
Zm00001eb001120	12
Zm00001eb001130	178
Zm00001eb001140	68
Zm00001eb001150	294.32
Zm00001eb001160	575.68
Zm00001eb001170	464.73
Zm00001eb001180	86.27
Zm00001eb001190	233
Zm00001eb001200	372
Zm00001eb001210	0
Zm00001eb001220	68
Zm00001eb001230	6
Zm00001eb001240	484
Zm00001eb001250	0
Zm00001eb001260	1354.43
Zm00001eb001270	543.46
Zm00001eb001280	273
Zm00001eb001290	192
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	686
Zm00001eb001350	109
Zm00001eb001360	599
Zm00001eb001370	23.86
Zm00001eb001400	2075
Zm00001eb001410	0
Zm00001eb001420	1
Zm00001eb001430	10153
Zm00001eb001440	24
Zm00001eb001460	6205
Zm00001eb001470	281
Zm00001eb001480	0
Zm00001eb001490	90.59
Zm00001eb001500	507.41
Zm00001eb001510	387
Zm00001eb001520	4
Zm00001eb001530	354
Zm00001eb001550	29
Zm00001eb001560	2993
Zm00001eb001570	1034
Zm00001eb001580	0
Zm00001eb001590	47
Zm00001eb001600	49
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	292
Zm00001eb001640	913
Zm00001eb001650	490
Zm00001eb001660	1.11
Zm00001eb001670	49
Zm00001eb001680	836
Zm00001eb001690	10
Zm00001eb001700	475
Zm00001eb001710	251
Zm00001eb001720	554
Zm00001eb001740	0
Zm00001eb001760	106
Zm00001eb001770	131
Zm00001eb001780	199
Zm00001eb001790	0
Zm00001eb001800	0
Zm00001eb001810	266
Zm00001eb001820	26
Zm00001eb001830	649.62
Zm00001eb001840	1443.38
Zm00001eb001860	2224
Zm00001eb001870	781
Zm00001eb001880	969
Zm00001eb001890	0
Zm00001eb001900	181
Zm00001eb001910	1032
Zm00001eb001920	62
Zm00001eb001940	513
Zm00001eb001950	480
Zm00001eb001960	0
Zm00001eb001970	20
Zm00001eb001980	364
Zm00001eb001990	34
Zm00001eb002000	598
Zm00001eb002010	135.59
Zm00001eb002020	333.41
Zm00001eb002030	206
Zm00001eb002040	650
Zm00001eb002050	0
Zm00001eb002060	4140
Zm00001eb002070	76
Zm00001eb002080	1
Zm00001eb002090	1097
Zm00001eb002100	1516
Zm00001eb002140	0
Zm00001eb002150	22.51
Zm00001eb002170	612
Zm00001eb002180	2206
Zm00001eb002190	9
Zm00001eb002200	86
Zm00001eb002210	0
Zm00001eb002220	2923.25
Zm00001eb002240	76
Zm00001eb002250	9
Zm00001eb002260	2253
Zm00001eb002270	1076
Zm00001eb002280	0
Zm00001eb002290	4
Zm00001eb002300	1
Zm00001eb002310	17
Zm00001eb002320	3029
Zm00001eb002330	33
Zm00001eb002340	0
Zm00001eb002350	0
Zm00001eb002360	0
Zm00001eb002370	0
Zm00001eb002380	4
Zm00001eb002390	36
Zm00001eb002410	0
Zm00001eb002420	1822.83
Zm00001eb002430	1719
Zm00001eb002440	331
Zm00001eb002450	283
Zm00001eb002460	186
Zm00001eb002470	48
Zm00001eb002480	14.56
Zm00001eb002490	1137.44
Zm00001eb002510	121
Zm00001eb002520	1492
Zm00001eb002530	2028
Zm00001eb002540	630
Zm00001eb002550	575
Zm00001eb002560	333
Zm00001eb002570	330
Zm00001eb002590	563
Zm00001eb002600	44
Zm00001eb002610	529
Zm00001eb002620	5551
Zm00001eb002640	3783
Zm00001eb002650	0
Zm00001eb002660	48
Zm00001eb002680	146
Zm00001eb002690	1142.77
Zm00001eb002700	103.23
Zm00001eb002710	0
Zm00001eb002720	418.32
Zm00001eb002730	30.68
Zm00001eb002740	817
Zm00001eb002750	0
Zm00001eb002760	207
Zm00001eb002770	6.9
Zm00001eb002780	1027
Zm00001eb002790	1119.23
Zm00001eb002800	2169
Zm00001eb002810	2053
Zm00001eb002820	533
Zm00001eb002830	954
Zm00001eb002840	2.18
Zm00001eb002850	1723.82
Zm00001eb002860	2
Zm00001eb002870	43
Zm00001eb002880	3
Zm00001eb002890	0
Zm00001eb002900	0
Zm00001eb002910	625.12
