gene_id	C_6_Tol
Zm00001eb000010	250
Zm00001eb000020	918
Zm00001eb000050	4
Zm00001eb000060	0
Zm00001eb000070	0
Zm00001eb000080	242
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	17
Zm00001eb000140	0
Zm00001eb000150	0
Zm00001eb000170	461
Zm00001eb000180	0
Zm00001eb000190	916.69
Zm00001eb000200	211.31
Zm00001eb000210	245
Zm00001eb000220	560
Zm00001eb000230	598.6
Zm00001eb000240	179.4
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	0
Zm00001eb000320	1864
Zm00001eb000330	80
Zm00001eb000340	4490.32
Zm00001eb000360	0
Zm00001eb000370	944
Zm00001eb000380	486
Zm00001eb000390	6
Zm00001eb000400	47.84
Zm00001eb000410	3.16
Zm00001eb000420	80
Zm00001eb000430	119.52
Zm00001eb000440	23.48
Zm00001eb000450	2190
Zm00001eb000460	0
Zm00001eb000470	76
Zm00001eb000480	3703
Zm00001eb000490	1947
Zm00001eb000500	170
Zm00001eb000510	109
Zm00001eb000520	1309
Zm00001eb000530	0
Zm00001eb000540	20
Zm00001eb000550	186
Zm00001eb000560	15
Zm00001eb000570	72
Zm00001eb000580	82
Zm00001eb000590	1445
Zm00001eb000600	190
Zm00001eb000620	586
Zm00001eb000630	0
Zm00001eb000640	40
Zm00001eb000650	66
Zm00001eb000660	122
Zm00001eb000670	1483
Zm00001eb000680	46
Zm00001eb000690	915
Zm00001eb000700	899
Zm00001eb000710	193
Zm00001eb000720	61
Zm00001eb000740	211
Zm00001eb000750	22
Zm00001eb000760	0
Zm00001eb000770	1167
Zm00001eb000780	859
Zm00001eb000790	134.86
Zm00001eb000800	1165.14
Zm00001eb000810	0
Zm00001eb000820	454
Zm00001eb000830	0
Zm00001eb000840	371
Zm00001eb000850	130
Zm00001eb000860	2302
Zm00001eb000870	1859
Zm00001eb000880	397
Zm00001eb000890	235
Zm00001eb000900	109
Zm00001eb000910	213
Zm00001eb000920	1470
Zm00001eb000930	97.81
Zm00001eb000940	6.19
Zm00001eb000960	49
Zm00001eb000970	586.91
Zm00001eb000980	202
Zm00001eb000990	326
Zm00001eb001000	780
Zm00001eb001010	507.78
Zm00001eb001020	86.22
Zm00001eb001030	0
Zm00001eb001040	826
Zm00001eb001050	113
Zm00001eb001060	48
Zm00001eb001070	439
Zm00001eb001090	10
Zm00001eb001100	0
Zm00001eb001110	761
Zm00001eb001120	10
Zm00001eb001130	213
Zm00001eb001140	43
Zm00001eb001150	165.89
Zm00001eb001160	403.11
Zm00001eb001170	235.64
Zm00001eb001180	69.36
Zm00001eb001190	195
Zm00001eb001200	286
Zm00001eb001210	1
Zm00001eb001220	32
Zm00001eb001230	0
Zm00001eb001240	557
Zm00001eb001250	0
Zm00001eb001260	764.4
Zm00001eb001270	329.64
Zm00001eb001280	79
Zm00001eb001290	180
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	492
Zm00001eb001350	109
Zm00001eb001360	403
Zm00001eb001370	30.69
Zm00001eb001400	1698
Zm00001eb001410	0
Zm00001eb001420	2
Zm00001eb001430	7260.99
Zm00001eb001440	48
Zm00001eb001460	3867
Zm00001eb001470	178
Zm00001eb001480	0
Zm00001eb001490	57.93
Zm00001eb001500	177.07
Zm00001eb001510	204
Zm00001eb001520	4
Zm00001eb001530	263
Zm00001eb001550	31
Zm00001eb001560	1865
Zm00001eb001570	1125
Zm00001eb001580	0
Zm00001eb001590	31
Zm00001eb001600	52
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	107
Zm00001eb001640	438
Zm00001eb001650	315
Zm00001eb001660	0
Zm00001eb001670	48
Zm00001eb001680	612
Zm00001eb001690	26
Zm00001eb001700	247
Zm00001eb001710	296
Zm00001eb001720	462
Zm00001eb001740	0
Zm00001eb001760	120
Zm00001eb001770	60
Zm00001eb001780	141
Zm00001eb001790	0
Zm00001eb001800	0
Zm00001eb001810	437
Zm00001eb001820	22
Zm00001eb001830	216.62
Zm00001eb001840	999.38
Zm00001eb001860	1082
Zm00001eb001870	477
Zm00001eb001880	593
Zm00001eb001890	7
Zm00001eb001900	142
Zm00001eb001910	670
Zm00001eb001920	22
Zm00001eb001940	535
Zm00001eb001950	164
Zm00001eb001960	0
Zm00001eb001970	11
Zm00001eb001980	212
Zm00001eb001990	28
Zm00001eb002000	360
Zm00001eb002010	84.28
Zm00001eb002020	191.72
Zm00001eb002030	196
Zm00001eb002040	616
Zm00001eb002050	0
Zm00001eb002060	3319
Zm00001eb002070	70
Zm00001eb002080	2
Zm00001eb002090	1562
Zm00001eb002100	793
Zm00001eb002140	0
Zm00001eb002150	17.79
Zm00001eb002170	338
Zm00001eb002180	2020
Zm00001eb002190	3
Zm00001eb002200	31
Zm00001eb002210	0
Zm00001eb002220	2481.16
Zm00001eb002240	68
Zm00001eb002250	6
Zm00001eb002260	1878
Zm00001eb002270	384
Zm00001eb002280	0
Zm00001eb002290	0
Zm00001eb002300	2
Zm00001eb002310	13
Zm00001eb002320	2162
Zm00001eb002330	13
Zm00001eb002340	0
Zm00001eb002350	0
Zm00001eb002360	0
Zm00001eb002370	0
Zm00001eb002380	18
Zm00001eb002390	50
Zm00001eb002410	0
Zm00001eb002420	1172.74
Zm00001eb002430	981
Zm00001eb002440	256
Zm00001eb002450	217
Zm00001eb002460	167
Zm00001eb002470	50
Zm00001eb002480	10.17
Zm00001eb002490	1004.83
Zm00001eb002510	256
Zm00001eb002520	737
Zm00001eb002530	1648
Zm00001eb002540	334
Zm00001eb002550	503
Zm00001eb002560	261
Zm00001eb002570	703
Zm00001eb002590	724
Zm00001eb002600	36
Zm00001eb002610	571
Zm00001eb002620	4653
Zm00001eb002640	2120
Zm00001eb002650	0
Zm00001eb002660	70
Zm00001eb002680	115
Zm00001eb002690	1099.24
Zm00001eb002700	46.98
Zm00001eb002710	31.78
Zm00001eb002720	237.01
Zm00001eb002730	28.99
Zm00001eb002740	610
Zm00001eb002750	0
Zm00001eb002760	159
Zm00001eb002770	7.06
Zm00001eb002780	1919
Zm00001eb002790	957.69
Zm00001eb002800	1849
Zm00001eb002810	1058
Zm00001eb002820	260
Zm00001eb002830	434
Zm00001eb002840	0
Zm00001eb002850	1305
Zm00001eb002860	7
Zm00001eb002870	31
Zm00001eb002880	0
Zm00001eb002890	0
Zm00001eb002900	0
Zm00001eb002910	451.93
Zm00001eb002920	246.63
Zm00001eb002930	98.37
Zm00001eb002940	210
Zm00001eb002950	231
Zm00001eb002960	3398.69
Zm00001eb002970	0
Zm00001eb002980	2
Zm00001eb002990	0
Zm00001eb003000	212.8
Zm00001eb003010	335.4
Zm00001eb003020	416.8
Zm00001eb003030	436
Zm00001eb003040	86.07
Zm00001eb003050	0
Zm00001eb003060	0
Zm00001eb003070	702
Zm00001eb003080	507.93
Zm00001eb003090	12.07
Zm00001eb003100	0
Zm00001eb003110	147
Zm00001eb003120	0
Zm00001eb003130	77
Zm00001eb003140	42.53
Zm00001eb003150	2.47
Zm00001eb003160	0
Zm00001eb003170	1126
Zm00001eb003180	4635
Zm00001eb003190	126
Zm00001eb003200	68
Zm00001eb003210	0
Zm00001eb003220	1395.68
Zm00001eb003230	64.32
Zm00001eb003240	1022
Zm00001eb003270	0
Zm00001eb003280	0
Zm00001eb003290	0
Zm00001eb003300	0
Zm00001eb003310	4.94
Zm00001eb003330	7
Zm00001eb003340	19
Zm00001eb003350	1888
Zm00001eb003360	1082
Zm00001eb003370	0
Zm00001eb003380	0
Zm00001eb003390	0
Zm00001eb003400	1
Zm00001eb003420	1429
Zm00001eb003440	2183
Zm00001eb003450	7
Zm00001eb003460	54
Zm00001eb003470	215
Zm00001eb003480	1116
Zm00001eb003490	5642
Zm00001eb003510	516
Zm00001eb003520	145
Zm00001eb003530	0
Zm00001eb003540	974
Zm00001eb003550	2871
Zm00001eb003560	9
Zm00001eb003570	13.42
Zm00001eb003580	550.87
Zm00001eb003590	87.13
Zm00001eb003600	7
Zm00001eb003610	8
Zm00001eb003620	20
Zm00001eb003630	52
Zm00001eb003650	777
Zm00001eb003660	914
Zm00001eb003670	311
Zm00001eb003680	2
Zm00001eb003690	913
Zm00001eb003700	345
Zm00001eb003710	0
Zm00001eb003720	0
Zm00001eb003730	51613
Zm00001eb003740	0
Zm00001eb003750	214
Zm00001eb003760	136
Zm00001eb003770	2
Zm00001eb003780	101
Zm00001eb003790	0
Zm00001eb003800	0
Zm00001eb003810	1560.56
Zm00001eb003820	2
Zm00001eb003830	3355
Zm00001eb003840	929
Zm00001eb003850	66
Zm00001eb003860	26
Zm00001eb003870	79
Zm00001eb003880	460
Zm00001eb003890	452
Zm00001eb003900	84
Zm00001eb003910	567
Zm00001eb003920	147
Zm00001eb003930	3273.16
Zm00001eb003940	0
Zm00001eb003950	0
Zm00001eb003960	12
Zm00001eb003970	319
Zm00001eb004000	115
Zm00001eb004020	0
Zm00001eb004030	1321
Zm00001eb004040	0
Zm00001eb004050	298
Zm00001eb004060	0
Zm00001eb004070	3
Zm00001eb004080	0
Zm00001eb004090	417
Zm00001eb004100	0
Zm00001eb004110	2
Zm00001eb004120	1194
Zm00001eb004130	0
Zm00001eb004140	65.22
Zm00001eb004150	2.78
Zm00001eb004160	465
Zm00001eb004170	2548.84
Zm00001eb004180	42
Zm00001eb004190	131
Zm00001eb004200	4
Zm00001eb004210	1057
Zm00001eb004220	0
Zm00001eb004230	0
Zm00001eb004240	241
Zm00001eb004250	211.71
Zm00001eb004260	53
Zm00001eb004280	9
Zm00001eb004290	965
Zm00001eb004300	1
Zm00001eb004310	430
Zm00001eb004320	529.57
Zm00001eb004330	0
Zm00001eb004340	105
Zm00001eb004350	0
Zm00001eb004360	0
Zm00001eb004370	1186
Zm00001eb004380	0
Zm00001eb004390	3361
Zm00001eb004400	1503.95
Zm00001eb004410	44.05
Zm00001eb004420	7336
Zm00001eb004430	495
Zm00001eb004440	175
Zm00001eb004450	7.91
Zm00001eb004460	26.09
Zm00001eb004470	154
Zm00001eb004480	88
Zm00001eb004490	526
Zm00001eb004500	580.57
Zm00001eb004510	56
Zm00001eb004530	6
Zm00001eb004540	356
Zm00001eb004550	3524
Zm00001eb004560	89.43
Zm00001eb004570	203.84
Zm00001eb004590	188
Zm00001eb004600	0
Zm00001eb004610	0
Zm00001eb004630	201
Zm00001eb004640	0.5
Zm00001eb004650	14
Zm00001eb004660	3653
Zm00001eb004670	8
Zm00001eb004690	0
Zm00001eb004710	1
Zm00001eb004720	44.36
Zm00001eb004730	2063.64
Zm00001eb004740	36.64
Zm00001eb004750	291.36
Zm00001eb004760	60
Zm00001eb004770	136
Zm00001eb004780	250
Zm00001eb004790	828
Zm00001eb004800	0
Zm00001eb004810	0
Zm00001eb004820	0
Zm00001eb004830	0
Zm00001eb004840	0
Zm00001eb004850	0
Zm00001eb004860	0
Zm00001eb004880	0
Zm00001eb004890	0
Zm00001eb004900	0
Zm00001eb004920	0
Zm00001eb004940	663
Zm00001eb004950	0
Zm00001eb004960	0
Zm00001eb004970	0
Zm00001eb004980	0
Zm00001eb004990	328
Zm00001eb005000	133
Zm00001eb005010	211
Zm00001eb005020	635
Zm00001eb005030	596
Zm00001eb005040	0
Zm00001eb005060	63.92
Zm00001eb005070	1834
Zm00001eb005080	0
Zm00001eb005100	42
Zm00001eb005110	21
Zm00001eb005120	1
Zm00001eb005130	1843
Zm00001eb005140	1480
Zm00001eb005150	1
Zm00001eb005160	0
Zm00001eb005170	13.85
Zm00001eb005180	165.15
Zm00001eb005190	486
Zm00001eb005200	0
Zm00001eb005210	7
Zm00001eb005220	833
Zm00001eb005230	202
Zm00001eb005240	0
Zm00001eb005250	29
Zm00001eb005260	0
Zm00001eb005270	8
Zm00001eb005280	543
Zm00001eb005290	0
Zm00001eb005300	1
Zm00001eb005310	47
Zm00001eb005320	507
Zm00001eb005330	982
Zm00001eb005340	291
Zm00001eb005350	10
Zm00001eb005360	86.45
Zm00001eb005370	464.55
Zm00001eb005380	48
Zm00001eb005390	61
Zm00001eb005400	484.51
Zm00001eb005410	0
Zm00001eb005420	230
Zm00001eb005430	444
Zm00001eb005440	227
Zm00001eb005450	14
Zm00001eb005460	1779
Zm00001eb005470	0
Zm00001eb005480	0
Zm00001eb005490	5
Zm00001eb005500	63
Zm00001eb005510	0
Zm00001eb005530	1034
Zm00001eb005540	1
Zm00001eb005550	4763
Zm00001eb005560	0
Zm00001eb005570	29
Zm00001eb005580	9
Zm00001eb005590	0
Zm00001eb005600	224
Zm00001eb005610	0
Zm00001eb005630	654
Zm00001eb005640	22
Zm00001eb005650	14
Zm00001eb005660	1785
Zm00001eb005670	141
Zm00001eb005680	17
Zm00001eb005690	140
Zm00001eb005700	642
Zm00001eb005710	502
Zm00001eb005740	14
Zm00001eb005760	45
Zm00001eb005770	214
Zm00001eb005780	66
Zm00001eb005800	11
Zm00001eb005810	70.2
Zm00001eb005820	1006.05
Zm00001eb005830	69.75
Zm00001eb005840	787
Zm00001eb005850	353
Zm00001eb005860	303
Zm00001eb005870	0
Zm00001eb005890	35
Zm00001eb005900	152
Zm00001eb005920	741
Zm00001eb005930	641
Zm00001eb005940	0
Zm00001eb005950	940
Zm00001eb005960	3953
Zm00001eb005970	23
Zm00001eb005980	46
Zm00001eb005990	39
Zm00001eb006000	672
Zm00001eb006010	98
Zm00001eb006020	7507
Zm00001eb006030	0
Zm00001eb006040	323
Zm00001eb006050	8
Zm00001eb006060	0
Zm00001eb006070	5
Zm00001eb006080	819
Zm00001eb006090	25
Zm00001eb006100	5
Zm00001eb006110	0
Zm00001eb006120	1.65
Zm00001eb006130	0
Zm00001eb006140	777
Zm00001eb006150	287
Zm00001eb006160	114
Zm00001eb006170	0
Zm00001eb006180	797
Zm00001eb006190	2
Zm00001eb006200	10
Zm00001eb006210	349
Zm00001eb006240	0
Zm00001eb006260	0
Zm00001eb006270	1177
Zm00001eb006280	3
Zm00001eb006290	2
Zm00001eb006300	1287.68
Zm00001eb006310	168
Zm00001eb006320	87
Zm00001eb006330	53
Zm00001eb006340	15
Zm00001eb006350	3600
Zm00001eb006360	164
Zm00001eb006370	0
Zm00001eb006380	656
Zm00001eb006390	573
Zm00001eb006400	495
Zm00001eb006410	1650
Zm00001eb006420	558.78
Zm00001eb006430	3
Zm00001eb006440	1125.22
Zm00001eb006450	312
Zm00001eb006460	0
Zm00001eb006470	1095
Zm00001eb006480	34
Zm00001eb006490	0
Zm00001eb006510	667
Zm00001eb006520	116
Zm00001eb006530	1313
Zm00001eb006540	574.55
Zm00001eb006550	47.45
Zm00001eb006560	787
Zm00001eb006570	560
Zm00001eb006590	102
Zm00001eb006600	0
Zm00001eb006610	361
Zm00001eb006620	657
Zm00001eb006630	0
Zm00001eb006640	5
Zm00001eb006650	0
Zm00001eb006660	170
Zm00001eb006670	16
Zm00001eb006680	227
Zm00001eb006690	158
Zm00001eb006700	423.64
Zm00001eb006710	58.36
Zm00001eb006720	146
Zm00001eb006730	0
Zm00001eb006740	1
Zm00001eb006760	98
Zm00001eb006770	1525
Zm00001eb006780	0
Zm00001eb006790	0
Zm00001eb006800	0
Zm00001eb006830	143
Zm00001eb006840	0
Zm00001eb006850	377
Zm00001eb006860	148
Zm00001eb006870	858
Zm00001eb006880	534
Zm00001eb006890	26
Zm00001eb006900	0
Zm00001eb006910	693
Zm00001eb006920	766
Zm00001eb006930	214
Zm00001eb006940	12
Zm00001eb006950	0
Zm00001eb006960	3
Zm00001eb006970	0
Zm00001eb006990	0
Zm00001eb007000	63.87
Zm00001eb007010	402
Zm00001eb007020	0
Zm00001eb007030	608
Zm00001eb007040	0
Zm00001eb007050	1284
Zm00001eb007060	90
Zm00001eb007070	225
Zm00001eb007080	0
Zm00001eb007090	1846
Zm00001eb007100	0
Zm00001eb007110	0
Zm00001eb007120	0
Zm00001eb007130	341
