gene_id	T_24_Susc
Zm00001eb000010	164.97
Zm00001eb000020	1608
Zm00001eb000050	0
Zm00001eb000060	66
Zm00001eb000070	0
Zm00001eb000080	130
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	1
Zm00001eb000140	0
Zm00001eb000150	0
Zm00001eb000170	214
Zm00001eb000180	0
Zm00001eb000190	639.86
Zm00001eb000200	961.14
Zm00001eb000210	174
Zm00001eb000220	815
Zm00001eb000230	586.24
Zm00001eb000240	132.76
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	0
Zm00001eb000320	1475
Zm00001eb000330	47
Zm00001eb000340	4202.69
Zm00001eb000360	0
Zm00001eb000370	1672
Zm00001eb000380	213
Zm00001eb000390	32
Zm00001eb000400	8
Zm00001eb000410	1
Zm00001eb000420	151
Zm00001eb000430	9.5
Zm00001eb000440	9.5
Zm00001eb000450	4481
Zm00001eb000460	0
Zm00001eb000470	51
Zm00001eb000480	4566
Zm00001eb000490	1847
Zm00001eb000500	82
Zm00001eb000510	65
Zm00001eb000520	1137
Zm00001eb000530	0
Zm00001eb000540	9
Zm00001eb000550	357
Zm00001eb000560	0
Zm00001eb000570	19
Zm00001eb000580	64
Zm00001eb000590	1528
Zm00001eb000600	91
Zm00001eb000620	489
Zm00001eb000630	0
Zm00001eb000640	66
Zm00001eb000650	30
Zm00001eb000660	480
Zm00001eb000670	716
Zm00001eb000680	8
Zm00001eb000690	952
Zm00001eb000700	729
Zm00001eb000710	217
Zm00001eb000720	55
Zm00001eb000740	151
Zm00001eb000750	10
Zm00001eb000760	0
Zm00001eb000770	799
Zm00001eb000780	967
Zm00001eb000790	107.51
Zm00001eb000800	1202.49
Zm00001eb000810	0
Zm00001eb000820	260
Zm00001eb000830	1
Zm00001eb000840	103
Zm00001eb000850	216
Zm00001eb000860	1639
Zm00001eb000870	1978
Zm00001eb000880	793
Zm00001eb000890	263
Zm00001eb000900	79
Zm00001eb000910	230
Zm00001eb000920	838
Zm00001eb000930	120
Zm00001eb000940	0
Zm00001eb000960	20
Zm00001eb000970	1253.48
Zm00001eb000980	307
Zm00001eb000990	385
Zm00001eb001000	445
Zm00001eb001010	211.04
Zm00001eb001020	139.96
Zm00001eb001030	0
Zm00001eb001040	774
Zm00001eb001050	273
Zm00001eb001060	18
Zm00001eb001070	306
Zm00001eb001090	21
Zm00001eb001100	0
Zm00001eb001110	982
Zm00001eb001120	11
Zm00001eb001130	148
Zm00001eb001140	11
Zm00001eb001150	252.32
Zm00001eb001160	295.68
Zm00001eb001170	29.93
Zm00001eb001180	26.07
Zm00001eb001190	108
Zm00001eb001200	176
Zm00001eb001210	1
Zm00001eb001220	130
Zm00001eb001230	0
Zm00001eb001240	439
Zm00001eb001250	0
Zm00001eb001260	1457.77
Zm00001eb001270	848.73
Zm00001eb001280	42
Zm00001eb001290	85
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	585.69
Zm00001eb001350	155
Zm00001eb001360	433
Zm00001eb001370	5.13
Zm00001eb001400	2273
Zm00001eb001410	0
Zm00001eb001420	0
Zm00001eb001430	5789
Zm00001eb001440	68
Zm00001eb001460	1870
Zm00001eb001470	149
Zm00001eb001480	0
Zm00001eb001490	22
Zm00001eb001500	95
Zm00001eb001510	307
Zm00001eb001520	1
Zm00001eb001530	634
Zm00001eb001550	17
Zm00001eb001560	1151
Zm00001eb001570	541
Zm00001eb001580	0
Zm00001eb001590	22
Zm00001eb001600	14
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	118
Zm00001eb001640	274
Zm00001eb001650	479
Zm00001eb001660	0
Zm00001eb001670	54
Zm00001eb001680	609
Zm00001eb001690	9
Zm00001eb001700	252
Zm00001eb001710	463
Zm00001eb001720	192
Zm00001eb001740	0
Zm00001eb001760	115
Zm00001eb001770	95
Zm00001eb001780	83
Zm00001eb001790	0
Zm00001eb001800	0
