gene_id	T_6_Tol
Zm00001eb000010	194
Zm00001eb000020	1362
Zm00001eb000050	1
Zm00001eb000060	0
Zm00001eb000070	0
Zm00001eb000080	219
Zm00001eb000100	0
Zm00001eb000110	0
Zm00001eb000120	2
Zm00001eb000140	0
Zm00001eb000150	0
Zm00001eb000170	411
Zm00001eb000180	0
Zm00001eb000190	1006.63
Zm00001eb000200	958.37
Zm00001eb000210	178
Zm00001eb000220	824
Zm00001eb000230	541.52
Zm00001eb000240	116.48
Zm00001eb000250	0
Zm00001eb000270	0
Zm00001eb000290	0
Zm00001eb000300	0
Zm00001eb000310	1
Zm00001eb000320	2144
Zm00001eb000330	72
Zm00001eb000340	6014.65
Zm00001eb000360	0
Zm00001eb000370	1839
Zm00001eb000380	452
Zm00001eb000390	17
Zm00001eb000400	62
Zm00001eb000410	0
Zm00001eb000420	83
Zm00001eb000430	228.13
Zm00001eb000440	7.87
Zm00001eb000450	2261
Zm00001eb000460	0
Zm00001eb000470	24
Zm00001eb000480	4929
Zm00001eb000490	2741
Zm00001eb000500	139
Zm00001eb000510	70
Zm00001eb000520	1099
Zm00001eb000530	0
Zm00001eb000540	11
Zm00001eb000550	273
Zm00001eb000560	5.16
Zm00001eb000570	56
Zm00001eb000580	57
Zm00001eb000590	1464
Zm00001eb000600	136
Zm00001eb000620	433
Zm00001eb000630	0
Zm00001eb000640	52
Zm00001eb000650	40
Zm00001eb000660	75
Zm00001eb000670	1103
Zm00001eb000680	16
Zm00001eb000690	1061
Zm00001eb000700	1326
Zm00001eb000710	243
Zm00001eb000720	40
Zm00001eb000740	74
Zm00001eb000750	20
Zm00001eb000760	0
Zm00001eb000770	558
Zm00001eb000780	1196
Zm00001eb000790	134.03
Zm00001eb000800	1978.97
Zm00001eb000810	0
Zm00001eb000820	400
Zm00001eb000830	0
Zm00001eb000840	692
Zm00001eb000850	80
Zm00001eb000860	2277
Zm00001eb000870	2003
Zm00001eb000880	389
Zm00001eb000890	275
Zm00001eb000900	49
Zm00001eb000910	285
Zm00001eb000920	1377
Zm00001eb000930	111.21
Zm00001eb000940	24.79
Zm00001eb000960	31
Zm00001eb000970	1047.97
Zm00001eb000980	211
Zm00001eb000990	355
Zm00001eb001000	498
Zm00001eb001010	288.72
Zm00001eb001020	60.28
Zm00001eb001030	0
Zm00001eb001040	908
Zm00001eb001050	246
Zm00001eb001060	59
Zm00001eb001070	555
Zm00001eb001090	19
Zm00001eb001100	0
Zm00001eb001110	1125
Zm00001eb001120	8
Zm00001eb001130	160
Zm00001eb001140	22
Zm00001eb001150	97.81
Zm00001eb001160	509.19
Zm00001eb001170	297.71
Zm00001eb001180	41.29
Zm00001eb001190	281
Zm00001eb001200	238
Zm00001eb001210	0
Zm00001eb001220	65
Zm00001eb001230	2
Zm00001eb001240	477
Zm00001eb001250	0
Zm00001eb001260	1548.79
Zm00001eb001270	427.35
Zm00001eb001280	252
Zm00001eb001290	109
Zm00001eb001300	0
Zm00001eb001310	0
Zm00001eb001320	0
Zm00001eb001330	0
Zm00001eb001340	733
Zm00001eb001350	99
Zm00001eb001360	547
Zm00001eb001370	17.57
Zm00001eb001400	2494
Zm00001eb001410	0
Zm00001eb001420	0
Zm00001eb001430	8722.99
Zm00001eb001440	40
Zm00001eb001460	5307
Zm00001eb001470	276
Zm00001eb001480	0
Zm00001eb001490	49.73
Zm00001eb001500	309.27
Zm00001eb001510	264
Zm00001eb001520	0
Zm00001eb001530	439
Zm00001eb001550	44
Zm00001eb001560	1438
Zm00001eb001570	790
Zm00001eb001580	0
Zm00001eb001590	31
Zm00001eb001600	22
Zm00001eb001610	0
Zm00001eb001620	0
Zm00001eb001630	94
Zm00001eb001640	315
Zm00001eb001650	359
Zm00001eb001660	2
Zm00001eb001670	42
Zm00001eb001680	726
Zm00001eb001690	21
Zm00001eb001700	516
Zm00001eb001710	570
Zm00001eb001720	418
Zm00001eb001740	0
Zm00001eb001760	66
Zm00001eb001770	73
Zm00001eb001780	70
Zm00001eb001790	0
Zm00001eb001800	1
Zm00001eb001810	349
Zm00001eb001820	18
Zm00001eb001830	299.75
Zm00001eb001840	550.25
Zm00001eb001860	2152
Zm00001eb001870	556
Zm00001eb001880	540
Zm00001eb001890	2
Zm00001eb001900	166
Zm00001eb001910	792
Zm00001eb001920	57
Zm00001eb001940	731
Zm00001eb001950	120
Zm00001eb001960	0
Zm00001eb001970	44
Zm00001eb001980	356
Zm00001eb001990	27
Zm00001eb002000	665
Zm00001eb002010	152.27
Zm00001eb002020	245.73
Zm00001eb002030	294
Zm00001eb002040	775
Zm00001eb002050	0
Zm00001eb002060	4747
Zm00001eb002070	114
Zm00001eb002080	2
Zm00001eb002090	1141
Zm00001eb002100	1312
Zm00001eb002140	0
Zm00001eb002150	9.05
Zm00001eb002170	480
Zm00001eb002180	1807
Zm00001eb002190	9
Zm00001eb002200	56
Zm00001eb002210	3
Zm00001eb002220	3884.72
Zm00001eb002240	93
Zm00001eb002250	2
Zm00001eb002260	2097
Zm00001eb002270	237
Zm00001eb002280	0
Zm00001eb002290	0
Zm00001eb002300	0
Zm00001eb002310	27
Zm00001eb002320	3036
Zm00001eb002330	38
Zm00001eb002340	0
Zm00001eb002350	0
Zm00001eb002360	0
Zm00001eb002370	0
Zm00001eb002380	5
Zm00001eb002390	90
Zm00001eb002410	0
Zm00001eb002420	2335.06
Zm00001eb002430	1454
Zm00001eb002440	347
Zm00001eb002450	163
Zm00001eb002460	136
Zm00001eb002470	53
Zm00001eb002480	2.08
Zm00001eb002490	1141.92
Zm00001eb002510	216
Zm00001eb002520	1762
Zm00001eb002530	1683
Zm00001eb002540	596
Zm00001eb002550	524
Zm00001eb002560	164
Zm00001eb002570	516
Zm00001eb002590	850
Zm00001eb002600	28
Zm00001eb002610	500
Zm00001eb002620	5700
Zm00001eb002640	4079
Zm00001eb002650	0
Zm00001eb002660	22
Zm00001eb002680	224
Zm00001eb002690	748.62
Zm00001eb002700	68.55
Zm00001eb002710	15.83
Zm00001eb002720	346.64
Zm00001eb002730	36.36
Zm00001eb002740	627
Zm00001eb002750	0
Zm00001eb002760	315
Zm00001eb002770	5
Zm00001eb002780	1386
Zm00001eb002790	1296.93
Zm00001eb002800	2331
Zm00001eb002810	1350
Zm00001eb002820	325
Zm00001eb002830	755
Zm00001eb002840	0
Zm00001eb002850	1856
Zm00001eb002860	2
Zm00001eb002870	19
Zm00001eb002880	0
Zm00001eb002890	0
Zm00001eb002900	0
Zm00001eb002910	730.07
Zm00001eb002920	335.76
Zm00001eb002930	56.24
Zm00001eb002940	386
Zm00001eb002950	434
Zm00001eb002960	3574.55
Zm00001eb002970	0
Zm00001eb002980	14.95
Zm00001eb002990	0
Zm00001eb003000	244.59
Zm00001eb003010	345.23
Zm00001eb003020	291.18
Zm00001eb003030	488
Zm00001eb003040	133.69
Zm00001eb003050	1.25
Zm00001eb003060	0
Zm00001eb003070	1182
Zm00001eb003080	415.43
Zm00001eb003090	15.57
Zm00001eb003100	0
Zm00001eb003110	67
Zm00001eb003120	0
Zm00001eb003130	135
Zm00001eb003140	101.94
Zm00001eb003150	6.06
Zm00001eb003160	0
Zm00001eb003170	851
Zm00001eb003180	7956
Zm00001eb003190	238
Zm00001eb003200	62
Zm00001eb003210	1
Zm00001eb003220	1170.15
Zm00001eb003230	69.85
Zm00001eb003240	929
Zm00001eb003270	0
Zm00001eb003280	0
Zm00001eb003290	0
Zm00001eb003300	0
Zm00001eb003310	0
Zm00001eb003330	6
Zm00001eb003340	18
Zm00001eb003350	3415
Zm00001eb003360	1383
Zm00001eb003370	0
Zm00001eb003380	0
Zm00001eb003390	0
Zm00001eb003400	2
Zm00001eb003420	2857
Zm00001eb003440	4561
Zm00001eb003450	4
Zm00001eb003460	25
Zm00001eb003470	511
Zm00001eb003480	670
Zm00001eb003490	5788
Zm00001eb003510	821
Zm00001eb003520	137
Zm00001eb003530	0
Zm00001eb003540	1191
Zm00001eb003550	3725
Zm00001eb003560	1
Zm00001eb003570	23.2
Zm00001eb003580	828.48
Zm00001eb003590	123.52
Zm00001eb003600	15
Zm00001eb003610	14
Zm00001eb003620	31
Zm00001eb003630	61
Zm00001eb003650	999
Zm00001eb003660	757
Zm00001eb003670	330
Zm00001eb003680	5
Zm00001eb003690	1304
Zm00001eb003700	316
Zm00001eb003710	0
Zm00001eb003720	0
Zm00001eb003730	45138
Zm00001eb003740	0
Zm00001eb003750	225
Zm00001eb003760	113
Zm00001eb003770	1
Zm00001eb003780	71
Zm00001eb003790	0
Zm00001eb003800	0
Zm00001eb003810	1993.41
Zm00001eb003820	18
Zm00001eb003830	3823
Zm00001eb003840	1245
Zm00001eb003850	139
Zm00001eb003860	27
Zm00001eb003870	35
Zm00001eb003880	605
Zm00001eb003890	569
Zm00001eb003900	110
Zm00001eb003910	1137
Zm00001eb003920	225
Zm00001eb003930	4815.05
Zm00001eb003940	0
Zm00001eb003950	3
Zm00001eb003960	11
Zm00001eb003970	320
Zm00001eb004000	151
Zm00001eb004020	0
Zm00001eb004030	2029
Zm00001eb004040	0
Zm00001eb004050	490
Zm00001eb004060	0
Zm00001eb004070	0
Zm00001eb004080	0
Zm00001eb004090	654
