ENSEMBL_GeneID	cut_c_6_iii	cut_t_6_iii
Zm00001eb000010	2	2
Zm00001eb000020	14	35
Zm00001eb000050	0	0
Zm00001eb000060	7	0
Zm00001eb000070	0	0
Zm00001eb000080	4	6
Zm00001eb000100	0	0
Zm00001eb000110	0	0
Zm00001eb000120	0	0
Zm00001eb000140	0	0
Zm00001eb000150	0	0
Zm00001eb000170	0	3
Zm00001eb000180	0	0
Zm00001eb000190	13	19
Zm00001eb000200	0	0
Zm00001eb000210	4	1
Zm00001eb000220	13	14
Zm00001eb000230	8	5
Zm00001eb000240	0	0
Zm00001eb000250	0	0
Zm00001eb000270	2	2
Zm00001eb000290	0	0
Zm00001eb000300	1	1
Zm00001eb000310	1	1
Zm00001eb000320	30	12
Zm00001eb000330	1	2
Zm00001eb000340	49	75
Zm00001eb000360	0	0
Zm00001eb000370	17	33
Zm00001eb000380	9	2
Zm00001eb000390	0	0
Zm00001eb000400	0	0
Zm00001eb000410	0	0
Zm00001eb000420	3	4
Zm00001eb000430	0	0
Zm00001eb000440	0	0
Zm00001eb000450	55	36
Zm00001eb000460	0	0
Zm00001eb000470	0	0
Zm00001eb000480	33	63
Zm00001eb000490	20	44
Zm00001eb000500	3	2
Zm00001eb000510	1	0
Zm00001eb000520	17	21
Zm00001eb000530	0	0
Zm00001eb000540	0	0
Zm00001eb000550	4	9
Zm00001eb000560	0	0
Zm00001eb000570	2	0
Zm00001eb000580	0	0
Zm00001eb000590	21	22
Zm00001eb000600	2	2
Zm00001eb000620	12	8
Zm00001eb000630	0	0
Zm00001eb000640	2	2
Zm00001eb000650	2	3
Zm00001eb000660	18	6
Zm00001eb000670	10	13
Zm00001eb000680	0	3
Zm00001eb000690	11	9
Zm00001eb000700	21	13
Zm00001eb000710	3	9
Zm00001eb000720	0	0
Zm00001eb000740	4	0
Zm00001eb000750	0	0
Zm00001eb000760	0	0
Zm00001eb000770	14	9
Zm00001eb000780	18	24
Zm00001eb000790	2	2
Zm00001eb000800	8	16
Zm00001eb000810	0	0
Zm00001eb000820	5	5
Zm00001eb000830	0	0
Zm00001eb000840	2	4
Zm00001eb000850	33	21
Zm00001eb000860	30	29
Zm00001eb000870	26	35
Zm00001eb000880	12	6
Zm00001eb000890	1	5
Zm00001eb000900	4	0
Zm00001eb000910	6	6
Zm00001eb000920	21	28
Zm00001eb000930	0	1
Zm00001eb000940	0	0
Zm00001eb000960	0	0
Zm00001eb000970	11	23
Zm00001eb000980	2	9
Zm00001eb000990	4	5
Zm00001eb001000	11	1
Zm00001eb001010	1	2
Zm00001eb001020	1	1
Zm00001eb001030	0	0
Zm00001eb001040	16	10
Zm00001eb001050	2	9
Zm00001eb001060	0	3
Zm00001eb001070	2	8
Zm00001eb001090	0	0
Zm00001eb001100	0	0
Zm00001eb001110	12	14
Zm00001eb001120	0	0
Zm00001eb001130	3	2
Zm00001eb001140	0	0
Zm00001eb001150	0	0
Zm00001eb001160	0	0
Zm00001eb001170	1	0
Zm00001eb001180	0	0
Zm00001eb001190	0	3
Zm00001eb001200	1	4
Zm00001eb001210	0	0
Zm00001eb001220	1	4
Zm00001eb001230	0	0
Zm00001eb001240	5	5
Zm00001eb001250	0	0
Zm00001eb001260	21	24
Zm00001eb001270	11	4
Zm00001eb001280	0	0
Zm00001eb001290	3	4
Zm00001eb001300	0	0
Zm00001eb001310	0	0
Zm00001eb001320	0	0
Zm00001eb001330	0	0
Zm00001eb001340	2	8
Zm00001eb001350	6	2
Zm00001eb001360	4	8
Zm00001eb001370	1	1
Zm00001eb001400	39	48
Zm00001eb001410	0	0
Zm00001eb001420	0	0
Zm00001eb001430	91	90
Zm00001eb001440	3	1
Zm00001eb001460	27	40
Zm00001eb001470	2	3
Zm00001eb001480	0	0
Zm00001eb001490	1	1
Zm00001eb001500	2	0
Zm00001eb001510	9	4
Zm00001eb001520	1	1
Zm00001eb001530	7	10
Zm00001eb001550	0	0
Zm00001eb001560	36	28
Zm00001eb001570	16	10
Zm00001eb001580	0	0
Zm00001eb001590	0	0
Zm00001eb001600	0	0
Zm00001eb001610	0	0
Zm00001eb001620	0	0
Zm00001eb001630	0	1
Zm00001eb001640	2	1
Zm00001eb001650	13	5
Zm00001eb001660	0	0
Zm00001eb001670	0	1
Zm00001eb001680	29	25
Zm00001eb001690	0	0
Zm00001eb001700	2	7
Zm00001eb001710	3	14
Zm00001eb001720	2	6
Zm00001eb001740	0	0
Zm00001eb001760	3	0
Zm00001eb001770	1	5
Zm00001eb001780	0	0
Zm00001eb001790	0	0
Zm00001eb001800	0	0
Zm00001eb001810	3	5
Zm00001eb001820	1	0
Zm00001eb001830	3	1
Zm00001eb001840	4	9
Zm00001eb001860	8	18
Zm00001eb001870	20	14
Zm00001eb001880	8	16
Zm00001eb001890	1	0
Zm00001eb001900	1	0
Zm00001eb001910	7	13
Zm00001eb001920	2	0
Zm00001eb001940	14	16
Zm00001eb001950	5	7
Zm00001eb001960	0	0
Zm00001eb001970	0	0
Zm00001eb001980	5	4
Zm00001eb001990	0	2
Zm00001eb002000	7	12
Zm00001eb002010	0	3
Zm00001eb002020	0	4
Zm00001eb002030	0	4
Zm00001eb002040	7	5
Zm00001eb002050	0	0
Zm00001eb002060	41	93
Zm00001eb002070	1	1
Zm00001eb002080	0	0
Zm00001eb002090	19	10
Zm00001eb002100	23	18
Zm00001eb002140	0	0
Zm00001eb002150	2	0
Zm00001eb002170	4	6
Zm00001eb002180	15	30
Zm00001eb002190	0	0
Zm00001eb002200	0	3
Zm00001eb002210	0	0
Zm00001eb002220	27	30
Zm00001eb002240	0	1
Zm00001eb002250	0	0
Zm00001eb002260	14	23
Zm00001eb002270	6	6
Zm00001eb002280	0	0
Zm00001eb002290	0	0
Zm00001eb002300	0	0
Zm00001eb002310	0	1
Zm00001eb002320	32	50
Zm00001eb002330	0	0
Zm00001eb002340	0	0
Zm00001eb002350	0	0
Zm00001eb002360	0	0
Zm00001eb002370	0	0
Zm00001eb002380	0	0
Zm00001eb002390	10	13
Zm00001eb002410	0	0
Zm00001eb002420	12	27
Zm00001eb002430	16	19
Zm00001eb002440	3	4
Zm00001eb002450	2	2
Zm00001eb002460	5	2
Zm00001eb002470	2	2
Zm00001eb002480	0	0
Zm00001eb002490	7	11
Zm00001eb002510	9	3
Zm00001eb002520	22	39
Zm00001eb002530	12	15
Zm00001eb002540	4	8
Zm00001eb002550	1	5
Zm00001eb002560	3	1
Zm00001eb002570	12	14
Zm00001eb002590	42	39
Zm00001eb002600	1	0
Zm00001eb002610	10	7
Zm00001eb002620	114	62
Zm00001eb002640	27	55
Zm00001eb002650	0	0
Zm00001eb002660	2	1
Zm00001eb002680	0	2
Zm00001eb002690	11	3
Zm00001eb002700	0	0
Zm00001eb002710	0	0
Zm00001eb002720	0	0
Zm00001eb002730	0	0
Zm00001eb002740	8	4
Zm00001eb002750	0	0
Zm00001eb002760	6	5
Zm00001eb002770	0	0
Zm00001eb002780	13	20
Zm00001eb002790	22	13
Zm00001eb002800	25	27
Zm00001eb002810	14	19
Zm00001eb002820	4	4
Zm00001eb002830	4	2
Zm00001eb002840	0	0
Zm00001eb002850	0	0
Zm00001eb002860	0	0
Zm00001eb002870	0	2
Zm00001eb002880	0	0
Zm00001eb002890	0	0
Zm00001eb002900	0	0
Zm00001eb002910	0	1
Zm00001eb002920	2	2
Zm00001eb002930	0	0
Zm00001eb002940	5	3
Zm00001eb002950	1	3
Zm00001eb002960	43	68
Zm00001eb002970	0	0
Zm00001eb002980	0	0
Zm00001eb002990	0	0
Zm00001eb003000	6	5
Zm00001eb003010	5	9
Zm00001eb003020	7	5
Zm00001eb003030	10	4
Zm00001eb003040	4	2
Zm00001eb003050	0	0
Zm00001eb003060	0	0
Zm00001eb003070	12	17
Zm00001eb003080	4	3
Zm00001eb003090	0	0
Zm00001eb003100	0	0
Zm00001eb003110	5	1
Zm00001eb003120	0	0
Zm00001eb003130	2	1
Zm00001eb003140	1	1
Zm00001eb003150	0	0
Zm00001eb003160	0	0
Zm00001eb003170	9	7
Zm00001eb003180	61	127
Zm00001eb003190	6	3
Zm00001eb003200	0	0
Zm00001eb003210	0	0
Zm00001eb003220	0	0
Zm00001eb003230	0	0
Zm00001eb003240	16	4
Zm00001eb003270	0	0
Zm00001eb003280	0	0
Zm00001eb003290	0	0
Zm00001eb003300	0	0
Zm00001eb003310	0	0
Zm00001eb003330	2	0
Zm00001eb003340	0	1
Zm00001eb003350	17	47
Zm00001eb003360	13	16
Zm00001eb003370	0	0
Zm00001eb003380	0	0
Zm00001eb003390	0	0
Zm00001eb003400	0	0
Zm00001eb003420	9	39
Zm00001eb003440	43	50
Zm00001eb003450	0	0
Zm00001eb003460	0	1
Zm00001eb003470	10	21
Zm00001eb003480	19	10
Zm00001eb003490	43	47
Zm00001eb003510	5	12
Zm00001eb003520	1	2
Zm00001eb003530	0	0
Zm00001eb003540	13	20
Zm00001eb003550	44	36
Zm00001eb003560	0	0
Zm00001eb003570	1	0
Zm00001eb003580	3	11
Zm00001eb003590	0	0
Zm00001eb003600	0	0
Zm00001eb003610	1	1
Zm00001eb003620	0	1
Zm00001eb003630	0	0
Zm00001eb003650	4	20
Zm00001eb003660	7	5
Zm00001eb003670	3	2
Zm00001eb003680	0	1
Zm00001eb003690	26	15
Zm00001eb003700	1	1
Zm00001eb003710	0	0
Zm00001eb003720	0	0
Zm00001eb003730	668	407
Zm00001eb003740	0	0
