ENSEMBL_GeneID	cut_c_6_iii_01	cut_c_6_iii_02	cut_t_6_iii_01	cut_t_6_iii_02
Zm00001eb000340	49	68	75	94
Zm00001eb000450	55	65	36	46
Zm00001eb000480	33	41	63	71
Zm00001eb001400	39	58	48	67
Zm00001eb001430	91	87	90	86
Zm00001eb002060	41	40	93	92
Zm00001eb002320	32	42	50	60
Zm00001eb002620	114	128	62	76
Zm00001eb002640	27	96	55	124
Zm00001eb002960	43	40	68	65
Zm00001eb003180	61	57	127	123
Zm00001eb003440	43	53	50	60
Zm00001eb003730	668	761	407	500
Zm00001eb003930	45	39	61	55
Zm00001eb004420	92	100	99	107
Zm00001eb004660	79	84	96	101
Zm00001eb005960	58	52	75	69
Zm00001eb006020	147	129	70	52
Zm00001eb007650	29	28	48	47
Zm00001eb007730	34	38	68	72
Zm00001eb007860	54	25	79	50
Zm00001eb008440	57	45	53	41
Zm00001eb008550	86	106	106	126
Zm00001eb008610	60	61	78	79
Zm00001eb008700	50	57	78	85
Zm00001eb009160	50	47	21	18
Zm00001eb009900	17	28	60	71
Zm00001eb009910	91	162	81	152
Zm00001eb009920	34	41	57	64
Zm00001eb010030	61	151	82	172
Zm00001eb010400	53	61	69	77
Zm00001eb010560	53	118	46	111
Zm00001eb010790	107	111	137	141
Zm00001eb010810	44	51	83	90
Zm00001eb011010	40	34	74	68
Zm00001eb011020	59	125	72	138
Zm00001eb011050	69	52	58	41
Zm00001eb011670	76	86	31	41
Zm00001eb011800	49	41	63	55
Zm00001eb012270	104	101	47	44
Zm00001eb012580	76	98	91	113
Zm00001eb012610	40	105	48	113
Zm00001eb012860	36	105	58	127
Zm00001eb013080	283	305	179	305
Zm00001eb013430	272	269	197	194
Zm00001eb013490	37	42	70	75
Zm00001eb013520	82	76	51	45
Zm00001eb013750	112	111	195	111
Zm00001eb013840	72	94	70	92
Zm00001eb013900	45	83	56	94
Zm00001eb013990	80	75	56	51
Zm00001eb014000	60	56	44	40
Zm00001eb014760	24	21	57	54
Zm00001eb015010	97	94	117	114
Zm00001eb015200	85	82	112	109
Zm00001eb015210	50	203	82	235
Zm00001eb015330	53	49	64	60
Zm00001eb015440	48	58	37	47
Zm00001eb015620	694	610	441	357
Zm00001eb015660	35	57	48	70
Zm00001eb016940	155	193	93	131
Zm00001eb017130	33	25	48	40
Zm00001eb017600	58	77	28	47
Zm00001eb018300	19	2	58	41
Zm00001eb018900	38	37	55	54
Zm00001eb018980	32	40	63	71
Zm00001eb018990	39	40	74	75
Zm00001eb019260	40	44	50	54
Zm00001eb020110	59	43	75	59
Zm00001eb020200	63	68	107	112
Zm00001eb020340	146	159	202	215
Zm00001eb022710	404	360	87	43
Zm00001eb023070	43	26	90	73
Zm00001eb023270	45	52	58	65
Zm00001eb023450	44	82	61	99
Zm00001eb023460	125	145	73	93
Zm00001eb023820	334	235	331	232
Zm00001eb024280	43	39	82	78
Zm00001eb025130	19	27	48	56
Zm00001eb025690	147	103	56	12
Zm00001eb026200	42	46	75	79
Zm00001eb026810	34	44	50	60
Zm00001eb026940	229	206	271	248
Zm00001eb027760	25	29	48	52
Zm00001eb028030	134	130	58	54
Zm00001eb028940	26	92	59	125
Zm00001eb028980	61	58	134	131
Zm00001eb029010	24	28	52	56
Zm00001eb029200	263	334	289	360
Zm00001eb031900	38	42	50	54
Zm00001eb032230	80	145	34	99
Zm00001eb032290	427	441	630	644
Zm00001eb032340	66	91	39	64
Zm00001eb032380	203	159	188	144
Zm00001eb032600	59	63	22	26
Zm00001eb032690	245	222	319	296
