ENSEMBL_GeneID,C_6_Tol_1,C_6_Tol_2,T_6_Tol_1,T_6_Tol_2
Zm00001eb000010,152,161,113,135
Zm00001eb000020,496,444,734,711
Zm00001eb000050,0,0,1,0
Zm00001eb000060,0,0,0,0
Zm00001eb000070,85,70,48,40
Zm00001eb000080,237,203,217,201
Zm00001eb000100,0,0,0,0
Zm00001eb000110,0,0,0,0
Zm00001eb000120,9,13,4,0
Zm00001eb000140,21,22,5,11
Zm00001eb000150,0,0,0,0
Zm00001eb000170,526,494,450,405
Zm00001eb000180,0,0,0,0
Zm00001eb000190,569,594,620,586
Zm00001eb000200,0,0,0,0
Zm00001eb000210,216,246,160,208
Zm00001eb000220,327,306,447,459
Zm00001eb000230,191,193,183,180
Zm00001eb000240,51,51,28,30
Zm00001eb000250,1,0,0,1
Zm00001eb000270,0,0,0,0
Zm00001eb000290,0,0,0,0
Zm00001eb000300,1,1,1,2
Zm00001eb000310,0,2,5,3
Zm00001eb000320,1015,960,1123,1190
Zm00001eb000330,51,46,41,40
Zm00001eb000340,2406,2550,3301,3363
Zm00001eb000360,0,0,0,0
Zm00001eb000370,616,586,1216,1225
Zm00001eb000380,430,425,407,358
Zm00001eb000390,5,5,10,12
Zm00001eb000400,37,40,45,54
Zm00001eb000410,1,3,0,0
Zm00001eb000420,109,122,108,116
Zm00001eb000430,0,0,0,0
Zm00001eb000440,0,1,0,0
Zm00001eb000450,2365,2355,2535,2593
Zm00001eb000460,0,0,0,0
Zm00001eb000470,0,0,0,0
Zm00001eb000480,2256,2247,3029,2954
Zm00001eb000490,1171,1182,1762,1723
Zm00001eb000500,95,94,74,74
Zm00001eb000510,53,67,37,39
Zm00001eb000520,724,768,652,602
Zm00001eb000530,0,0,0,0
Zm00001eb000540,16,14,6,8
Zm00001eb000550,137,142,202,215
Zm00001eb000560,32,22,18,27
Zm00001eb000570,58,56,58,70
Zm00001eb000580,63,40,39,41
Zm00001eb000590,816,874,890,877
Zm00001eb000600,135,113,102,104
Zm00001eb000620,499,473,404,386
Zm00001eb000630,0,0,0,0
Zm00001eb000640,28,38,32,32
Zm00001eb000650,54,47,39,37
Zm00001eb000660,97,113,64,67
Zm00001eb000670,954,963,707,717
Zm00001eb000680,37,40,18,14
Zm00001eb000690,613,607,698,679
Zm00001eb000700,558,574,776,879
Zm00001eb000710,151,124,169,152
Zm00001eb000720,78,70,46,49
Zm00001eb000740,99,121,51,39
Zm00001eb000750,22,22,10,9
Zm00001eb000760,0,0,0,0
Zm00001eb000770,728,750,386,373
Zm00001eb000780,592,556,799,798
Zm00001eb000790,70,75,79,85
Zm00001eb000800,547,593,928,817
Zm00001eb000810,0,0,0,0
Zm00001eb000820,265,243,235,202
Zm00001eb000830,0,0,0,0
Zm00001eb000840,444,442,784,765
Zm00001eb000850,919,988,898,809
Zm00001eb000860,1306,1321,1252,1352
Zm00001eb000870,1105,1141,1196,1217
Zm00001eb000880,302,297,316,270
Zm00001eb000890,213,235,252,288
Zm00001eb000900,77,88,37,42
Zm00001eb000910,106,130,154,167
Zm00001eb000920,974,1027,957,975
Zm00001eb000930,16,20,39,18
Zm00001eb000940,0,0,0,0
Zm00001eb000960,27,30,9,25
Zm00001eb000970,406,352,692,698
Zm00001eb000980,139,124,141,149
Zm00001eb000990,283,253,328,336
Zm00001eb001000,428,446,284,284
Zm00001eb001010,262,224,144,116
Zm00001eb001020,18,17,20,7
Zm00001eb001030,3,4,18,14
Zm00001eb001040,534,627,654,649
Zm00001eb001050,72,80,160,142
Zm00001eb001060,33,24,29,37
Zm00001eb001070,247,262,358,347
Zm00001eb001090,10,3,11,11
Zm00001eb001100,0,0,0,0
Zm00001eb001110,547,527,796,736
Zm00001eb001120,12,9,13,13
Zm00001eb001130,132,125,86,111
Zm00001eb001140,45,59,42,42
Zm00001eb001150,0,0,0,0
Zm00001eb001160,0,2,2,1
Zm00001eb001170,101,77,165,173
Zm00001eb001180,44,48,18,33
Zm00001eb001190,85,115,151,151
Zm00001eb001200,162,165,124,132
Zm00001eb001210,3,0,0,0
Zm00001eb001220,61,61,81,109
Zm00001eb001230,0,0,0,2
Zm00001eb001240,249,313,232,253
Zm00001eb001250,0,0,0,0
Zm00001eb001260,550,595,1126,1094
Zm00001eb001270,243,221,304,325
Zm00001eb001280,43,57,174,170
Zm00001eb001290,155,166,109,78
Zm00001eb001300,0,0,0,0
Zm00001eb001310,0,0,0,0
Zm00001eb001320,0,0,0,0
Zm00001eb001330,0,1,0,0
Zm00001eb001340,288,251,382,414
Zm00001eb001350,83,71,77,82
Zm00001eb001360,222,245,353,308
Zm00001eb001370,24,30,21,9
Zm00001eb001400,1470,1462,2158,2157
Zm00001eb001410,0,0,0,0
Zm00001eb001420,3,2,0,1
Zm00001eb001430,4129,4183,4994,4971
Zm00001eb001440,23,25,22,19
Zm00001eb001460,1989,2065,2788,2864
Zm00001eb001470,107,109,149,159
Zm00001eb001480,0,0,0,0
Zm00001eb001490,27,22,21,16
Zm00001eb001500,50,59,90,105
