"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb031210"	5.72246745618295	4.50018519879189	6.85157814345834e-18	1.72646066058863e-13
"Zm00001eb006310"	5.74748284501022	4.11252578748047	2.13862668548571e-17	2.42303787131634e-13
"Zm00001eb409750"	10.8826373410462	2.17680407807008	3.37466144303389e-17	2.42303787131634e-13
"Zm00001eb284350"	5.47600545974715	4.71589660183967	4.67830824093611e-17	2.42303787131634e-13
"Zm00001eb356910"	5.23840794919812	6.30554780052549	4.80799641105712e-17	2.42303787131634e-13
"Zm00001eb056970"	-6.01592987654483	3.32652750656667	1.44651468370939e-16	6.0748795000182e-13
"Zm00001eb384740"	-5.08954329482985	5.25029386014764	6.73549517896676e-16	2.42458582170863e-12
"Zm00001eb287790"	-4.96561679631886	5.66475831861127	1.22805392923367e-15	3.86806286360374e-12
"Zm00001eb340550"	-6.92613162784207	2.49024289700758	1.41609100091782e-15	3.96474011568081e-12
"Zm00001eb371530"	-5.95064694883329	2.7944405066936	4.18628102142369e-15	1.00562286376007e-11
"Zm00001eb113780"	5.18530690288032	3.78395280040446	4.38997202212906e-15	1.00562286376007e-11
"Zm00001eb272230"	10.1596524715187	1.4589562345062	4.40177658129272e-14	9.2429971912845e-11
"Zm00001eb109440"	4.50957792047178	4.37710043715763	2.91093909447134e-13	5.64229563865298e-10
"Zm00001eb201580"	5.36435519490884	2.17734863190905	5.43999665850371e-13	9.79121684292689e-10
"Zm00001eb056010"	-4.662840592138	3.4314310060699	6.02919869474958e-13	1.012824991402e-09
"Zm00001eb418610"	-4.38296403143528	4.54415406459866	9.4086666520339e-13	1.48174738936219e-09
"Zm00001eb027960"	5.16037337042724	2.19639003643783	1.47543334626909e-12	2.18693937995814e-09
"Zm00001eb187130"	9.68807218527494	0.994054288729171	3.35695687236026e-12	4.69936662609632e-09
"Zm00001eb394330"	-6.10065068093156	1.69691994101906	4.45564897819625e-12	5.90912857645206e-09
"Zm00001eb147750"	-4.51373619447441	3.04719583719813	5.89283199546664e-12	7.42437903108842e-09
"Zm00001eb122110"	4.02094343524328	5.02155517645096	1.27255328638295e-11	1.52694274810846e-08
"Zm00001eb121900"	-4.297562760753	3.35673991682913	1.42130966802594e-11	1.62791640976898e-08
"Zm00001eb040580"	4.92200061233441	1.96644754373042	1.50084847343889e-11	1.64427738407448e-08
"Zm00001eb139830"	5.10076643829094	1.66740385678235	2.04845162986477e-11	2.15070350705552e-08
"Zm00001eb351790"	-3.80747216802675	7.33525805936832	4.20723560446043e-11	4.24055691044775e-08
"Zm00001eb180830"	-4.73522146004834	2.10083431824579	4.44990609337085e-11	4.3126436054138e-08
"Zm00001eb433640"	4.63672025079666	2.04743980952737	5.76597279208897e-11	5.38114749685399e-08
"Zm00001eb242480"	5.36070934224137	1.21380837354515	5.99815689473461e-11	5.39791276548296e-08
"Zm00001eb161610"	5.1282531179896	1.38458629625915	7.00193668522761e-11	6.08395864118501e-08
"Zm00001eb428800"	-3.81025994608235	4.64290186614393	1.10745950179267e-10	9.26849162710917e-08
"Zm00001eb336580"	-3.76421559292217	5.34416639019998	1.14312470253301e-10	9.26849162710917e-08
"Zm00001eb188750"	9.27877092748411	0.594178932880673	1.18091516900496e-10	9.26849162710917e-08
"Zm00001eb317110"	-3.90645607708407	3.84723864558208	1.28320070686515e-10	9.26849162710917e-08
"Zm00001eb231210"	-3.783753531811	4.85495837031766	1.28628164460844e-10	9.26849162710917e-08
"Zm00001eb207670"	4.54931180368609	1.96410960529314	1.28739267778721e-10	9.26849162710917e-08
"Zm00001eb295010"	3.7093879976865	5.52122651836608	1.57729878418391e-10	1.10402152121851e-07
"Zm00001eb378280"	-3.66898499477537	7.01897488895638	1.64997886624734e-10	1.12368020193785e-07
"Zm00001eb386040"	-4.55518165239808	1.93254754439984	2.25064714715715e-10	1.49241596879121e-07
"Zm00001eb209990"	-3.70320076248939	4.96993417674655	2.34279733895947e-10	1.51368736787438e-07
"Zm00001eb278150"	4.68675271413085	1.52535926177853	2.90659491428648e-10	1.7687401604103e-07
"Zm00001eb245430"	-4.25596534719083	2.40174301554801	2.92285273385276e-10	1.7687401604103e-07
"Zm00001eb255510"	-3.78370202357788	4.01042661936394	2.94813424625894e-10	1.7687401604103e-07
"Zm00001eb357740"	-3.6623552087176	5.05021846011199	3.26020002969094e-10	1.91047721739889e-07
"Zm00001eb339420"	-5.61894460414947	1.24231262805674	3.39016885937469e-10	1.94148806633008e-07
"Zm00001eb102510"	-3.78029229849675	3.58779325110149	4.39867584471484e-10	2.4630629763361e-07
"Zm00001eb251130"	-3.86791100102268	3.12992470153027	5.08337457963907e-10	2.78458418821186e-07
"Zm00001eb034050"	-3.63193085112793	4.6988859136424	5.5632274044401e-10	2.98260008802301e-07
"Zm00001eb299760"	-3.65284190600473	4.40239229397299	5.69197522671753e-10	2.98804982839226e-07
"Zm00001eb400190"	-3.89995846246205	2.98609371417951	6.0663098623765e-10	3.07720128513355e-07
"Zm00001eb037600"	-3.64957105395364	4.2766388478753	6.10604271198815e-10	3.07720128513355e-07
"Zm00001eb406490"	-3.62683166433236	4.25572037839635	7.60019168911183e-10	3.75509078788706e-07
"Zm00001eb023420"	-3.50987019501661	5.67382585604828	9.64945357989163e-10	4.64815333042537e-07
"Zm00001eb021500"	5.04255892852101	0.909726899900139	9.77665396112964e-10	4.64815333042537e-07
"Zm00001eb084980"	3.7855538769118	2.95975614505318	1.07186867931308e-09	4.97375873345972e-07
"Zm00001eb214780"	-4.83029627456205	1.42613646452484	1.08562874172666e-09	4.97375873345972e-07
"Zm00001eb256120"	-3.61776232055375	3.88524899896856	1.29093416946178e-09	5.80874271466037e-07
"Zm00001eb011820"	3.49526106789247	5.05303553420904	1.32741668242762e-09	5.86811325680896e-07
"Zm00001eb316870"	-3.47161210460036	5.37073383275512	1.56264833393883e-09	6.78889874458457e-07
"Zm00001eb275400"	3.54892923959259	3.93704068567137	1.72446393086139e-09	7.36492239488903e-07
"Zm00001eb214550"	3.82850978354807	2.26960255600701	3.32250569635247e-09	1.3775758252096e-06
"Zm00001eb280930"	-3.37282178731203	5.62794520804465	3.33487282077092e-09	1.3775758252096e-06
"Zm00001eb054810"	-8.84688495024628	0.281681440567044	3.40547435118236e-09	1.38405068872731e-06
"Zm00001eb346800"	-3.72472243996576	2.76231909651483	3.5463054267374e-09	1.4184095895703e-06
"Zm00001eb260010"	-3.62776958189873	2.96294166865287	3.98830604477221e-09	1.57027087056516e-06
"Zm00001eb111710"	3.56716745978888	3.09681518881037	4.09745509225572e-09	1.58842574484092e-06
"Zm00001eb047740"	-8.80044509057459	0.238999705832547	5.07451961918955e-09	1.93739008127785e-06
"Zm00001eb374190"	3.38272413695073	4.19883560346047	5.76598106556448e-09	2.16852523716558e-06
"Zm00001eb106430"	-3.28013840535235	6.56928224583209	6.28694457035408e-09	2.32968278358503e-06
"Zm00001eb370870"	3.36625867187403	4.21479676654682	6.70751601180979e-09	2.44950707921135e-06
"Zm00001eb139740"	3.40903831448263	3.58379737652178	7.71564349832709e-09	2.77741121244066e-06
"Zm00001eb035600"	-4.41106138744825	1.34037684476278	7.97731084117413e-09	2.83115885318177e-06
"Zm00001eb381280"	-4.58769488981124	1.20229972658353	8.78516408496441e-09	3.07456339740185e-06
"Zm00001eb251520"	-3.51084624427461	2.95772186098787	9.0318637252131e-09	3.11760139928657e-06
"Zm00001eb186620"	-3.71555677094298	2.30674942952623	9.21061067299638e-09	3.13539558568645e-06
"Zm00001eb016800"	3.24502960378555	6.01138581412476	9.33227513796665e-09	3.13539558568645e-06
"Zm00001eb215270"	3.80460047804041	1.78520695009916	1.0206495927091e-08	3.38399058382682e-06
"Zm00001eb139500"	-3.94195236722073	1.71391637724678	1.14476905480987e-08	3.74621956403884e-06
"Zm00001eb141540"	-4.53884206964745	1.15753952952639	1.23213560432163e-08	3.98042986637134e-06
"Zm00001eb087350"	-3.4129433795584	3.25220157848615	1.25018976290975e-08	3.98763058807592e-06
"Zm00001eb164390"	-3.83602242940458	2.01534320021413	1.27890767504816e-08	4.02823944948293e-06
"Zm00001eb169870"	-3.51659945868099	2.75327450984271	1.42281124748122e-08	4.42617256963354e-06
"Zm00001eb138650"	-3.1844839033487	6.5987533865591	1.48310145191515e-08	4.55746224211682e-06
"Zm00001eb148040"	-4.0501256227349	1.46783457174597	1.97005899769053e-08	5.98090923178386e-06
"Zm00001eb170080"	-3.24956224949222	4.18399935561793	2.04334295563034e-08	6.06761132609628e-06
"Zm00001eb214420"	3.14317151431753	6.81542324365367	2.0467773740701e-08	6.06761132609628e-06
