"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb229190"	-6.51353781796147	5.35841247471082	1.46337759096533e-21	3.71639373001556e-17
"Zm00001eb159020"	-6.89318560709077	4.27495404686457	4.12889515813209e-21	5.24287107179613e-17
"Zm00001eb357740"	-6.79136433260971	4.00709096845217	2.52600188697016e-20	2.13834479738314e-16
"Zm00001eb067380"	-6.8357773805111	3.86207857038116	3.69130098540779e-20	2.34360699563541e-16
"Zm00001eb250940"	6.19226633559638	3.43418879001247	3.56989006727893e-17	1.81321856297231e-13
"Zm00001eb072870"	5.0770485133141	4.09644137704299	5.14023810414604e-15	2.17569144821488e-11
"Zm00001eb065210"	-4.81203578208689	4.09168374848785	2.87083921257168e-14	1.041540466321e-10
"Zm00001eb148070"	4.86885364321385	3.95426297100593	3.55743719954722e-14	1.12930843899627e-10
"Zm00001eb332560"	4.56412011770876	4.78977652715128	1.14323741577265e-13	3.22596193455137e-10
"Zm00001eb323090"	4.39409561718184	3.93981866849207	1.93108152389498e-12	4.9041746380837e-09
"Zm00001eb326950"	4.32087642144795	4.02928700151324	2.81754610503537e-12	6.50494553486166e-09
"Zm00001eb344730"	4.54215133591137	2.91806002540252	5.01378555259554e-12	1.0610841491143e-08
"Zm00001eb215860"	4.2923899708418	3.75714446475254	6.36323679043815e-12	1.20520397343705e-08
"Zm00001eb212460"	4.15119583590891	4.42371452086787	6.64390283041375e-12	1.20520397343705e-08
"Zm00001eb284770"	5.48475195867212	1.58532786588267	1.06006948880057e-11	1.79476831583863e-08
"Zm00001eb228670"	3.91961585419959	5.63020993059381	2.29237198389028e-11	3.63856743142985e-08
"Zm00001eb401330"	-5.02950065760986	1.62485156250015	2.63980503211446e-11	3.9435581526811e-08
"Zm00001eb048370"	4.1569477992012	3.27855335281955	3.97594397401085e-11	5.60961517577664e-08
"Zm00001eb274690"	4.22319683546173	3.02431288802603	5.01578790777684e-11	6.52775138274559e-08
"Zm00001eb113780"	-3.96547852540665	3.91070361516434	5.14077128897904e-11	6.52775138274559e-08
"Zm00001eb161610"	-4.68684303981205	1.76683419297306	8.68828990027247e-11	1.05070385860628e-07
"Zm00001eb409030"	-5.82105725332674	1.13894568697564	9.42472070478502e-11	1.08795548644873e-07
"Zm00001eb389190"	3.7446228577049	6.06623133249661	1.01696491776547e-10	1.12290613267704e-07
"Zm00001eb396520"	-3.74966283411066	5.1821827910072	1.26191381515835e-10	1.31386204846615e-07
"Zm00001eb240910"	-3.93167590900039	3.45683743621329	1.293374988646e-10	1.31386204846615e-07
"Zm00001eb314610"	3.69622971666096	4.83016674366964	2.58670202521396e-10	2.52661094739745e-07
"Zm00001eb110240"	-5.70685634569081	1.02923960499508	2.73605902829005e-10	2.57351685490571e-07
"Zm00001eb258790"	3.64790754602424	5.33891974161292	3.22095494997251e-10	2.92140613962507e-07
"Zm00001eb123400"	-3.91505592112889	2.72304860517602	5.68526224705783e-10	4.97872138021657e-07
"Zm00001eb415520"	3.64053028204456	3.86944379858727	9.75104972410707e-10	8.25458862644744e-07
"Zm00001eb301270"	3.78857443071272	2.99197959688681	1.07235620520872e-09	8.78501877015505e-07
"Zm00001eb187450"	4.16424679845295	1.99647403528435	1.32296866359523e-09	1.04994100564577e-06
"Zm00001eb325410"	-3.60154095494565	3.80573555652038	1.37987728654765e-09	1.06192010815649e-06
"Zm00001eb101660"	-3.92065975555971	2.2978314705482	2.03814210539084e-09	1.47972655030971e-06
"Zm00001eb223620"	4.3552142931428	1.67990574265706	2.03931442986454e-09	1.47972655030971e-06
"Zm00001eb069310"	-3.4432455089796	4.05579944845003	3.60363075881205e-09	2.54216129863308e-06
"Zm00001eb088020"	-3.34997248542236	5.70228874195238	3.87234006267346e-09	2.65789049274744e-06
"Zm00001eb375120"	3.38948706443893	4.01730004852128	6.62642791368825e-09	4.42854640252702e-06
"Zm00001eb198620"	-3.50674921123058	2.90445260677739	7.4570314144329e-09	4.64636634638188e-06
"Zm00001eb212520"	-3.63791797514139	2.403266526186	7.49794423850423e-09	4.64636634638188e-06
"Zm00001eb011990"	5.79509320483272	0.464592378838614	7.50122146013771e-09	4.64636634638188e-06
"Zm00001eb130790"	4.4365752234103	1.29561284215702	8.83882549796211e-09	5.34454315110109e-06
"Zm00001eb299760"	-3.31183270814901	4.37249427901076	9.84914417561509e-09	5.69312575157463e-06
"Zm00001eb112260"	-3.31331451658103	4.20272988044713	9.86366093358338e-09	5.69312575157463e-06
"Zm00001eb087860"	5.6899454410868	0.36812563406028	1.82356903150151e-08	1.02914131386694e-05
"Zm00001eb414810"	3.63924235771528	2.08115581129076	2.02041434807204e-08	1.11544440833995e-05
"Zm00001eb087960"	-3.11979967804474	8.4001882445143	2.21624791042635e-08	1.19752833900399e-05
"Zm00001eb018040"	-4.12272595246234	1.02379455758663	2.79142843127603e-08	1.47689825918096e-05
"Zm00001eb397030"	8.5518700148276	-0.0217170553076239	3.49492518207116e-08	1.81136979436488e-05
"Zm00001eb179680"	-3.13360639916363	4.58834430329298	3.64014385106398e-08	1.84890186483242e-05
"Zm00001eb367770"	3.11906018220108	4.71426637294184	4.32275995203462e-08	2.15256493611512e-05
"Zm00001eb361170"	-3.43157470210454	2.2150697158562	4.69127177075462e-08	2.2911449594247e-05
"Zm00001eb081770"	-3.63592256917595	1.76044300037888	4.8684394847819e-08	2.33280922934946e-05
"Zm00001eb384750"	3.16972034551244	3.49561141250088	6.07865423214353e-08	2.85876857184291e-05
"Zm00001eb014050"	-3.0199257673232	6.09696229756585	6.44944922638142e-08	2.93082504202348e-05
"Zm00001eb320890"	-3.00140727305242	7.57727987111828	6.46267925473755e-08	2.93082504202348e-05
"Zm00001eb069320"	-3.0613256482292	4.52374327431473	6.80478323359034e-08	3.03182938596948e-05
"Zm00001eb099460"	8.462848029866	-0.102719412890958	7.0301408818415e-08	3.07823203164219e-05
"Zm00001eb237960"	-2.95370219443501	7.23252979273477	9.93068648041344e-08	4.27457142129796e-05
"Zm00001eb171840"	3.22018225913298	2.81444683906727	1.08398297266622e-07	4.58813859563857e-05
"Zm00001eb165030"	3.39794823022771	2.11914541174094	1.23805095121296e-07	5.15435114049251e-05
"Zm00001eb369550"	4.74521451757743	0.369933772743067	1.34079492979159e-07	5.49206903822375e-05
"Zm00001eb106430"	-2.92671286477729	5.73447413702036	1.51685225484812e-07	6.11459997843222e-05
"Zm00001eb293570"	2.95034049564265	4.82981242831849	1.68199152268117e-07	6.67435261093921e-05
"Zm00001eb405160"	-5.57575764885268	0.0262708387373071	1.92452872946655e-07	7.51928178669729e-05
"Zm00001eb087980"	-3.55600916658382	1.34883261128925	2.03559316575281e-07	7.83271576325128e-05
"Zm00001eb336580"	-2.92391420125532	4.64872235798879	2.15882179549227e-07	8.18290124154053e-05
"Zm00001eb380990"	3.06031042721124	3.01471478236037	2.25233743706361e-07	8.4118178752452e-05
"Zm00001eb172450"	2.86256293383883	6.58814322793234	2.38627026337722e-07	8.78285791430837e-05
"Zm00001eb364840"	8.26640943014961	-0.280073550399683	2.42362341287002e-07	8.79290574189245e-05
"Zm00001eb128610"	4.20527572193601	0.785622638666931	2.45860456575426e-07	8.79418613406973e-05
"Zm00001eb283460"	-3.74092715016615	0.887766960998234	2.70586921603747e-07	9.5442020292344e-05
"Zm00001eb146840"	3.28038106315605	2.09016211836785	2.74399538223231e-07	9.54609681194132e-05
"Zm00001eb052020"	2.84363878810499	6.45370577864009	2.85052142104204e-07	9.78268135253831e-05
"Zm00001eb413120"	-3.812818645956	0.740973487863436	3.24023343147945e-07	0.000109718624301136
"Zm00001eb019880"	-3.18319335369258	2.05515720484956	3.28382854009852e-07	0.000109731723163608
"Zm00001eb162570"	-4.21969303529259	0.559843818872364	3.94683127532194e-07	0.000130173671516982
"Zm00001eb060840"	3.27506794080553	1.92995469366054	4.19842823884411e-07	0.000136696517376519
"Zm00001eb165470"	3.12922284089811	2.28437091750923	4.35412571778445e-07	0.000139053925275612
"Zm00001eb019280"	3.61524400841725	1.19091988213052	4.3803410072645e-07	0.000139053925275612
"Zm00001eb359850"	2.7938002423861	5.98849669154579	4.5283466978789e-07	0.000141977645357201
"Zm00001eb250730"	-3.54827530921202	1.06202246818127	4.80275670091285e-07	0.000148744889239491
"Zm00001eb023220"	2.96055679498759	2.96043221925173	4.92876895893349e-07	0.000150808453591657
"Zm00001eb301260"	2.77092002873329	6.73760319260621	5.07368807326493e-07	0.000153394502748376
"Zm00001eb128310"	3.45308221850053	1.3524907162478	5.42530813872109e-07	0.000162095441754072
"Zm00001eb267480"	-3.63283170549649	0.790552457656637	6.74016029288427e-07	0.000199038500928011
"Zm00001eb253650"	-4.36102959027377	0.304812509622781	6.91958858440694e-07	0.000201988358263907
"Zm00001eb122620"	2.77171360296647	4.81022147541537	7.15392911863578e-07	0.000202491523676314
"Zm00001eb158640"	-2.73741588794511	6.07407637397434	7.18406312596104e-07	0.000202491523676314
"Zm00001eb168100"	-2.75406477405046	5.20918916119979	7.24541272748381e-07	0.000202491523676314
"Zm00001eb388510"	-2.7487308101515	5.31740664242389	7.25576021993406e-07	0.000202491523676314
"Zm00001eb344420"	3.17590592423458	1.75813273322988	7.49098930999587e-07	0.000206783874474625
"Zm00001eb235950"	-4.33508879700751	0.281238617816768	8.26558324393316e-07	0.000225712636626803
"Zm00001eb271090"	2.96621074399278	2.35854771992162	1.01198653509078e-06	0.000273408617501759
"Zm00001eb283990"	2.70713009376965	5.33697760740128	1.03763017579819e-06	0.000277385852048113
"Zm00001eb065120"	-2.72564026100426	4.46657842319884	1.12789765279386e-06	0.000298375924899509
"Zm00001eb015630"	3.34715619676446	1.25915675008883	1.18687110651456e-06	0.000310739985783955
"Zm00001eb105530"	8.03894341315238	-0.482834119134506	1.23039354512008e-06	0.000318847698692547
"Zm00001eb356910"	-2.63898576376894	7.10132840536836	1.42419440481325e-06	0.000362192158856757
"Zm00001eb119760"	2.75506299278389	3.62980368655107	1.42617797628271e-06	0.000362192158856757
"Zm00001eb120540"	3.78860117032325	0.710607280548871	1.53718460136275e-06	0.00038651821917038
"Zm00001eb355980"	-2.83513945108061	2.76748428949524	1.61643503677382e-06	0.000402460629352038
"Zm00001eb347850"	2.6195892941365	7.62807064554265	1.64716386316626e-06	0.000406129839504567
"Zm00001eb026800"	-3.31875909439517	1.00394653592033	1.84660597100652e-06	0.000449707126634358
"Zm00001eb197370"	2.63317059838226	5.35783660433792	1.85931832952463e-06	0.000449707126634358
"Zm00001eb295610"	-2.64466814848018	4.68949795737304	1.91541074035704e-06	0.000457398249893337
"Zm00001eb217970"	-2.66087485774749	4.43670025500696	1.92713863358746e-06	0.000457398249893337
"Zm00001eb345210"	3.51158604734557	0.918079156810418	1.99409584643812e-06	0.000468907945519838
"Zm00001eb407630"	4.3675902885673	0.0339868932256654	2.06430631450386e-06	0.000478247333510237
"Zm00001eb206620"	3.99788701302811	0.224895257664617	2.07147608623902e-06	0.000478247333510237
"Zm00001eb167950"	3.04126053540278	1.8045903381419	2.20958724919837e-06	0.00050553763766344
"Zm00001eb073030"	2.78081606272477	2.77091920970473	2.2586054933143e-06	0.000512138795609017
"Zm00001eb233080"	-2.98612359403537	1.61097643698707	2.34360197424001e-06	0.000526708988830082
"Zm00001eb229880"	2.67086965000123	3.79319871696788	2.4136934492773e-06	0.000537703147700406
"Zm00001eb356820"	2.80248940098106	2.61012321479284	2.45527540514953e-06	0.000542210210340673
"Zm00001eb367810"	2.73543988119379	2.79784897197687	2.89918608285564e-06	0.000634721808277603
"Zm00001eb231980"	-2.62220949413662	3.87932745342187	3.13987934024946e-06	0.000681541672863036
"Zm00001eb187050"	2.62659000581245	3.81612417556451	3.25474302822975e-06	0.000700486897838329
"Zm00001eb107100"	-3.1691814258316	1.12606219591649	3.33448733968562e-06	0.000711618827551731
"Zm00001eb213670"	-2.56265258717228	4.9448188470893	3.50468953599288e-06	0.000741709128800627
