GeneID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb000010	333	376	320	193	313	248	465	275
Zm00001eb000020	1658	2619	1859	1637	940	1445	1474	1132
Zm00001eb000060	318	221	300	131	0	0	0	0
Zm00001eb000070	3	0	2	3	155	88	220	91
Zm00001eb000080	463	435	411	294	440	418	663	379
Zm00001eb000120	1	0	2	1	22	4	22	5
Zm00001eb000140	36	10	19	18	43	16	40	13
Zm00001eb000170	278	309	352	250	1020	855	1398	811
Zm00001eb000190	1015	1495	1074	751	1163	1206	1775	1151
Zm00001eb000210	494	412	351	320	462	368	565	247
Zm00001eb000220	866	912	1089	909	633	906	978	774
Zm00001eb000230	694	485	587	331	384	363	589	276
Zm00001eb000240	89	72	63	58	102	58	129	56
Zm00001eb000270	219	247	166	115	0	0	0	4
Zm00001eb000300	107	102	99	78	2	3	3	1
Zm00001eb000310	113	103	105	84	2	8	3	7
Zm00001eb000320	2637	2148	2491	1570	1975	2313	2748	1682
Zm00001eb000330	80	112	81	53	97	81	65	60
Zm00001eb000340	4810	7774	5462	4610	4956	6664	7953	6007
Zm00001eb000370	2636	2552	2463	1737	1202	2441	2317	1710
Zm00001eb000380	841	365	1543	216	855	765	3149	203
Zm00001eb000390	15	23	18	35	10	22	16	11
Zm00001eb000400	25	10	14	4	77	99	111	27
Zm00001eb000420	206	280	248	163	231	224	582	250
Zm00001eb000450	5693	4926	3316	9601	4720	5128	3528	5477
Zm00001eb000480	4721	5573	4090	5582	4503	5983	6138	5854
Zm00001eb000490	1950	3797	3100	2713	2353	3485	5686	4035
Zm00001eb000500	162	175	122	91	189	148	237	165
Zm00001eb000510	116	81	87	70	120	76	66	74
Zm00001eb000520	1870	2215	1743	1283	1492	1254	1756	1120
Zm00001eb000540	32	24	26	12	30	14	17	9
Zm00001eb000550	484	626	625	489	279	417	577	456
Zm00001eb000560	0	0	0	0	54	45	67	45
Zm00001eb000570	166	107	202	42	114	128	297	85
Zm00001eb000580	125	125	57	80	103	80	18	13
Zm00001eb000590	1885	2252	1936	1816	1690	1767	2168	1342
Zm00001eb000600	287	155	126	179	248	206	220	200
Zm00001eb000620	980	836	717	656	972	790	895	910
