ENSEMBL_GeneID	T_6_Susc	T_6_Tol
Zm00001eb267030	565803	476602
Zm00001eb078440	210763	205824
Zm00001eb090830	118683	126640
Zm00001eb411380	317923	10964
Zm00001eb137410	93407	101954
Zm00001eb164750	120170	92521
Zm00001eb404790	114307	100007
Zm00001eb137390	94855	68589
Zm00001eb170040	94670	76205
Zm00001eb165580	58461	58956
Zm00001eb169520	72846	74433
Zm00001eb404780	77398	74820
Zm00001eb032290	60208	83307
Zm00001eb418460	77703	68871
Zm00001eb137480	52583	55834
Zm00001eb353970	36933	36941
Zm00001eb003730	38784	59521
Zm00001eb164610	54142	50820
Zm00001eb144960	31935	44687
Zm00001eb340450	59029	50102
Zm00001eb406100	67546	44737
Zm00001eb172420	45509	54453
Zm00001eb164860	47525	47463
Zm00001eb039010	22246	77340
Zm00001eb385900	49351	52693
Zm00001eb015620	39887	35073
Zm00001eb261430	48908	44662
Zm00001eb225230	35366	51853
Zm00001eb247610	28777	39503
Zm00001eb136490	35348	31911
Zm00001eb167690	22363	26473
Zm00001eb303190	27404	24522
Zm00001eb365710	41770	44744
Zm00001eb218320	36463	43499
Zm00001eb252870	41493	43780
Zm00001eb101770	57641	34902
Zm00001eb276860	36971	41177
Zm00001eb029200	30057	35809
Zm00001eb413630	11332	36037
Zm00001eb039550	32022	38087
Zm00001eb165550	22928	21942
Zm00001eb144240	38070	38817
Zm00001eb285210	34895	38088
Zm00001eb228620	34093	31698
Zm00001eb374090	38603	22678
Zm00001eb057810	36384	34988
Zm00001eb240700	27993	21618
Zm00001eb245610	27218	34382
Zm00001eb206040	14726	13791
Zm00001eb206930	32223	35030
Zm00001eb229550	31174	32392
Zm00001eb306030	24638	28934
Zm00001eb108410	33393	34390
Zm00001eb356050	33804	33046
Zm00001eb370330	27586	29892
Zm00001eb165610	35906	15863
Zm00001eb247630	30588	42497
Zm00001eb320800	35224	31626
Zm00001eb215710	29916	27613
Zm00001eb247590	31520	33839
Zm00001eb299450	32843	14193
Zm00001eb062180	30742	30794
Zm00001eb149490	26423	25411
Zm00001eb371200	33929	29056
Zm00001eb377870	28943	35300
Zm00001eb054230	28371	30164
Zm00001eb080570	28280	40580
Zm00001eb327430	27886	31394
Zm00001eb023820	34094	21415
Zm00001eb213760	33023	25301
Zm00001eb392880	33181	21082
Zm00001eb272050	5221	25182
Zm00001eb026940	28154	26908
Zm00001eb354640	31554	17794
Zm00001eb283110	27092	23492
Zm00001eb032690	31107	19227
Zm00001eb013080	21169	21153
Zm00001eb418440	36474	16196
Zm00001eb144760	25778	28425
Zm00001eb165620	14740	17633
Zm00001eb121650	26107	27284
Zm00001eb352030	25532	26836
Zm00001eb091920	17534	20141
Zm00001eb032380	19565	31034
Zm00001eb261840	25958	27519
Zm00001eb129360	19330	27368
Zm00001eb055850	23377	26150
Zm00001eb312070	17036	20856
Zm00001eb059930	23039	21127
Zm00001eb255240	22302	26807
Zm00001eb304560	22166	19395
Zm00001eb096930	23079	9165
Zm00001eb369350	27371	11340
Zm00001eb326630	22767	24186
Zm00001eb116960	27364	19795
Zm00001eb393120	22056	22059
Zm00001eb013750	21240	25113
Zm00001eb285230	25547	21046
Zm00001eb323110	23049	20692
Zm00001eb033030	18721	15607
Zm00001eb404800	22686	22276
Zm00001eb303500	19512	22195
Zm00001eb375040	19573	23210
Zm00001eb411300	11391	11974
Zm00001eb189380	23693	24681
Zm00001eb285220	23046	22004
Zm00001eb233070	20234	20370
Zm00001eb329960	20220	22595
Zm00001eb303080	20071	19365
Zm00001eb160820	17593	19478
Zm00001eb101750	16620	18630
Zm00001eb057230	18466	16503
Zm00001eb095540	20152	20506
Zm00001eb022710	9553	9120
Zm00001eb171440	20345	19122
Zm00001eb160340	19590	20993
Zm00001eb268660	18904	20317
Zm00001eb346150	17808	19039
Zm00001eb415410	21982	19264
Zm00001eb053700	24115	23291
Zm00001eb249940	14092	11119
Zm00001eb334050	19817	18796
Zm00001eb186900	12011	10310
Zm00001eb103500	21298	18843
Zm00001eb238670	23794	13339
Zm00001eb294420	22340	18209
Zm00001eb277320	18050	21828
Zm00001eb013430	19004	8090
Zm00001eb062600	16406	19756
Zm00001eb096070	17154	16398
Zm00001eb236430	14193	16786
Zm00001eb173410	13260	20676
Zm00001eb327800	15521	16263
Zm00001eb109610	18334	21477
Zm00001eb070400	21892	18409
Zm00001eb427180	18561	18577
Zm00001eb126900	12931	14074
Zm00001eb291240	18388	21102
Zm00001eb137430	9391	16269
Zm00001eb170020	18678	14578
Zm00001eb045790	19115	18084
Zm00001eb285450	18201	19909
Zm00001eb050280	14902	15263
Zm00001eb199590	15793	15991
Zm00001eb424290	19631	16753
Zm00001eb256020	23621	15795
Zm00001eb385040	18409	15390
Zm00001eb306400	14663	18817
Zm00001eb330600	15414	18677
Zm00001eb124410	17144	18539
Zm00001eb219270	18020	21876
Zm00001eb234730	14752	16624
Zm00001eb316520	17707	16060
Zm00001eb304290	18167	17041
Zm00001eb158190	15519	14361
Zm00001eb387920	16880	14582
Zm00001eb063980	14111	20043
Zm00001eb096680	15722	16224
Zm00001eb298320	14507	14211
Zm00001eb154490	18078	13348
Zm00001eb216260	18228	17482
Zm00001eb138230	15484	17807
Zm00001eb332050	2739	4382
Zm00001eb366710	11667	17991
Zm00001eb057690	19062	15835
Zm00001eb173220	11979	21386
Zm00001eb372570	14472	16327
Zm00001eb042670	15528	15388
Zm00001eb277330	16359	15673
Zm00001eb296460	17122	14519
Zm00001eb397500	16069	15496
Zm00001eb052750	13090	17913
Zm00001eb221000	26875	17781
Zm00001eb068400	15897	10707
Zm00001eb020340	22138	14465
Zm00001eb393200	15793	17867
Zm00001eb211010	12952	18157
Zm00001eb034220	18761	22242
Zm00001eb163700	15946	15730
Zm00001eb040460	15573	12601
Zm00001eb229460	15659	16964
Zm00001eb095350	16040	9928
Zm00001eb233450	13440	15045
Zm00001eb128330	8367	22516
Zm00001eb190060	20015	19533
Zm00001eb409870	14500	13367
Zm00001eb272920	13411	15385
Zm00001eb169970	14028	13895
Zm00001eb070950	14477	17236
Zm00001eb165590	14020	12229
Zm00001eb184000	16023	17061
Zm00001eb222570	13388	14028
Zm00001eb285610	14407	14560
Zm00001eb346210	13832	16200
Zm00001eb198420	13791	16091
Zm00001eb136750	11228	10990
Zm00001eb212470	13153	15758
Zm00001eb056450	12861	13048
Zm00001eb415630	9362	16520
Zm00001eb078210	14049	14506
Zm00001eb144930	7180	8690
Zm00001eb133810	17175	13193
Zm00001eb335880	11665	14122
Zm00001eb285890	11864	13196
Zm00001eb215310	10845	11593
Zm00001eb040570	9164	10982
Zm00001eb194190	19328	12376
Zm00001eb419190	12717	11483
Zm00001eb391690	16214	20727
