""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb160010"	8.45884385036072	3.74911725270903	2.14382570166126e-17	5.21721422756284e-13
"Zm00001eb229190"	-6.9492468359338	4.25170138160202	9.74827475706129e-16	1.18617007243922e-11
"Zm00001eb065210"	-8.33410251988898	2.62132299868756	1.51323915801659e-14	1.22753960498306e-10
"Zm00001eb357740"	-6.44561636612963	3.18186855235159	2.22284019787775e-13	1.35237597638882e-09
"Zm00001eb389190"	5.48943842568426	5.52660816431154	6.32456943345271e-13	3.0782944346501e-09
"Zm00001eb330540"	-4.70878028187445	5.23896463341645	1.32324725062915e-10	5.36709084855183e-07
"Zm00001eb274690"	4.9711149790252	3.39983365061038	1.76466753067574e-10	5.46722627966118e-07
"Zm00001eb332560"	4.79441040005199	4.0505858312969	1.797247297719e-10	5.46722627966118e-07
"Zm00001eb072870"	4.7414830969156	4.16827295404039	2.14668315056638e-10	5.8046312391315e-07
"Zm00001eb381280"	-4.71443353251863	4.12195649977734	2.9617783302252e-10	7.20778374443604e-07
"Zm00001eb088020"	-4.63228660634629	4.18667467708892	4.74579867667013e-10	9.84780792468849e-07
"Zm00001eb283460"	-5.14366966120609	2.48331571386384	4.85592106740064e-10	9.84780792468849e-07
"Zm00001eb048560"	-4.65083890272784	3.85871527210564	5.41768366094328e-10	1.01419038132858e-06
"Zm00001eb344730"	5.10140067522588	2.19356551333593	8.45269223737445e-10	1.46931941634818e-06
"Zm00001eb087960"	-4.33168796787022	7.31328966216603	1.12062212438938e-09	1.75116872020137e-06
"Zm00001eb396520"	-4.39372315595525	5.26175366405975	1.15132723221655e-09	1.75116872020137e-06
"Zm00001eb326950"	4.38171232559718	3.93938289130508	2.3833246185339e-09	3.41179928921417e-06
"Zm00001eb299760"	-4.55560842049731	2.90185225836908	2.6299997357084e-09	3.55575964267776e-06
"Zm00001eb272040"	-9.3360025654385	0.532745196061137	3.99516537266661e-09	5.11717602680077e-06
"Zm00001eb250940"	4.56428274413401	2.75270737181188	4.83606001765591e-09	5.88451782948371e-06
"Zm00001eb367810"	4.35674770465405	3.09923433769963	7.84210795248688e-09	8.93395869929331e-06
"Zm00001eb153570"	-4.95619616592619	1.73533683453608	8.07639264400283e-09	8.93395869929331e-06
"Zm00001eb171840"	4.38290634331732	2.91582107839752	9.13421880863272e-09	9.48603279522231e-06
"Zm00001eb228670"	4.05588133378769	5.75349710497366	9.35506192822713e-09	9.48603279522231e-06
"Zm00001eb164960"	-4.2725970357464	2.7103908449875	1.6543389253818e-08	1.61039968352366e-05
"Zm00001eb139500"	-4.07722613002401	3.39821827959014	2.66129190805042e-08	2.4909692259352e-05
"Zm00001eb145080"	-5.23235026436051	1.04762179411494	3.17893195616489e-08	2.86527733648995e-05
"Zm00001eb404170"	-4.10702430185619	2.8265859354309	3.69526583353642e-08	3.21171390446223e-05
"Zm00001eb187450"	3.96398339614277	3.54605380604158	4.12402227266693e-08	3.46076572509043e-05
"Zm00001eb119760"	4.29500902568275	2.29714366152747	4.54025819990536e-08	3.68305745176323e-05
"Zm00001eb367770"	3.87060545301906	4.02666589418885	5.6727438526282e-08	4.45328691605032e-05
"Zm00001eb128310"	4.50180910598175	1.41451289965415	8.78664136701946e-08	6.5088892116552e-05
"Zm00001eb204960"	-4.10821842305708	2.12300457332974	8.82615647537071e-08	6.5088892116552e-05
"Zm00001eb070270"	-4.04426976671366	2.2522316110968	1.02062365662967e-07	7.30526391404106e-05
"Zm00001eb340550"	-4.06976493641561	2.08712600487423	1.12571694070073e-07	7.827270705398e-05
"Zm00001eb087980"	-5.03618397989121	0.862263981377279	1.16232145648796e-07	7.85729304585862e-05
"Zm00001eb012570"	-5.3469068951074	0.617333839071654	1.31947446179019e-07	8.67857581138539e-05
