""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb356910"	5.91213694873531	7.71678570690216	1.31398443691579e-14	3.18260170465374e-10
"Zm00001eb187130"	10.8398602062017	2.01712038193102	1.32692874729322e-13	1.60697705940946e-09
"Zm00001eb006310"	5.66809916463862	4.68840428780514	4.45143450812736e-13	3.59393984071176e-09
"Zm00001eb221790"	6.93563548238583	2.0766461325528	6.23511514101372e-12	3.77551809576233e-08
"Zm00001eb069320"	-4.95603848564861	4.87057409229093	3.33338806332683e-11	1.54693250948457e-07
"Zm00001eb027960"	5.29841376881315	2.9680945726019	3.83204453032799e-11	1.54693250948457e-07
"Zm00001eb141540"	-5.24790346811366	2.98240154969274	7.72308643671602e-11	2.67229823690998e-07
"Zm00001eb056970"	-9.83517650230937	1.09491748884651	1.37875770421103e-10	3.86750714057793e-07
"Zm00001eb201580"	5.31650207467781	2.57661790781037	1.43708204719877e-10	3.86750714057793e-07
"Zm00001eb382310"	-6.80237327003598	1.37243467311848	2.22117981572908e-10	5.3799196316774e-07
"Zm00001eb113780"	5.19091918733513	2.6040910246907	2.52079657388582e-10	5.55056489237167e-07
"Zm00001eb069310"	-4.63918280822801	4.53475142243047	3.32790179283769e-10	6.71709244369347e-07
"Zm00001eb414390"	-4.68929340306773	4.13937791948991	3.62465361353806e-10	6.75328732103887e-07
"Zm00001eb031210"	4.52482000485051	5.30636942582591	4.29731655376321e-10	7.43466458919277e-07
"Zm00001eb032280"	-4.70521909727585	3.7008713323896	5.31564048985455e-10	8.58334188698447e-07
"Zm00001eb122110"	4.42169938090163	4.94786241936233	1.02189629893305e-09	1.54306028823152e-06
"Zm00001eb027780"	-5.31519825565047	2.08320452612711	1.08302815325279e-09	1.54306028823152e-06
"Zm00001eb011820"	4.37512868673053	5.1909637956064	1.25003112531169e-09	1.68205577145414e-06
"Zm00001eb381280"	-5.01184858955151	2.25958471980023	1.73344142176845e-09	2.20977287771861e-06
