""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb422590"	-15.4635089530967	6.59147676954453	8.88974493868757e-29	2.22056938823477e-24
"Zm00001eb221790"	-11.4851355826279	6.58971202021713	7.13246825898996e-27	6.47511870474226e-23
"Zm00001eb160010"	10.0651622584439	8.14327643278339	8.3576757888536e-27	6.47511870474226e-23
"Zm00001eb188570"	11.0183507015765	6.91647127345827	1.03688998034225e-26	6.47511870474226e-23
"Zm00001eb115210"	-14.3035766298772	5.43170288206794	6.4876746215697e-25	3.24111248744379e-21
"Zm00001eb266530"	-14.2120940939436	5.34024035979659	1.30812290208076e-24	5.44593366184588e-21
"Zm00001eb265350"	14.1680584045861	5.30045453621633	1.82286848612263e-24	6.50477598783675e-21
"Zm00001eb011990"	-13.9988857068474	5.12708505853504	6.68988728781955e-24	2.08883368203056e-20
"Zm00001eb077780"	-11.1890308847659	5.38272739699975	1.13837019000049e-23	3.15948321955802e-20
"Zm00001eb330320"	13.4533035429052	4.58856059213217	4.26913273419691e-22	9.84818567092041e-19
"Zm00001eb364840"	-13.4523872109349	4.58077709226228	4.33684464470653e-22	9.84818567092041e-19
"Zm00001eb090230"	8.30300060210518	7.47798512996501	8.50624102760415e-22	1.62287200351697e-18
"Zm00001eb292880"	10.3987171803885	4.81917832367259	8.7596497899182e-22	1.62287200351697e-18
"Zm00001eb238830"	-13.354548919585	4.48298380131618	9.09572362754218e-22	1.62287200351697e-18
"Zm00001eb410980"	-13.3092549660268	4.43771207532258	1.29145268582684e-21	2.15061310928458e-18
"Zm00001eb367250"	13.2380235711933	4.37444773859988	2.18246056225289e-21	3.38734885275146e-18
"Zm00001eb332200"	13.2314063789801	4.36786914168163	2.30533370017915e-21	3.38734885275146e-18
"Zm00001eb415430"	-13.1293647526949	4.25791986937255	5.06316373809456e-21	7.02626483410356e-18
"Zm00001eb291040"	13.0726489540906	4.21009042985066	7.7091078481088e-21	1.01350423651531e-17
"Zm00001eb391290"	10.0607755008931	4.48312283725351	1.15056712535228e-20	1.43700081120873e-17
"Zm00001eb374980"	12.965082031597	4.10324763735853	1.74104843318805e-20	2.02739010873296e-17
"Zm00001eb219380"	10.0024404734422	4.42515886895429	1.785603202375e-20	2.02739010873296e-17
"Zm00001eb210320"	-12.935131831104	4.06381294741761	2.19777057976957e-20	2.36681781520337e-17
"Zm00001eb141640"	-9.52714396130434	4.63348625690578	2.27405530905484e-20	2.36681781520337e-17
"Zm00001eb267220"	-10.1819810173847	4.37658299188217	2.4615807706855e-20	2.45951304283813e-17
"Zm00001eb317310"	12.8970264727938	4.03567751852347	2.91915681923446e-20	2.73190646049331e-17
"Zm00001eb168900"	12.8956320736424	4.03429329509458	2.95293944646781e-20	2.73190646049331e-17
"Zm00001eb301130"	8.50697579645595	5.3843818783121	3.12374646565161e-20	2.78671653448255e-17
"Zm00001eb213310"	-9.4592589819213	4.56571953161749	3.79547911504663e-20	3.26921630395689e-17
"Zm00001eb238030"	12.8108814683638	3.95017902993228	5.59867741865695e-20	4.6616454413544e-17
"Zm00001eb070780"	12.7688496115808	3.90847615867582	7.62669154319164e-20	6.14539122765755e-17
"Zm00001eb293030"	-12.7106195627586	3.83947846843572	1.20910734054173e-19	9.43821633105992e-17
"Zm00001eb141650"	-12.6470980585551	3.77601466090413	1.95548328887983e-19	1.48018233554331e-16
"Zm00001eb169120"	12.604461479405	3.74546531239123	2.65119916095051e-19	1.94777364239361e-16
"Zm00001eb157760"	-9.18389181951448	4.29089898911463	3.07273432008375e-19	2.1929665880392e-16
"Zm00001eb234010"	12.5786256611143	3.71985971865503	3.232120620465e-19	2.24264280496098e-16
"Zm00001eb392900"	-9.8209364416111	4.01608010288782	3.79562121826919e-19	2.56245465976071e-16
"Zm00001eb301690"	12.503722524823	3.64564635666841	5.63743893543577e-19	3.70572597811185e-16
"Zm00001eb400200"	12.4515354658251	3.59396011076918	8.38764707323547e-19	5.37218041647048e-16
"Zm00001eb345080"	9.45272791348179	3.87974993633195	1.14775389295044e-18	7.16743612300229e-16
"Zm00001eb410960"	-12.4032656912129	3.53244036111977	1.22629407025406e-18	7.47112184899418e-16
"Zm00001eb293720"	-12.3340543269679	3.46331435523137	2.07821148709744e-18	1.23599154133826e-15
"Zm00001eb433790"	9.36615329062311	3.7940071376947	2.18731158260762e-18	1.27062455865013e-15
"Zm00001eb410970"	-12.3093970902756	3.43868898522939	2.50623718658566e-18	1.42280224281189e-15
"Zm00001eb072050"	12.2889783472766	3.43307588750762	2.82814821962933e-18	1.56987365284713e-15
"Zm00001eb360420"	-12.2741532736106	3.40349210937412	3.25227031615432e-18	1.76605348320041e-15
"Zm00001eb282500"	12.2392726952004	3.38391774994225	4.17115403932395e-18	2.17065118225569e-15
"Zm00001eb339700"	12.2392726952004	3.38391774994225	4.17115403932395e-18	2.17065118225569e-15
"Zm00001eb299830"	12.1461831834331	3.29190180465299	8.28126648926167e-18	4.21441217867555e-15
"Zm00001eb235080"	-12.143543106085	3.27307121577134	8.60462873263352e-18	4.21441217867555e-15
"Zm00001eb307870"	-12.143543106085	3.27307121577134	8.60462873263352e-18	4.21441217867555e-15
"Zm00001eb400620"	12.1367712366885	3.28260200517251	8.9418022537572e-18	4.29533227878079e-15
"Zm00001eb162190"	12.1249192935994	3.27089224543244	9.66017869721901e-18	4.55286044675158e-15
"Zm00001eb423520"	12.1201511190063	3.26618157706972	1.00427614293933e-17	4.64552106934844e-15
"Zm00001eb006490"	-12.1182129716746	3.24778078182896	1.04419186184726e-17	4.74233973037866e-15
"Zm00001eb099770"	-12.1096697903263	3.23925122305147	1.10734488081064e-17	4.93935138888731e-15
"Zm00001eb029940"	-9.35216568616353	3.54829675658112	1.28915384879762e-17	5.6494340331782e-15
"Zm00001eb121460"	12.0838784566709	3.2303521529071	1.32315133142457e-17	5.69844777718176e-15
"Zm00001eb087350"	-12.0749819947955	3.2046199752472	1.43343734840779e-17	6.06878500438614e-15
"Zm00001eb167120"	7.09632165509794	5.69740647093357	1.76044863596338e-17	7.32904107962152e-15
"Zm00001eb099740"	-7.64751907967391	4.28177237274231	1.85414759797302e-17	7.5925824343882e-15
"Zm00001eb241410"	12.026426380033	3.17362341259548	2.02772123671509e-17	8.16942722127519e-15
"Zm00001eb058440"	11.9824411848489	3.13021012636154	2.83926373845189e-17	1.12574553845698e-14
"Zm00001eb002910"	9.00364727619987	3.43554336955928	3.31714166007965e-17	1.2946700238614e-14
"Zm00001eb059710"	11.9505650910358	3.09875857524483	3.6003871274816e-17	1.38360107780558e-14
"Zm00001eb259830"	-11.9369266675519	3.0668107232492	4.01764434498028e-17	1.5205566377767e-14
"Zm00001eb301820"	11.9097032836828	3.05845365908727	4.79908524192585e-17	1.78919925758307e-14
"Zm00001eb152140"	8.25726130331436	3.61328801250332	5.64527680979832e-17	2.07372602105812e-14
"Zm00001eb274020"	-7.73125140486824	3.79631060361298	6.07956241470361e-17	2.20088970372292e-14
"Zm00001eb365170"	7.80318917381903	4.11732972444929	6.704204773915e-17	2.3747363172458e-14
"Zm00001eb152780"	11.8648027185198	3.01418182181908	6.74992107468081e-17	2.3747363172458e-14
"Zm00001eb051100"	-11.850693604594	2.98075011153214	7.7598287552376e-17	2.69212170107055e-14
"Zm00001eb283080"	11.8243346563	2.97429585596055	9.15106934497907e-17	3.13129535846893e-14
"Zm00001eb117860"	11.7857127936532	2.93624350801845	1.2211729845007e-16	4.122118916195e-14
"Zm00001eb316330"	-11.7734720898894	2.90369667898039	1.38026864168257e-16	4.59703072007852e-14
"Zm00001eb304830"	8.77882249108188	3.21374635676558	1.77659173671954e-16	5.83914276204177e-14
"Zm00001eb218160"	7.49062041888672	4.12017669574317	1.85396777640163e-16	6.01431962165405e-14
"Zm00001eb129840"	-8.95632030427674	3.15364613372166	2.51495581821286e-16	8.05398479271012e-14
"Zm00001eb059400"	8.72314586953737	3.15888948546977	2.73365133875726e-16	8.64352870769843e-14
"Zm00001eb281930"	8.7049702938619	3.14098788989373	3.10153686806446e-16	9.65602757386146e-14
"Zm00001eb137280"	-6.41831420553384	7.90494370255723	3.13118312775843e-16	9.65602757386146e-14
"Zm00001eb350220"	11.6500555719815	2.80269934527883	3.2966013673874e-16	1.00421714092646e-13
"Zm00001eb070630"	-11.6414080701134	2.77195344161223	3.6691178680324e-16	1.09108208601883e-13
"Zm00001eb282490"	11.6367629059273	2.78962350601872	3.6691178680324e-16	1.09108208601883e-13
"Zm00001eb117200"	-11.6215147849938	2.75211243999055	4.20066360500751e-16	1.23445148458215e-13
"Zm00001eb317670"	7.978414850079	3.3383049736886	4.53936980586397e-16	1.31847579512414e-13
"Zm00001eb209990"	-6.68925769517178	4.97098534281436	4.8004811467768e-16	1.3782898685671e-13
"Zm00001eb008040"	8.64085607436472	3.07786587243483	4.99044752353479e-16	1.41654987148154e-13
"Zm00001eb100200"	-11.593195141645	2.72386913728364	5.23409895533186e-16	1.4690175034296e-13
"Zm00001eb396560"	11.5788614891397	2.73268771209395	5.69058192315777e-16	1.57938939842842e-13
"Zm00001eb054330"	-8.17019362482626	3.28058264926009	6.24430378574908e-16	1.71402707982666e-13
"Zm00001eb253360"	11.5401182866707	2.69461023686359	7.55472296253456e-16	2.05118940088207e-13
"Zm00001eb146150"	-11.5305709273634	2.66142204073555	8.23678185221908e-16	2.18879333921894e-13
"Zm00001eb157170"	11.5293688547153	2.68404835468996	8.23678185221908e-16	2.18879333921894e-13
"Zm00001eb354650"	7.28053443267172	3.91284069882908	8.9370963055565e-16	2.34989188017364e-13
"Zm00001eb411520"	-6.35449648471388	6.00015710846542	1.32311329742991e-15	3.44271323505227e-13
