""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb160010"	10.9694409520475	8.16564472426206	8.68264141490228e-29	2.0750644717475e-24
"Zm00001eb422590"	-15.2611030285901	6.61111523709941	4.04164056873283e-28	4.8295583976073e-24
"Zm00001eb115210"	-15.0902923672557	6.44043418370682	1.49926692463974e-27	1.19436600773217e-23
"Zm00001eb265350"	13.7036161561027	5.05625793592965	6.07801487261322e-23	3.63146193601458e-19
"Zm00001eb238830"	-13.6143925681361	4.96660475601735	1.20834208958049e-22	5.77563351977683e-19
"Zm00001eb089110"	-8.85518983852633	6.21785186038907	6.50738342065727e-22	2.59199927283813e-18
"Zm00001eb188570"	8.93068204703414	5.65562285228566	2.75969270271976e-21	9.31355424906274e-18
"Zm00001eb077780"	-9.3271585522603	5.31191512320871	3.16874551394951e-21	9.31355424906274e-18
"Zm00001eb292880"	13.1717202526784	4.52598567050286	3.50734291148436e-21	9.31355424906274e-18
"Zm00001eb029940"	-13.0648127374494	4.41852633096484	7.86816095553065e-21	1.88041178676227e-17
"Zm00001eb266820"	7.82606969661803	7.44812886163768	2.13636933691362e-20	4.64155370753624e-17
"Zm00001eb291040"	12.8952705567987	4.25064530132277	2.85284840037901e-20	5.6816853267215e-17
"Zm00001eb391290"	12.8370725700332	4.19270885757349	4.39856363909955e-20	8.08625172391079e-17
"Zm00001eb047740"	12.7317345065801	4.08787152264549	9.82862067611163e-20	1.67781575384566e-16
"Zm00001eb072050"	12.683875350476	4.04025206975142	1.41599712817088e-19	2.25606102441039e-16
"Zm00001eb266530"	-12.4954847045965	3.85149536771475	5.80949901188009e-19	8.67757605530764e-16
"Zm00001eb410980"	-12.4853622467456	3.84142256109333	6.26521776496231e-19	8.8077905508726e-16
"Zm00001eb137280"	-7.30248197684146	7.50891204466754	7.17016304065157e-19	9.51998480602955e-16
"Zm00001eb301130"	7.89589548258617	5.28953910765873	7.89151089627338e-19	9.59064184070272e-16
"Zm00001eb093440"	7.53958365048223	6.09128369398414	8.02597752266013e-19	9.59064184070272e-16
"Zm00001eb090230"	7.40660624712197	6.59244728187483	8.51186201124291e-19	9.68690429555687e-16
"Zm00001eb044850"	12.3857018625246	3.74376228919587	1.32947917187377e-18	1.3900335714757e-15
"Zm00001eb152140"	12.3814216663609	3.73950884484439	1.37337156279737e-18	1.3900335714757e-15
"Zm00001eb395670"	12.3792767968997	3.73737741051549	1.39590801771692e-18	1.3900335714757e-15
"Zm00001eb332200"	9.5072059652346	4.0471825512858	1.60852118367971e-18	1.53713019646921e-15
"Zm00001eb374980"	12.3554703420463	3.71372140282879	1.67226181464494e-18	1.53713019646921e-15
"Zm00001eb220190"	7.91640071339736	4.90316047458982	2.45867139374515e-18	2.17628843107835e-15
"Zm00001eb364840"	-8.78731429040068	4.21973992673908	2.76773364014627e-18	2.36235950949485e-15
"Zm00001eb267220"	-12.2711151629421	3.62831293035415	3.14010247059883e-18	2.58776927396005e-15
"Zm00001eb410970"	-12.2425518482859	3.59991450874654	3.88267858557392e-18	3.0930711838877e-15
"Zm00001eb070780"	12.1619290953008	3.52149822535307	7.11414801452989e-18	5.48454914191128e-15
"Zm00001eb043820"	9.28484995419294	3.82633461313996	8.59165324440883e-18	6.41662252775396e-15
"Zm00001eb352960"	9.27877651517884	3.82030566572065	8.996743746932e-18	6.51555087296751e-15
"Zm00001eb370140"	9.26040126719426	3.80206615628662	1.01824157641411e-17	7.15733983374139e-15
"Zm00001eb354650"	8.13103590263856	4.14856504266615	2.23521315666274e-17	1.52626740660237e-14
