Gene	logFC
Zm00001eb000380	-3.651333843
Zm00001eb004670	-8.766523466
Zm00001eb006310	5.668099165
Zm00001eb009940	-6.011678182
Zm00001eb011820	4.375128687
Zm00001eb027780	-5.315198256
Zm00001eb027960	5.298413769
Zm00001eb031210	4.524820005
Zm00001eb032280	-4.705219097
Zm00001eb032560	-4.40024265
Zm00001eb056970	-9.835176502
Zm00001eb068470	4.161798834
Zm00001eb068480	4.245661471
Zm00001eb069310	-4.639182808
Zm00001eb069320	-4.956038486
Zm00001eb100220	-4.87703178
Zm00001eb106380	-4.126030894
Zm00001eb109440	3.407059385
Zm00001eb113780	5.190919187
Zm00001eb122110	4.421699381
Zm00001eb135130	3.675449504
Zm00001eb139830	4.505741102
Zm00001eb141540	-5.247903468
Zm00001eb161390	-5.014725404
Zm00001eb161610	4.354840549
Zm00001eb164390	-3.440021647
Zm00001eb164960	-4.194996264
Zm00001eb170080	-3.766439497
Zm00001eb180830	-3.727983053
Zm00001eb186620	-8.320268621
Zm00001eb187130	10.83986021
Zm00001eb188120	-4.46604757
Zm00001eb200910	-5.736234961
Zm00001eb201580	5.316502075
Zm00001eb221790	6.935635482
Zm00001eb225440	-3.697324772
Zm00001eb238270	-4.126030894
Zm00001eb238440	-8.320268621
Zm00001eb253580	-3.619923098
Zm00001eb255510	-3.591993457
Zm00001eb268600	-3.518660016
Zm00001eb275400	3.300607216
Zm00001eb277660	-4.087729608
Zm00001eb287790	-4.232365862
Zm00001eb291720	-8.859425809
Zm00001eb293270	-5.988915499
Zm00001eb313920	-4.753423562
Zm00001eb314330	-4.849647944
Zm00001eb319590	3.208796509
Zm00001eb320970	4.181420171
Zm00001eb332100	-4.414771177
Zm00001eb340550	-4.531999352
Zm00001eb356910	5.912136949
Zm00001eb365220	-4.266382713
Zm00001eb370870	3.496452473
Zm00001eb381280	-5.01184859
Zm00001eb382310	-6.80237327
Zm00001eb384740	-4.175517602
Zm00001eb402150	-3.757988641
Zm00001eb410710	-3.531325708
Zm00001eb412390	4.596153173
Zm00001eb414390	-4.689293403
Zm00001eb425130	3.459712388
Zm00001eb433640	4.202700889
