	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5
Zm00001eb267030	0.292358792034283	0.335156642168829	0.00563261585521401	0.228172500173833	0.125603317317938
Zm00001eb078440	0.111646590556753	0.10577526054206	0.563822513423512	0.00379093824722007	0.15682290455024
Zm00001eb090830	0.0628424268189418	0.705453639195343	0.000444401063716007	0.0635966013682085	0.0230490413794433
Zm00001eb411380	0.895235818029313	0.065609825064275	0.00269278999666714	0.00134570889601426	0.00956680577986403
Zm00001eb137410	0.037817755216249	0.355307162092495	0.0259202978466039	0.0131142065829443	0.37747634136762
Zm00001eb164750	0.424402893125263	0.200983471930239	0.209627067031405	0.0390255395564371	0.0223022093650662
Zm00001eb404790	0.160950250491574	0.0434484527572457	0.321106672742348	0.177423229688733	0.182073144180845
Zm00001eb137390	0.761279957019184	0.032468434990051	0.113317766145078	0.0869673243339568	0.00189562197425766
Zm00001eb170040	0.0433379178426721	0.303591585066025	0.288115567501248	0.0288801720401748	0.255311723354891
Zm00001eb165580	0.158555145551093	0.297333059390055	0.000474852629353238	0.250317870143702	0.0123140385634518
Zm00001eb169520	0.109054723583193	0.581333627962607	0.00926086339846365	0.0598092153547911	0.216456059302363
Zm00001eb404780	0.126399406841642	0.127777735238798	0.48115152639217	0.0662241543913466	0.0137435644062446
Zm00001eb032290	0.776563063089173	9.74334851112653e-05	0.182345223230207	0.0241618209465041	0.000862296853419136
Zm00001eb418460	0.0167662018117764	0.00618262417859687	0.778454789470323	0.0557478839558412	0.0463679675875117
Zm00001eb137480	0.0018841555779534	0.699222906447786	0.16937538014542	0.0392120179381304	0.0800671329318434
Zm00001eb353970	0.00424031277333062	0.296693577365015	0.107473312843805	0.533930757767847	0.00718050178133387
Zm00001eb003730	0.125112368993153	0.360731767327285	0.329873563882562	0.107674675802798	0.00243193001256036
Zm00001eb164610	0.369469505796681	0.0107801731003421	0.00906719678963398	0.190045066236538	0.318465578262581
Zm00001eb144960	0.00528157551463473	0.475485034180382	0.467110821945244	0.001765401906631	0.0218058551380721
Zm00001eb340450	0.279544039740754	0.488804868296923	0.0427970668448967	0.0860437397369111	1.04149976446781e-07
Zm00001eb406100	0.11656409167119	0.0321281197781174	0.223295481229358	0.000240123045057816	0.168128557388943
Zm00001eb172420	0.181569630271197	0.100465404411898	0.181837615444994	0.000918896604532535	0.237314573640312
Zm00001eb164860	0.550882618136146	0.0221437496395249	0.00132915900754546	0.110275806440273	0.246517324118128
Zm00001eb039010	0.80678446297477	0.0376047545480731	0.0537985279370975	0.0389175296236614	0.0298883875370549
Zm00001eb385900	0.170495311223487	0.795483668000176	0.0144036372764172	0.00506712090113467	0.00162398150696004
Zm00001eb015620	0.525131100293681	0.0675282823109569	0.174536353242261	0.106721134109687	0.0908611753588915
