GeneID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb411380	226039	317923	213859	257123	7982	10964	14490	9987
Zm00001eb312080	25108	10981	10274	10266	924	787	551	582
Zm00001eb429750	24040	16709	13813	17838	3724	2104	2479	1545
Zm00001eb137280	16933	7602	12687	9007	222	249	176	58
Zm00001eb040190	9040	5339	4051	4590	443	481	374	187
Zm00001eb414390	8630	4229	6013	2933	607	250	1054	33
Zm00001eb087960	8485	450	13779	7175	14947	1973	22759	16065
Zm00001eb378280	8198	1564	6893	446	4940	1704	5806	818
Zm00001eb116160	8161	5210	5658	4928	680	551	885	358
Zm00001eb273940	8042	3372	3928	2769	224	104	148	56
Zm00001eb411520	7585	8406	3386	5619	50	60	49	67
Zm00001eb356910	5882	619	117	3640	5836	1075	215	10499
Zm00001eb272050	5706	5221	3542	3597	59187	25182	55858	35892
Zm00001eb320890	5702	614	7650	1754	8375	1200	6788	2650
Zm00001eb055490	5392	3563	4462	3437	175	208	258	144
Zm00001eb269960	4805	3990	2411	2386	283	427	240	101
Zm00001eb411430	4804	6765	5968	5769	198	667	424	1068
Zm00001eb411000	4372	3797	3511	3756	317	286	257	283
Zm00001eb422590	4303	5185	5164	4863	0	21	0	0
Zm00001eb221790	4046	6131	5156	5359	5	0	2	212
Zm00001eb321830	3863	4100	3477	3000	124	104	175	96
Zm00001eb008080	3849	3093	1969	2744	732	308	503	218
Zm00001eb122110	3804	1354	108	1445	3010	775	86	1496
Zm00001eb141910	3716	3679	4232	5032	876	767	1186	441
Zm00001eb089110	3387	3908	1264	3694	142	71	67	8
Zm00001eb391660	3226	4720	3276	5162	619	1160	570	250
Zm00001eb115210	3219	4134	2311	4320	0	0	0	0
Zm00001eb000660	3153	364	337	656	210	131	275	77
Zm00001eb021600	2942	2100	1982	2840	33	23	61	69
Zm00001eb097880	2572	1664	1491	3496	665	342	741	208
Zm00001eb106430	2568	245	4934	418	2320	350	6285	783
Zm00001eb217970	2474	245	764	234	921	167	681	211
Zm00001eb198150	2454	1566	1692	1275	15	23	173	31
Zm00001eb280930	2304	541	2581	205	286	91	587	94
Zm00001eb017590	2281	1499	1763	976	57	28	75	25
Zm00001eb242800	2220	1522	1527	2223	119	83	126	200
Zm00001eb221740	2214	3306	1957	2731	48	82	33	26
Zm00001eb015860	2119	2029	2374	1340	77	157	140	81
Zm00001eb280200	2112	2200	2374	1618	148	317	381	262
Zm00001eb335560	2107	3082	1331	1518	390	775	353	87
Zm00001eb384740	2087	356	2114	51	1292	462	2901	130
Zm00001eb077780	2070	2328	2233	1971	13	4	1	3
Zm00001eb396520	2049	104	182	753	1666	142	173	1061
Zm00001eb330540	2035	83	151	120	1244	396	237	115
Zm00001eb159020	1863	460	4209	512	946	9	2701	1476
Zm00001eb232210	1844	1560	1750	1060	4	3	30	68
Zm00001eb089190	1751	1881	814	1787	277	307	160	136
Zm00001eb021470	1744	1031	1421	2579	38	128	53	39
Zm00001eb276150	1720	618	1435	872	153	86	125	24
Zm00001eb319590	1692	4883	396	2227	1359	3841	270	2024
Zm00001eb295010	1671	1601	187	2015	1440	2833	481	2594
Zm00001eb416170	1667	1040	1007	665	32	21	25	15
Zm00001eb011990	1598	1198	1871	1064	1	71	0	32
Zm00001eb065120	1592	185	723	306	946	164	876	343
Zm00001eb141640	1511	1251	1327	733	5	2	2	2
Zm00001eb156130	1464	1085	2654	549	117	153	189	176
Zm00001eb089130	1423	1275	890	1287	160	119	198	58
Zm00001eb292260	1415	1174	791	1265	109	166	143	56
Zm00001eb238830	1396	2271	1197	1553	0	0	0	0
Zm00001eb113780	1380	120	21	633	696	51	10	300
Zm00001eb023420	1365	419	2686	194	1736	1219	2521	327
Zm00001eb099760	1361	800	1037	352	12	13	17	13
Zm00001eb040350	1345	318	299	369	26	29	36	8
Zm00001eb388510	1341	140	2202	607	1711	292	3918	1177
Zm00001eb266530	1334	1374	2169	715	2	2	0	0
Zm00001eb099740	1329	734	1036	423	9	1	6	0
Zm00001eb413300	1319	429	1150	355	4840	4133	11106	4964
Zm00001eb035520	1312	1716	1486	1148	10	18	45	21
Zm00001eb364840	1285	1257	1281	922	0	41	0	2
Zm00001eb205630	1254	2158	1892	1541	67	117	218	156
Zm00001eb078660	1240	479	624	639	23	21	66	6
Zm00001eb405910	1219	1096	1376	1460	67	74	66	73
Zm00001eb259830	1178	617	448	455	0	0	0	0
Zm00001eb011820	1155	134	155	1440	581	158	105	1768
Zm00001eb362170	1096	2646	2426	994	32	125	89	58
Zm00001eb168100	1069	108	1121	272	1588	270	2450	777
Zm00001eb016800	1062	1050	353	2756	625	859	457	1847
Zm00001eb410980	1057	945	1160	710	1	0	0	0
Zm00001eb229190	1056	9	120	227	2001	25	1975	1948
Zm00001eb157760	1046	680	1046	401	2	1	2	4
Zm00001eb304540	1019	1330	568	928	11817	15022	15282	16750
Zm00001eb238870	1011	1002	950	601	57	31	59	10
Zm00001eb088020	978	42	1393	724	2338	263	3183	2080
Zm00001eb316870	966	150	2171	161	900	315	3114	389
Zm00001eb100200	964	172	353	79	1	2	0	0
Zm00001eb354110	955	848	1026	468	40	72	55	35
Zm00001eb267220	948	978	1111	612	0	0	1	0
Zm00001eb029940	948	710	625	1061	0	3	1	0
Zm00001eb141650	943	735	733	442	0	3	0	0
Zm00001eb381280	937	38	120	4	223	68	283	7
Zm00001eb293030	925	705	766	399	4	0	0	14
Zm00001eb425130	894	474	101	641	430	554	85	759
Zm00001eb036780	883	1040	618	367	108	59	91	47
Zm00001eb392900	870	1061	865	879	3	0	1	8
Zm00001eb252990	857	331	410	383	27	66	31	26
Zm00001eb264260	846	634	1715	1301	153	116	198	51
Zm00001eb000380	841	365	1543	216	855	765	3149	203
Zm00001eb071080	839	1209	388	463	6	13	5	6
Zm00001eb099770	833	449	505	240	1	0	0	0
Zm00001eb419160	831	446	682	348	33	23	18	44
Zm00001eb351790	825	1193	8642	508	409	572	1725	524
Zm00001eb415430	816	1381	1024	312	0	0	0	0
Zm00001eb200030	814	1037	604	683	42	133	103	37
Zm00001eb210320	813	688	895	461	0	0	0	5
Zm00001eb112260	806	84	1015	203	824	95	1312	324
Zm00001eb240910	804	223	342	323	507	38	254	377
Zm00001eb151310	800	483	636	508	122	63	110	34
Zm00001eb290230	793	937	781	756	15	16	41	5
Zm00001eb326810	783	1155	636	1477	93	110	72	65
Zm00001eb048560	779	33	64	292	155	27	57	67
Zm00001eb113900	778	554	672	452	34	50	82	23
Zm00001eb413120	776	79	370	104	75	6	133	46
Zm00001eb138650	774	152	5004	453	1362	326	7042	1438
Zm00001eb200730	773	857	676	590	29	42	37	16
Zm00001eb170770	756	62	106	449	18	4	13	9
Zm00001eb362750	755	70	196	132	1	0	1	5
Zm00001eb122840	733	535	938	438	77	23	117	14
Zm00001eb348840	730	557	463	439	57	50	124	26
Zm00001eb248980	714	418	659	299	19	53	25	46
Zm00001eb214420	705	2739	657	4779	543	2491	530	2445
Zm00001eb131820	685	640	704	595	21	11	30	24
Zm00001eb114330	684	187	186	74	43	20	35	25
Zm00001eb067380	682	60	567	94	710	7	2257	379
Zm00001eb084380	656	255	122	202	0	0	0	0
Zm00001eb410960	646	447	619	366	1	0	0	0
Zm00001eb274020	644	404	740	234	3	5	4	1
Zm00001eb266690	641	617	836	613	147	53	68	73
Zm00001eb410970	640	747	580	600	0	0	0	0
Zm00001eb101820	636	403	538	286	12	28	15	43
Zm00001eb243650	631	759	628	668	50	67	84	42
Zm00001eb302390	627	447	483	303	44	21	49	23
Zm00001eb336580	622	63	2164	131	1092	165	3376	541
Zm00001eb135130	616	97	46	263	357	122	64	664
Zm00001eb173900	610	641	834	857	95	172	90	35
Zm00001eb109440	605	202	50	940	581	347	144	1239
Zm00001eb072600	605	316	337	147	50	14	59	18
Zm00001eb031210	601	213	24	1049	1378	566	103	1924
Zm00001eb377330	593	417	825	275	12	39	32	26
Zm00001eb138580	593	366	498	230	33	54	41	22
Zm00001eb044100	588	582	569	399	8	5	7	2
Zm00001eb203250	586	445	516	169	0	0	6	0
Zm00001eb121740	582	792	789	792	36	55	63	50
Zm00001eb247910	578	499	460	328	6	0	2	7
Zm00001eb121720	576	562	530	310	27	50	42	30
Zm00001eb231210	574	174	1541	92	682	473	1583	350
Zm00001eb302980	571	979	874	926	74	81	144	48
Zm00001eb138510	562	45	58	68	791	284	70	77
Zm00001eb235080	556	575	517	479	0	5	0	0
Zm00001eb139500	555	35	170	9	4	0	10	2
Zm00001eb170470	548	542	397	171	12	21	19	10
Zm00001eb099750	547	306	358	160	22	17	30	17
Zm00001eb091100	541	510	569	390	4	8	6	8
Zm00001eb172450	540	5795	7204	3616	573	4783	5869	3381
Zm00001eb293720	535	725	590	388	12	7	0	9
Zm00001eb428590	534	554	768	453	23	34	53	27
Zm00001eb209990	533	332	1663	105	7	12	19	17
Zm00001eb054330	531	451	518	305	0	8	2	3
Zm00001eb029530	522	703	570	217	19	170	124	38
Zm00001eb401360	520	660	600	382	59	55	48	72
Zm00001eb205090	520	405	542	311	0	9	6	0
Zm00001eb244450	518	497	329	441	11	49	54	47
Zm00001eb418340	516	292	135	997	3045	1746	1618	1554
Zm00001eb006310	509	247	18	802	258	181	31	1283
Zm00001eb405180	504	233	308	213	20	2	2	2
Zm00001eb357740	500	6	1755	114	785	8	1546	351
Zm00001eb069320	496	107	692	65	1012	139	1766	46
Zm00001eb072130	491	346	303	233	2	1	1	0
Zm00001eb129840	481	259	475	168	3	1	1	5
Zm00001eb210970	481	308	378	143	7	7	8	5
Zm00001eb385700	480	431	215	93	3180	4618	1739	1861
Zm00001eb139740	476	168	59	517	333	186	89	278
Zm00001eb073390	470	395	416	148	2	0	4	0
Zm00001eb197600	469	1037	873	799	86	80	112	47
Zm00001eb058060	469	308	1009	167	135	148	94	54
Zm00001eb380570	464	241	270	152	0	0	0	0
Zm00001eb379020	462	932	728	363	48	58	62	27
Zm00001eb058070	457	199	978	97	24	65	68	29
Zm00001eb343950	451	452	605	529	5994	6672	7477	5374
Zm00001eb330390	448	444	554	496	8	4	17	31
Zm00001eb217940	448	395	337	237	3	4	13	15
Zm00001eb198620	443	48	1269	409	338	34	539	294
Zm00001eb009940	441	97	233	101	40	34	168	2
Zm00001eb197290	431	572	376	350	43	57	36	19
Zm00001eb015770	428	190	746	175	14	35	72	61
Zm00001eb244990	428	233	276	419	24	31	91	16
Zm00001eb405250	419	325	350	239	34	31	19	22
Zm00001eb350330	419	254	366	153	7	3	3	1
Zm00001eb071630	415	360	485	244	2	9	19	2
Zm00001eb360420	415	241	566	219	0	0	0	2
Zm00001eb047770	413	355	366	289	5	8	7	7
Zm00001eb087970	413	294	368	171	2	0	1	1
Zm00001eb153310	413	184	261	129	5	9	3	11
Zm00001eb325280	411	231	459	260	51	21	64	5
Zm00001eb046710	411	167	254	125	0	0	0	1
Zm00001eb137370	407	912	488	155	5570	5382	7064	2789
Zm00001eb299760	399	18	1117	73	927	107	1784	298
Zm00001eb055380	399	39	67	28	280	97	101	79
Zm00001eb070630	396	279	365	114	0	0	0	0
Zm00001eb198090	389	328	404	236	18	13	19	9
Zm00001eb078530	388	376	332	329	0	4	2	3
Zm00001eb316330	384	454	400	295	0	0	0	0
Zm00001eb144350	379	176	404	250	1139	1036	1885	3623
Zm00001eb007550	377	298	296	167	0	0	0	3
