Gene_ID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb000380	811.1504099	326.1220054	1499.340533	253.1029103	938.237385	729.2583813	2578.957183	225.4606774
Zm00001eb000660	3041.090657	325.2285204	327.4645235	768.6829128	230.44427	124.8795398	225.2185537	85.51956728
Zm00001eb004670	20.25464757	9.828334409	45.67012642	28.12254559	12.07089033	14.29918395	49.13859352	0
Zm00001eb006310	490.9340769	220.6907817	17.49068671	939.7617318	283.117246	172.5434863	25.38827332	1424.955907
Zm00001eb009940	425.347599	86.66803978	226.4072225	118.349046	43.89414667	32.41148361	137.5880619	2.221287462
Zm00001eb011820	1114.005616	119.7269828	150.6142467	1687.352735	637.5624803	150.6180709	85.99253867	1963.618116
Zm00001eb011990	1541.28223	1070.394966	1818.059713	1246.766188	1.097353667	67.68280401	0	35.54059939
Zm00001eb012570	78.12506921	1.786969892	17.49068671	4.687090932	3.292061	18.11229967	4.913859352	1.110643731
Zm00001eb016800	1024.306463	938.1591935	343.0118006	3229.405652	685.8460416	818.8666007	374.2722873	2051.358971
Zm00001eb018040	339.5064736	46.4612172	471.2768365	64.44750031	102.053891	5.719673579	174.442007	32.2086682
Zm00001eb019880	81.01859029	2.680454839	0.971704817	2.343545466	200.815721	21.92541539	66.33710126	18.88094343
Zm00001eb021500	6.751549191	19.65666882	2.915114452	99.6006823	5.486768333	13.34590502	21.29339053	15.54901223
Zm00001eb022810	78.12506921	3.573939785	12.63216263	0	32.92061	2.859836789	22.11236709	2.221287462
Zm00001eb023420	1316.552092	374.3701925	2609.99914	227.3239102	1905.005965	1162.047015	2064.639905	363.1805
Zm00001eb027780	0	47.35470215	118.5479877	14.0612728	10.97353667	68.63608294	205.5631162	5.553218655
Zm00001eb027960	54.01239353	248.3888151	6.801933722	246.0722739	25.23913433	121.0664241	9.827718705	429.8191239
Zm00001eb031210	579.6687234	190.3122935	23.32091562	1229.189597	1512.153353	539.5558743	84.35458555	2136.878538
Zm00001eb032280	322.1453471	37.52636774	326.4928187	35.15318199	640.8545413	139.1787237	635.5258096	26.65544954
Zm00001eb032560	21.2191546	33.05894301	92.31195766	8.202409131	2.194707333	8.579510368	87.63049179	4.442574924
Zm00001eb032580	305.7487276	112.5791032	383.8234029	36.32495472	32.92061	34.31804147	126.12239	18.88094343
Zm00001eb034050	43.40281623	21.44363871	1333.17901	106.6313187	84.49623233	35.2713204	911.5209099	436.4829862
Zm00001eb035600	2.893521082	0	128.2650359	5.858863665	2.194707333	0	49.13859352	2.221287462
Zm00001eb037600	29.89971785	9.828334409	994.0540282	78.50877311	18.65501233	11.43934716	239.1411552	31.09802447
Zm00001eb040580	69.44450596	47.35470215	6.801933722	208.5755465	15.36295133	31.45820468	8.189765587	47.75768043
Zm00001eb042070	99.34422381	6.254394624	71.90615649	12.88950006	98.76183	18.11229967	136.7690853	14.4383685
Zm00001eb047740	46.29633731	40.20682258	59.27399386	0	961.281812	917.0543305	941.8230426	952.9323211
Zm00001eb048370	49.18985839	627.2264323	497.5128665	358.5624563	27.43384167	489.9853699	264.5294285	163.2646284
Zm00001eb048560	751.3509742	29.48500323	62.18910832	342.157638	170.0898183	25.7385311	46.68166385	74.41312997
Zm00001eb053150	6.751549191	16.97621398	37.89648788	0	14.26559767	86.74838261	45.86268729	21.10223089
Zm00001eb054810	7.716056218	3.573939785	61.2174035	0	8.778829333	7.626231438	49.95757008	7.774506116
Zm00001eb055380	384.8383039	34.8459129	65.10422277	32.80963652	307.2590267	92.46805619	82.71663243	87.74085474
Zm00001eb056010	28.93521082	8.934849462	571.3624327	22.26368193	86.69093966	70.5426408	538.0675991	304.3163823
Zm00001eb056110	37.61577406	39.31333763	47.61353605	0	30.72590267	14.29918395	18.83646085	12.21708104
Zm00001eb056970	1.929014055	0	543.1829929	8.202409131	0	0.95327893	103.1910464	0
Zm00001eb065120	1535.495187	165.2947151	702.542583	358.5624563	1038.096569	156.3377445	717.4234655	380.9507997
Zm00001eb065210	328.8968963	0.893484946	15.54727708	28.12254559	889.9538236	31.45820468	598.6718644	677.4926759
Zm00001eb067380	657.7937926	53.60909677	550.9566315	110.1466369	779.1211033	6.672952508	1848.430093	420.933974
Zm00001eb068470	96.45070273	205.5015376	60.24569868	587.0581392	31.82325633	102.9541244	16.37953117	324.3079694
Zm00001eb068480	8.680563245	15.18924409	0.971704817	29.29431832	5.486768333	52.43034114	6.55181247	138.8304664
Zm00001eb069310	150.4630963	37.52636774	264.3037103	36.32495472	823.01525	75.30903545	1135.920487	49.97896789
Zm00001eb069320	478.3954855	95.60288925	672.4197337	76.16522764	1110.521911	132.5057712	1446.312603	51.08961162
Zm00001eb070270	240.1622498	14.29575914	36.92478306	33.98140926	443.3308813	355.5730408	248.1498973	636.3988578
Zm00001eb072870	34.72225298	922.0764645	256.5300718	557.7638209	26.336488	890.3625204	429.9626933	838.5360168
