Gene	logFC
Zm00001eb000660	-3.209422012
Zm00001eb011820	-3.201512991
Zm00001eb012570	-5.346906895
Zm00001eb019880	-4.843798063
Zm00001eb022810	-4.391330191
Zm00001eb027780	8.684633671
Zm00001eb042070	-3.949631979
Zm00001eb048370	3.684588258
Zm00001eb048560	-4.650838903
Zm00001eb055380	-3.445674702
Zm00001eb065120	-3.199509681
Zm00001eb065210	-8.33410252
Zm00001eb067380	-3.599055208
Zm00001eb070270	-4.044269767
Zm00001eb072870	4.741483097
Zm00001eb087960	-4.331687968
Zm00001eb087980	-5.03618398
Zm00001eb088020	-4.632286606
Zm00001eb106410	-3.543286029
Zm00001eb106430	-3.484262883
Zm00001eb112260	-3.355482574
Zm00001eb113780	-3.617300365
Zm00001eb119760	4.295009026
Zm00001eb123400	-3.667974533
Zm00001eb126130	3.478181717
Zm00001eb128310	4.501809106
Zm00001eb135430	-4.694927864
Zm00001eb138510	-3.733913377
Zm00001eb139500	-4.07722613
Zm00001eb145080	-5.232350264
Zm00001eb149500	-4.130816063
Zm00001eb150500	-4.477619951
Zm00001eb153570	-4.956196166
Zm00001eb155430	3.416358676
Zm00001eb160010	8.45884385
Zm00001eb161610	-4.133293799
Zm00001eb163440	-4.251496519
Zm00001eb164960	-4.272597036
Zm00001eb165030	3.60910229
Zm00001eb168100	-3.400761518
Zm00001eb168980	-3.825849307
Zm00001eb170770	-3.700438904
Zm00001eb171840	4.382906343
Zm00001eb172450	3.32832302
Zm00001eb187450	3.963983396
Zm00001eb198620	-3.297881884
Zm00001eb204960	-4.108218423
Zm00001eb208380	-8.444829924
Zm00001eb215860	3.751549169
Zm00001eb217970	-3.430465761
Zm00001eb228670	4.055881334
Zm00001eb229190	-6.949246836
Zm00001eb231110	3.296648782
Zm00001eb250940	4.564282744
Zm00001eb258790	3.27539347
Zm00001eb272040	-9.336002565
Zm00001eb274690	4.971114979
Zm00001eb283460	-5.143669661
Zm00001eb299760	-4.55560842
Zm00001eb320890	-3.310048266
Zm00001eb322810	-4.791407423
Zm00001eb325290	-4.147893056
Zm00001eb326950	4.381712326
Zm00001eb330540	-4.708780282
Zm00001eb332560	4.7944104
Zm00001eb334540	-3.708231093
Zm00001eb336580	-3.395980917
Zm00001eb340550	-4.069764936
Zm00001eb344730	5.101400675
Zm00001eb350770	3.56641834
Zm00001eb356600	-4.423414966
Zm00001eb356910	-3.343187772
Zm00001eb357740	-6.445616366
Zm00001eb362750	-3.523785618
Zm00001eb365220	-4.323229849
Zm00001eb367770	3.870605453
Zm00001eb367810	4.356747705
Zm00001eb381280	-4.714433533
Zm00001eb381920	-3.657714193
Zm00001eb383440	-8.338233167
Zm00001eb388510	-3.353774133
Zm00001eb389190	5.489438426
Zm00001eb396520	-4.393723156
Zm00001eb397030	8.279780383
Zm00001eb401100	-4.167675995
Zm00001eb404170	-4.107024302
Zm00001eb413120	-3.38916429
Zm00001eb415720	3.73679182
