Gene	logFC
Zm00001eb011990	5.788381831
Zm00001eb018040	-4.129763028
Zm00001eb048370	4.149852315
Zm00001eb065210	-4.819135844
Zm00001eb067380	-6.842828696
Zm00001eb069310	-3.450353289
Zm00001eb072870	5.069953372
Zm00001eb087860	5.683234537
Zm00001eb088020	-3.357084576
Zm00001eb099460	8.459549108
Zm00001eb101660	-3.927745937
Zm00001eb110240	-5.713758392
Zm00001eb112260	-3.32042329
Zm00001eb113780	-3.972583198
Zm00001eb123400	-3.922149302
Zm00001eb128610	4.198274327
Zm00001eb130790	4.429551222
Zm00001eb148070	4.861757824
Zm00001eb159020	-6.900250659
Zm00001eb161610	-4.693892215
Zm00001eb187450	4.1571787
Zm00001eb198620	-3.513848901
Zm00001eb212460	4.144090146
Zm00001eb212520	-3.645010104
Zm00001eb215860	4.285290399
Zm00001eb223620	4.348165154
Zm00001eb228670	3.91250499
Zm00001eb229190	-6.520633954
Zm00001eb240910	-3.938777395
Zm00001eb250940	6.18521529
Zm00001eb258790	3.640796802
Zm00001eb274690	4.216105895
Zm00001eb284770	5.477782741
Zm00001eb299760	-3.318942062
Zm00001eb301270	3.78147848
Zm00001eb314610	3.689120472
Zm00001eb323090	4.386995163
Zm00001eb325410	-3.608646863
Zm00001eb326950	4.313774574
Zm00001eb332560	4.55701448
Zm00001eb344730	4.535067739
Zm00001eb357740	-6.798423333
Zm00001eb369550	4.738316421
Zm00001eb375120	3.382380037
Zm00001eb389190	3.737510953
Zm00001eb396520	-3.756773417
Zm00001eb397030	8.548570531
Zm00001eb401330	-5.036525406
Zm00001eb409030	-5.827959647
Zm00001eb414810	3.632159714
Zm00001eb415520	3.633425233
