entrezgene_id	logFC
100194192	-3.209422012
100275298	-3.201512991
NA	-5.346906895
NA	-4.843798063
NA	-4.391330191
103644933	8.684633671
100274182	-3.949631979
NA	3.684588258
100274380	-4.650838903
100283104	-3.445674702
NA	-3.199509681
NA	-8.33410252
NA	-3.599055208
100285987	-4.044269767
NA	4.741483097
NA	-4.331687968
103646782	-5.03618398
100194135	-5.03618398
103646784	-4.632286606
103647733	-3.543286029
NA	-3.484262883
542716	-3.355482574
100383277	-3.617300365
NA	4.295009026
103649719	-3.667974533
100283255	3.478181717
NA	4.501809106
NA	-4.694927864
100276191	-3.733913377
NA	-4.07722613
NA	-5.232350264
NA	-4.130816063
NA	-4.477619951
100281022	-4.956196166
100286330	3.416358676
103504712	8.45884385
100282976	-4.133293799
100281786	-4.251496519
103652694	-4.272597036
100278076	3.60910229
542320	-3.400761518
NA	-3.825849307
100273307	-3.700438904
NA	4.382906343
100281091	3.32832302
100273616	3.963983396
NA	-3.297881884
100191769	-4.108218423
NA	-8.444829924
103625926	3.751549169
103626019	-3.430465761
NA	4.055881334
NA	-6.949246836
100274648	3.296648782
NA	4.564282744
103627890	3.27539347
100501680	-9.336002565
NA	4.971114979
NA	-5.143669661
NA	-4.55560842
NA	-3.310048266
NA	-4.791407423
NA	-4.147893056
NA	4.381712326
NA	-4.708780282
100381542	4.7944104
103634748	-3.708231093
NA	-3.395980917
NA	-4.069764936
100194210	5.101400675
NA	3.56641834
542632	-4.423414966
542714	-3.343187772
100274453	-6.445616366
NA	-3.523785618
NA	-4.323229849
542686	3.870605453
NA	4.356747705
100382179	-4.714433533
NA	-3.657714193
100282035	-8.338233167
NA	-3.353774133
100281114	5.489438426
100285610	-4.393723156
NA	8.279780383
NA	-4.167675995
100280539	-4.107024302
103641105	-3.38916429
103641262	3.73679182
