Gene_ID	C_6_Susc	T_6_Susc	C_24_Susc	T_24_Susc	C_6_Tol	T_6_Tol	C_24_Tol	T_24_Tol
Zm00001eb411380	218016.2039	284059.4146	207807.8206	301289.7204	8759.076967	10451.75019	11866.97034	11091.99894
Zm00001eb272050	5503.477098	4664.884904	3441.778463	4214.86652	64949.07147	24005.47001	45746.39262	39863.22479
Zm00001eb087960	8183.842126	402.0682258	13389.12068	8407.469359	16402.14526	1880.819328	18639.0875	17842.49154
Zm00001eb429750	23186.74894	14929.23997	13422.15864	20902.08201	4086.545055	2005.698868	2030.242889	1715.944564
Zm00001eb304540	982.8326608	1188.334978	551.9283363	1087.405096	12967.42828	14320.15608	12515.59977	18603.28249
Zm00001eb312080	24216.84244	9811.358195	9983.295294	12029.41888	1013.954788	750.2305177	451.2560839	646.3946514
Zm00001eb160010	1.929014055	712.1075022	13.60386744	8.202409131	13912.24979	12768.21799	14703.90514	16160.97693
Zm00001eb137280	16331.99749	6792.272561	12328.01902	10554.15701	243.612514	237.3664535	144.1398743	64.41733639
Zm00001eb319670	100.3087308	185.8448688	222.5204032	139.4409552	10059.44106	7456.547789	11853.86671	6690.517835
Zm00001eb320890	5499.619069	548.599757	7433.541853	2055.289374	9190.336958	1143.934716	5559.212881	2943.205887
Zm00001eb172450	520.8337947	5177.745263	7000.161505	4237.130202	628.783651	4559.533121	4806.573423	3755.086454
Zm00001eb378280	7907.028609	1397.410456	6697.961307	522.6106389	5420.927113	1624.387296	4754.9779	908.5065719
Zm00001eb090230	99.34422381	36.6328828	29.15114452	32.80963652	5378.13032	7101.928027	9248.702278	5398.839176
Zm00001eb413300	1272.184769	383.3050419	1117.46054	415.9793202	5311.191747	3939.901817	9095.553661	5513.23548
Zm00001eb356910	5673.230334	553.0671817	113.6894636	4265.252748	6404.155998	1024.77485	176.0799601	11660.64853
Zm00001eb343950	434.9926693	403.8551957	587.8814145	619.8677757	6577.537878	6360.27702	6123.48773	5968.59941
Zm00001eb116160	7871.341849	4655.05657	5497.905857	5774.496028	746.2004933	525.2566903	724.7942545	397.6104557
Zm00001eb411430	4633.491759	6044.425661	5799.13435	6759.956896	217.276026	635.8370462	347.2460609	1186.167505
Zm00001eb411520	7315.785802	7510.634458	3290.192512	6584.190986	54.86768333	57.19673579	40.12985138	74.41312997
Zm00001eb040190	8719.143526	4770.316128	3936.376215	5378.436844	486.1276743	458.5271652	306.297233	207.6903777
Zm00001eb414390	8323.695645	3778.547838	5842.861067	3436.809426	666.0936756	238.3197324	863.2012929	36.65124312
Zm00001eb266820	187.1143633	59.8634914	123.4065118	44.52736385	2780.694191	3765.451773	5811.457661	9788.103201
Zm00001eb137370	392.5543601	814.858271	474.1919509	181.6247736	6112.259923	5130.5472	5785.250411	3097.585366
Zm00001eb228670	164.9307017	2716.194237	6232.514699	2072.865965	165.7004037	2501.403912	4680.451033	1991.38421
Zm00001eb221790	3902.395432	5477.956205	5010.110039	6279.530076	5.486768333	0	1.637953117	235.456471
Zm00001eb141910	3584.108113	3287.131117	4112.254787	5896.360392	961.281812	731.1649391	971.3061987	489.7938853
Zm00001eb422590	4150.273738	4632.719446	5017.883677	5698.3308	0	20.01885753	0	0
Zm00001eb391660	3111.49967	4217.248946	3183.304982	6048.690847	679.2619196	1105.803559	466.8166385	277.6609327
Zm00001eb273940	7756.565513	3012.831239	3816.856523	3244.638697	245.8072213	99.1410087	121.2085307	62.19604893
Zm00001eb106430	2476.854046	218.9038118	4794.391569	489.8010024	2545.860507	333.6476254	5147.267672	869.6340413
Zm00001eb188570	1.929014055	9.828334409	2.915114452	5.858863665	4873.347634	2966.604029	6281.550206	2828.809583
Zm00001eb055490	5200.621891	3183.486863	4335.746895	4027.382883	192.0368917	198.2820174	211.2959522	159.9326973
Zm00001eb319590	1631.94589	4362.886992	384.7951077	2609.537876	1491.303633	3661.544369	221.1236709	2247.942911
Zm00001eb411000	4216.824723	3392.562341	3411.655614	4401.178385	347.8611123	272.6377739	210.4769756	314.3121758
Zm00001eb138650	746.5284391	135.8097118	4862.410906	530.813048	1494.595694	310.7689311	5767.232927	1597.105685
Zm00001eb321830	3725.890646	3663.28828	3378.61765	3515.318199	136.0718547	99.1410087	143.3208978	106.6217982
Zm00001eb214420	679.9774542	2447.255268	638.4100651	5599.901891	595.863041	2374.617814	434.0575761	2715.523922
Zm00001eb269960	4634.456266	3565.004935	2342.780315	2795.849741	310.5510877	407.050103	196.5543741	112.1750168
Zm00001eb351790	795.7182975	1065.927541	8397.473032	595.2605483	448.8176497	545.2755478	1412.734564	581.977315
Zm00001eb115210	3104.748121	3693.666768	2245.609833	5062.058206	0	0	0	0
Zm00001eb008080	3712.387548	2763.548939	1913.286786	3215.344379	803.262884	293.6099104	411.945209	242.1203333
Zm00001eb295010	1611.691243	1430.469399	181.7088009	2361.122057	1580.18928	2700.639208	393.9277248	2881.009838
Zm00001eb385700	462.9633731	385.0920118	208.9165357	108.9748642	3489.58466	4402.242098	1424.200236	2066.907983
Zm00001eb089110	3266.785301	3491.73917	1228.234889	4328.528475	155.8242207	67.68280401	54.87142944	8.885149847
Zm00001eb159020	1796.876592	411.0030753	4089.905577	599.9476393	1038.096569	8.579510368	2212.055685	1639.310147
Zm00001eb122110	3668.984732	1209.778617	104.9441203	1693.211599	3303.034537	738.7911706	70.43198405	1661.523021
Zm00001eb388510	1293.403924	125.0878925	2139.694008	711.2660489	1877.572124	278.3574475	3208.750157	1307.227671
Zm00001eb097880	2480.712074	1486.758951	1448.811883	4096.517474	729.7401883	326.021394	606.86163	231.013896
Zm00001eb088020	943.2878727	37.52636774	1353.584811	848.3634586	2565.612873	250.7123585	2606.802386	2310.13896
Zm00001eb023420	1316.552092	374.3701925	2609.99914	227.3239102	1905.005965	1162.047015	2064.639905	363.1805
Zm00001eb221740	2135.418558	2953.861232	1901.626328	3200.111334	52.672976	78.16887224	27.02622644	28.876737
Zm00001eb389190	54.01239353	2406.15496	690.8821252	829.6150949	251.2939897	3359.354949	793.5882854	1422.734619
Zm00001eb021600	2837.579674	1876.318387	1925.918948	3327.834562	36.212671	21.92541539	49.95757008	76.63441743
Zm00001eb418340	497.6856261	260.8976043	131.1801504	1168.257415	3341.441915	1664.425011	1325.104072	1725.940358
Zm00001eb093440	26.04168974	10.72181935	34.98137343	21.09190919	1508.861292	2768.322012	1605.194055	3815.061216
Zm00001eb335560	2032.216306	2753.720604	1293.339112	1778.751009	427.96793	738.7911706	289.0987252	96.62600459
Zm00001eb280200	2037.038842	1965.666882	2306.827237	1895.928282	162.4083427	302.1894207	312.0300689	290.9886575
Zm00001eb384740	2012.926166	318.0806409	2054.183984	59.76040938	1417.780937	440.4148656	2375.850997	144.383685
Zm00001eb016800	1024.306463	938.1591935	343.0118006	3229.405652	685.8460416	818.8666007	374.2722873	2051.358971
Zm00001eb063860	74.2670411	72.37228065	67.0476324	105.459546	1519.834828	2298.3555	2032.699819	2671.098173
Zm00001eb144350	365.5481633	157.2533505	392.5687462	292.9431832	1249.885826	987.5969713	1543.770813	4023.862237
Zm00001eb077780	1996.529546	2080.032955	2169.816857	2309.564057	14.26559767	3.813115719	0.818976559	3.331931193
Zm00001eb119280	206.4045038	143.8510763	121.4631022	296.4585014	2634.746154	1299.319181	2496.240551	1160.622699
Zm00001eb386080	284.529573	101.8572839	66.07592759	24.60722739	944.821507	2494.730959	2551.11198	1523.803199
Zm00001eb015860	2043.790391	1812.880956	2306.827237	1570.175462	84.49623233	149.664792	114.6567182	89.9621422
Zm00001eb316870	931.7137883	134.0227419	2109.571159	188.65541	987.6183	300.2828629	2550.293004	432.0404113
Zm00001eb336580	599.923371	56.28955161	2102.769225	153.502228	1198.310204	157.2910234	2764.864862	600.8582584
Zm00001eb031890	122.4923925	75.05273548	99.11389138	58.58863665	2095.945503	1345.07657	2588.784902	1344.989558
Zm00001eb242800	2141.205601	1359.884088	1483.793256	2604.850785	130.5850863	79.12215117	103.1910464	222.1287462
Zm00001eb258790	157.2146454	1507.309104	1040.695859	503.8622752	161.310989	2017.138215	1347.216439	758.5696682
Zm00001eb000380	811.1504099	326.1220054	1499.340533	253.1029103	938.237385	729.2583813	2578.957183	225.4606774
Zm00001eb301130	5.787042164	12.50878925	5.830228905	9.374181863	1538.489841	1696.836495	2162.917092	2189.078794
Zm00001eb141080	100.3087308	117.9400129	160.3312949	182.7965463	849.351738	2489.011286	985.2288002	2906.554644
Zm00001eb168100	1031.058012	96.49637419	1089.2811	318.7221834	1742.597623	257.385311	2006.492569	862.9701789
Zm00001eb093580	109.9538011	122.4074376	110.7743492	154.6740007	1741.500269	1265.954419	2031.061866	1828.119581
Zm00001eb362170	1057.099702	2364.161168	2357.355887	1164.742097	35.11531733	119.1598662	72.88891373	64.41733639
Zm00001eb138300	118.6343644	248.3888151	192.3975539	185.1400918	1484.719511	1859.847192	1637.953117	1510.475474
Zm00001eb205630	1209.491812	1928.140514	1838.465515	1805.701781	73.52269566	111.5336348	178.5368898	173.260422
Zm00001eb229190	1018.519421	8.041364516	116.6045781	265.9924104	2195.804687	23.83197324	1617.478704	2163.533988
Zm00001eb198150	2366.900245	1399.197426	1644.124551	1494.010234	16.460305	21.92541539	141.6829447	34.42995566
Zm00001eb265350	0.964507027	1.786969892	0	0	1489.108926	1512.853662	2045.803444	1869.213399
Zm00001eb089190	1688.851805	1680.645184	790.9677214	2093.957874	303.9669657	292.6566314	131.0362494	151.0475474
Zm00001eb021470	1682.100256	921.1829796	1380.792546	3022.001878	41.69943933	122.019703	43.40575761	43.31510551
Zm00001eb220190	40.50929514	29.48500323	40.81160233	7.030636398	1448.50684	1538.592193	1952.440116	1673.740102
Zm00001eb017590	2200.040529	1339.333934	1713.115593	1143.650187	62.549159	26.69181003	61.42324191	27.76609327
Zm00001eb280930	2222.224191	483.3753559	2507.970134	240.2134103	313.8431487	86.74838261	480.73924	104.4005107
Zm00001eb423310	151.4276033	77.73319032	79.67979503	70.30636398	1113.813972	1647.265991	1503.640962	1891.426274
Zm00001eb292880	0	2.680454839	0.971704817	0	1438.630657	2175.382518	1462.692134	1292.789303
Zm00001eb368740	59.79943569	5.360909677	20.40580117	162.8764099	1637.251671	2224.953022	1004.884238	1397.189813
Zm00001eb429530	54.97690055	43.78076237	56.35887941	89.0547277	1493.49834	2539.535069	1126.911745	871.8553288
Zm00001eb238830	1346.45181	2029.104313	1163.130666	1819.763054	0	0	0	0
Zm00001eb156130	1412.038288	969.4311667	2578.904585	643.3032304	128.390379	145.8516763	154.7865696	195.4732966
Zm00001eb232210	1778.550958	1393.836516	1700.483431	1242.079097	4.389414667	2.859836789	24.56929676	75.5237737
Zm00001eb396520	1976.274899	92.92243441	176.8502768	882.3448679	1828.191209	135.365608	141.6829447	1178.392998
Zm00001eb031210	579.6687234	190.3122935	23.32091562	1229.189597	1512.153353	539.5558743	84.35458555	2136.878538
Zm00001eb011990	1541.28223	1070.394966	1818.059713	1246.766188	1.097353667	67.68280401	0	35.54059939
Zm00001eb148070	116.7053503	1007.851019	1826.805057	602.2911847	27.43384167	802.6608589	860.7443632	238.7884021
Zm00001eb035520	1265.43322	1533.220168	1443.953359	1345.195097	10.97353667	17.15902074	36.85394514	23.32351835
Zm00001eb217970	2386.190385	218.9038118	742.3824805	274.1948195	1010.662727	159.1975813	557.7230365	234.3458272
Zm00001eb167120	60.76394272	38.41985269	19.43409635	15.23304553	512.4641623	736.8846127	2676.415394	1110.643731
Zm00001eb266530	1286.652374	1227.648316	2107.627749	837.817504	2.194707333	1.90655786	0	0
Zm00001eb011820	1114.005616	119.7269828	150.6142467	1687.352735	637.5624803	150.6180709	85.99253867	1963.618116
Zm00001eb231210	553.6270336	155.4663806	1497.397124	107.8030914	748.3952006	450.9009338	1296.439892	388.7253058
Zm00001eb016230	84.8766184	82.20061505	171.0200479	131.2385461	948.113568	1445.170858	1411.096611	980.6984144
Zm00001eb405910	1175.734066	979.2595011	1337.065829	1710.78819	73.52269566	70.5426408	54.05245288	81.07699236
Zm00001eb089130	1372.4935	1139.193306	864.8172875	1508.071507	175.5765867	113.4401926	162.1573586	64.41733639
Zm00001eb268320	127.3149276	107.2181935	79.67979503	116.0055006	749.4925543	1730.201258	1198.162705	1065.107338
Zm00001eb000660	3041.090657	325.2285204	327.4645235	768.6829128	230.44427	124.8795398	225.2185537	85.51956728
Zm00001eb017030	16.39661946	57.18303656	11.66045781	21.09190919	2251.769724	1344.123291	822.252465	646.3946514
Zm00001eb065120	1535.495187	165.2947151	702.542583	358.5624563	1038.096569	156.3377445	717.4234655	380.9507997
Zm00001eb391290	0	4.467424731	0.971704817	0	977.742117	1809.323409	1157.213878	1025.124164
Zm00001eb292260	1364.777444	1048.951327	768.6185106	1482.292507	119.6115497	158.2443023	117.1136479	62.19604893
Zm00001eb357740	482.2535136	5.360909677	1705.341955	133.5820916	861.4226283	7.626231438	1266.13776	389.8359495
Zm00001eb402830	37.61577406	89.34849462	67.0476324	89.0547277	812.0417133	1201.131452	1088.419847	1579.335385
Zm00001eb276150	1658.952087	552.1736968	1394.396413	1021.785823	167.895111	81.98198796	102.3720698	26.65544954
Zm00001eb264260	815.9729451	566.4694559	1666.473762	1524.476326	167.895111	110.5803559	162.1573586	56.64283028
Zm00001eb141640	1457.370118	1117.749668	1289.452293	858.9094132	5.486768333	1.90655786	1.637953117	2.221287462
Zm00001eb364840	1239.39153	1123.110577	1244.753871	1080.37446	0	39.08443612	0	2.221287462
Zm00001eb329050	220.8721092	59.8634914	197.2560779	111.3184096	1621.888719	936.119909	755.0963872	867.4127538
Zm00001eb067380	657.7937926	53.60909677	550.9566315	110.1466369	779.1211033	6.672952508	1848.430093	420.933974
Zm00001eb253580	271.0264747	232.306086	1784.050045	226.1521375	186.5501233	155.3844656	1417.648423	126.6133853
Zm00001eb155430	32.79323893	347.5656441	546.0981074	209.7473192	502.5879793	1068.62568	569.1887083	1432.730413
Zm00001eb299760	384.8383039	16.08272903	1085.394281	85.5394095	1017.246849	102.0008455	1461.054181	330.9718318
Zm00001eb112260	777.392664	75.05273548	986.2803897	237.8698648	904.2194213	90.56149833	1074.497245	359.8485688
Zm00001eb214040	95.4861957	121.5139527	85.51002393	85.5394095	620.0048216	1239.262609	900.8742146	1278.350934
Zm00001eb416170	1607.833214	929.2243441	978.5067512	779.2288674	35.11531733	20.01885753	20.47441397	16.65965596
Zm00001eb111670	104.1667589	63.43743118	158.3878852	76.16522764	960.1844583	982.8305766	1345.578486	531.9983471
Zm00001eb326810	755.2090023	1031.975113	618.0042639	1730.708327	102.053891	104.8606823	58.96631223	72.19184251
Zm00001eb256120	244.9847849	406.5356505	755.0146431	60.93218211	470.764723	1048.606823	936.9091832	194.3626529
Zm00001eb330540	1962.7718	74.15925054	146.7274274	140.612728	1365.107961	377.4984562	194.0974444	127.7240291
Zm00001eb069320	478.3954855	95.60288925	672.4197337	76.16522764	1110.521911	132.5057712	1446.312603	51.08961162
Zm00001eb287790	243.0557709	31.27197312	2733.405651	86.71118224	142.6559767	20.97213646	742.8117388	43.31510551
Zm00001eb265340	57.87042164	66.11788602	68.01933722	44.52736385	888.85647	791.2215117	1213.72326	924.0555841
Zm00001eb314610	70.40901299	276.0868484	112.7177588	246.0722739	109.7353667	1419.432326	384.1000061	1539.352211
Zm00001eb109440	583.5267515	180.4839591	48.58524087	1101.466369	637.5624803	330.7877886	117.9326245	1376.087583
Zm00001eb272850	8.680563245	12.50878925	15.54727708	32.80963652	728.6428346	1009.522387	1138.377417	1029.566739
Zm00001eb431660	30.86422487	24.12409355	24.29262044	12.88950006	951.405629	850.3248054	1166.22262	906.2852844
Zm00001eb332200	0.964507027	36.6328828	0	1.171772733	912.9982506	1021.915013	1068.764409	925.1662278
Zm00001eb072870	34.72225298	922.0764645	256.5300718	557.7638209	26.336488	890.3625204	429.9626933	838.5360168
Zm00001eb047740	46.29633731	40.20682258	59.27399386	0	961.281812	917.0543305	941.8230426	952.9323211
Zm00001eb367250	0.964507027	6.254394624	0	7.030636398	616.7127606	1183.972431	1073.678269	965.1494022
Zm00001eb198080	108.0247871	137.5966817	23.32091562	38.66850019	685.8460416	1138.215042	765.7430824	1018.460301
Zm00001eb113310	67.51549191	74.15925054	57.33058423	41.01204565	934.945324	950.419093	820.6145119	949.6003899
Zm00001eb425130	862.2692824	423.5118645	98.14218656	751.1063218	471.8620767	528.1165271	69.61300749	842.9785918
Zm00001eb417060	33.75774595	50.92864194	40.81160233	39.84027292	815.3337743	803.6141378	942.6420191	1133.967249
Zm00001eb375120	86.80563245	77.73319032	57.33058423	224.9803647	75.717403	792.1747907	439.790412	2280.15158
Zm00001eb410980	1019.483928	844.3432742	1127.177588	831.9586404	1.097353667	0	0	0
Zm00001eb291040	0.964507027	4.467424731	0	0	694.624871	1023.821571	957.3835972	1067.328625
Zm00001eb238870	975.1166046	895.2719161	923.1195766	704.2354125	62.549159	29.55164682	48.31961697	11.10643731
Zm00001eb325410	292.2456293	41.99379247	892.0250224	96.0853641	697.916932	57.19673579	1254.672088	157.7114098
Zm00001eb302980	550.7335126	874.7217624	849.2700104	1085.061551	81.20417133	77.21559331	117.9326245	53.31089908
Zm00001eb392900	839.1211137	947.987528	840.5246671	1029.988232	3.292061	0	0.818976559	8.885149847
Zm00001eb332560	30.86422487	850.5976688	191.425849	345.6729562	60.35445166	1426.105279	124.4844369	529.7770596
Zm00001eb267220	914.3526618	873.8282774	1079.564052	717.1249126	0	0	0.818976559	0
Zm00001eb326950	37.61577406	778.2253882	537.352764	94.91359137	41.69943933	833.1657846	812.4247463	212.1329526
Zm00001eb099760	1312.694064	714.787957	1007.657896	412.464002	13.168244	12.39262609	13.9226015	14.4383685
Zm00001eb131090	95.4861957	343.9917043	991.1389138	106.6313187	130.5850863	572.9206368	843.5458555	287.6567263
Zm00001eb218160	105.131266	25.91106344	4.858524087	9.374181863	603.5445166	1231.636377	894.3224022	546.4367156
Zm00001eb099740	1281.829839	655.8179505	1006.686191	495.659866	9.876183	0.95327893	4.913859352	0
Zm00001eb367770	55.94140758	811.2843312	191.425849	317.5504106	145.9480377	1265.00114	239.1411552	390.9465933
Zm00001eb415430	787.0377342	1233.902711	995.0257331	365.5930927	0	0	0	0
Zm00001eb197600	452.3537958	926.5438892	848.2983056	936.2464136	94.37241533	76.26231438	91.72537458	52.20025535
Zm00001eb354110	921.104211	757.6752344	996.9691427	548.389639	43.89414667	68.63608294	45.04371073	38.87253058
Zm00001eb200030	785.1087202	926.5438892	586.9097097	800.3207766	46.088854	126.7860977	84.35458555	41.09381804
Zm00001eb358860	54.97690055	12.50878925	44.6984216	32.80963652	636.4651266	908.4748201	1037.6433	524.223841
Zm00001eb198620	427.2766131	42.88727742	1233.093413	479.2550478	370.9055393	32.41148361	441.4283652	326.5292569
Zm00001eb370140	27.00619676	8.934849462	6.801933722	1.171772733	760.466091	954.2322087	748.5445747	779.6718991
Zm00001eb029940	914.3526618	634.3743118	607.3155109	1243.25087	0	2.859836789	0.818976559	0
Zm00001eb290230	764.8540726	837.1953946	758.9014624	885.8601861	16.460305	15.25246288	33.57803891	5.553218655
Zm00001eb173900	588.3492866	572.7238505	810.4018177	1004.209232	104.2485983	163.9639759	73.70789029	38.87253058
Zm00001eb006310	490.9340769	220.6907817	17.49068671	939.7617318	283.117246	172.5434863	25.38827332	1424.955907
Zm00001eb159120	87.77013948	28.59151828	54.41546978	18.74836373	759.3687373	565.2944054	988.5047064	697.484263
Zm00001eb070780	9.645070273	0.893484946	0	0	671.580444	1074.345354	775.5708011	641.9520765
Zm00001eb367130	27.97070379	16.08272903	25.26432525	9.374181863	621.1021753	754.0436335	746.087645	1006.24322
Zm00001eb370870	217.9785882	311.8262462	91.34025284	936.2464136	208.4971967	1132.495369	32.75906235	407.6062492
Zm00001eb374980	1.929014055	1.786969892	0	0	774.7316886	726.3985445	888.5895662	734.1355061
Zm00001eb036780	851.6597051	929.2243441	600.5135772	430.040593	118.514196	56.24345686	74.52686685	52.20025535
Zm00001eb113780	1331.019698	107.2181935	20.40580117	741.7321399	763.758152	48.61722542	8.189765587	333.1931193
Zm00001eb354650	4.822535136	14.29575914	4.858524087	3.515318199	691.33281	676.8280401	773.1138715	990.694208
Zm00001eb157760	1008.874351	607.5697634	1016.403239	469.8808659	2.194707333	0.95327893	1.637953117	4.442574924
Zm00001eb121740	561.3430899	707.6400774	766.675101	928.0440045	39.504732	52.43034114	51.5955232	55.53218655
Zm00001eb034050	43.40281623	21.44363871	1333.17901	106.6313187	84.49623233	35.2713204	911.5209099	436.4829862
Zm00001eb011200	58.83492866	87.56152473	59.27399386	45.69913658	655.120139	747.370681	686.3023562	730.8035749
Zm00001eb078660	1195.988714	427.9792892	606.3438061	748.7627763	25.23913433	20.01885753	54.05245288	6.663862385
Zm00001eb169120	17.36112649	2.680454839	0	32.80963652	531.1191747	847.4649686	692.0351921	918.5023655
Zm00001eb121580	49.18985839	27.69803333	32.06625898	30.46609106	953.6003363	696.8468977	510.2223961	785.2251178
Zm00001eb266690	618.2490045	551.2802118	812.3452274	718.2966853	161.310989	50.52378328	55.69040599	81.07699236
Zm00001eb212460	37.61577406	292.1695774	222.5204032	268.3359558	61.45180533	1090.551096	410.3072559	569.760234
Zm00001eb200730	745.5639321	765.7165989	656.8724566	691.3459124	31.82325633	40.03771505	30.30213267	17.77029969
Zm00001eb345080	1.929014055	3.573939785	0.971704817	2.343545466	543.190065	788.3616749	759.19127	815.2124985
Zm00001eb154780	40.50929514	40.20682258	60.24569868	37.49672745	872.396165	448.9943759	872.2100351	528.6664159
Zm00001eb225440	353.009572	173.3360796	545.1264026	105.459546	657.3148463	276.4508896	683.02645	57.75347401
Zm00001eb284350	258.4878833	73.26576559	32.06625898	1422.532098	170.0898183	235.4598957	135.9501088	900.7320658
Zm00001eb291080	24.11267568	45.56773226	36.92478306	29.29431832	511.3668087	643.4632776	928.7194176	587.5305337
Zm00001eb071080	809.2213959	1080.2233	377.0214692	542.5307753	6.584122	12.39262609	4.094882794	6.663862385
Zm00001eb243650	608.6039342	678.1550742	610.2306253	782.7441856	54.86768333	63.8696883	68.79403093	46.6470367
Zm00001eb367810	21.2191546	432.446714	876.4777453	295.2867287	48.28356133	321.2549993	466.8166385	315.4228196
Zm00001eb395670	1.929014055	34.8459129	9.717048174	0	694.624871	640.6034408	709.2336999	746.3525872
Zm00001eb072050	0	1.786969892	0	0	605.739224	788.3616749	556.0850834	921.8342967
Zm00001eb122840	706.983651	478.0144462	911.4591188	513.236457	84.49623233	21.92541539	95.82025737	15.54901223
Zm00001eb163480	61.72844974	102.7507688	61.2174035	37.49672745	485.0303207	646.3231144	716.6044889	668.607526
Zm00001eb240910	775.4636499	199.247143	332.3230476	378.4825927	556.358309	36.22459933	208.0200459	418.7126866
Zm00001eb210320	784.1442132	614.717643	869.6758116	540.1872299	0	0	0	5.553218655
Zm00001eb141650	909.5301267	656.7114355	712.2596312	517.923548	0	2.859836789	0	0
Zm00001eb044850	2.893521082	0	23.32091562	0	344.5690513	229.7402221	1277.603432	749.6845184
Zm00001eb293030	892.1690002	629.9068871	744.3258902	467.5373204	4.389414667	0	0	15.54901223
Zm00001eb330320	6.751549191	0	0	8.202409131	584.8895043	271.684495	1246.482322	475.3555168
Zm00001eb317310	0	0	0	3.515318199	1018.344203	405.1435452	847.6407383	415.3807554
Zm00001eb069310	150.4630963	37.52636774	264.3037103	36.32495472	823.01525	75.30903545	1135.920487	49.97896789
Zm00001eb151310	771.6056218	431.553229	618.0042639	595.2605483	133.8771473	60.05657258	90.08742146	37.76188685
Zm00001eb043820	0.964507027	1.786969892	3.88681927	1.171772733	509.1721013	716.8657552	648.6294345	792.9996239
Zm00001eb116470	38.58028109	18.76318387	12.63216263	9.374181863	747.297847	1209.710962	398.0226076	227.6819648
Zm00001eb131820	660.6873137	571.8303656	684.0801915	697.2047761	23.044427	10.48606823	24.56929676	26.65544954
Zm00001eb259830	1136.189278	551.2802118	435.3237582	533.1565935	0	0	0	0
Zm00001eb209990	514.0822455	296.6370022	1615.945111	123.036137	7.681475666	11.43934716	15.56055462	18.88094343
Zm00001eb379020	445.6022466	832.7279699	707.4011071	425.3535021	52.672976	55.29017793	50.77654664	29.98738073
Zm00001eb012550	42.4383092	66.11788602	104.9441203	76.16522764	260.072819	572.9206368	324.3147173	1280.572222
Zm00001eb390960	44.36732325	49.14167204	57.33058423	30.46609106	569.526553	589.1263786	671.5607782	586.4198899
Zm00001eb113900	750.3864672	494.9906602	652.9856373	529.6412753	37.31002467	47.66394649	67.15607782	25.54480581
Zm00001eb365170	3.858028109	11.6153043	3.88681927	2.343545466	713.2798833	384.1714087	893.5034256	493.1258165
Zm00001eb048370	49.18985839	627.2264323	497.5128665	358.5624563	27.43384167	489.9853699	264.5294285	163.2646284
Zm00001eb251130	316.3583049	155.4663806	449.8993305	30.46609106	501.4906257	405.1435452	428.3247402	203.2478028
Zm00001eb002910	2.893521082	36.6328828	0.971704817	9.374181863	532.2165283	690.1739452	556.0850834	707.4800566
Zm00001eb065210	328.8968963	0.893484946	15.54727708	28.12254559	889.9538236	31.45820468	598.6718644	677.4926759
Zm00001eb410970	617.2844974	667.4332548	563.5887941	703.0636398	0	0	0	0
Zm00001eb168900	15.43211244	0	0	41.01204565	618.907468	513.8173432	846.8217617	412.0488242
Zm00001eb232110	3.858028109	9.828334409	3.88681927	16.40481826	561.8450773	553.8550582	664.1899891	664.1649511
Zm00001eb231110	36.65126704	357.3939785	166.1615238	461.6784568	120.7089033	672.0616455	239.9601317	456.4745734
Zm00001eb152140	0	0.893484946	1.943409635	0	425.7732227	640.6034408	628.9739971	747.4632309
Zm00001eb400520	2.893521082	27.69803333	1.943409635	5.858863665	561.8450773	653.9493458	458.6268729	754.1270933
Zm00001eb352960	0	0.893484946	10.68875299	1.171772733	689.1381026	322.2082783	644.5345517	789.6676927
Zm00001eb364020	5.787042164	7.14787957	4.858524087	1.171772733	593.6683336	548.1353846	584.7492629	690.8204006
Zm00001eb348840	704.0901299	497.6711151	449.8993305	514.4082298	62.549159	47.66394649	101.5530933	28.876737
Zm00001eb428590	515.0467526	494.9906602	746.2692998	530.813048	25.23913433	32.41148361	43.40575761	29.98738073
Zm00001eb040350	1297.261952	284.1282129	290.5397404	432.3841385	28.53119533	27.64508896	29.48315611	8.885149847
Zm00001eb419160	801.5053397	398.494286	662.7026855	407.7769111	36.212671	21.92541539	14.74157806	48.86832416
Zm00001eb401360	501.5436542	589.7000645	583.0228905	447.617184	64.74386633	52.43034114	39.31087482	79.96634863
Zm00001eb058060	452.3537958	275.1933634	980.4501608	195.6860464	148.142745	141.0852816	76.98379652	59.97476147
Zm00001eb029530	503.4726682	628.1199172	553.8717459	254.274683	20.84971967	162.0574181	101.5530933	42.20446177
Zm00001eb119760	12.53859135	245.7083602	354.6722584	64.44750031	85.593586	576.7337525	606.86163	218.796815
Zm00001eb213210	39.54478812	45.56773226	39.83989751	29.29431832	519.0482843	513.8173432	474.1874275	643.0627202
Zm00001eb187450	37.61577406	582.5521849	753.0712335	208.5755465	10.97353667	198.2820174	254.7017098	155.4901223
Zm00001eb032280	322.1453471	37.52636774	326.4928187	35.15318199	640.8545413	139.1787237	635.5258096	26.65544954
Zm00001eb215860	30.86422487	412.7900452	137.9820841	260.1335467	35.11531733	688.2673873	95.82025737	599.7476147
