""	"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0019953"	"GO:0019953"	"sexual reproduction"	4	"4/139"	"541908/541908/541908/541908"
"GO:0019954"	"GO:0019954"	"asexual reproduction"	0	"0/139"	""
"GO:0022414"	"GO:0022414"	"reproductive process"	25	"25/139"	"100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803/100272803"
"GO:0032504"	"GO:0032504"	"multicellular organism reproduction"	0	"0/139"	""
"GO:0032505"	"GO:0032505"	"reproduction of a single-celled organism"	0	"0/139"	""
"GO:0075325"	"GO:0075325"	"spore dispersal"	0	"0/139"	""
"GO:1990277"	"GO:1990277"	"parasexual reproduction with cellular fusion"	0	"0/139"	""
"GO:0001776"	"GO:0001776"	"leukocyte homeostasis"	0	"0/139"	""
"GO:0002200"	"GO:0002200"	"somatic diversification of immune receptors"	0	"0/139"	""
"GO:0002252"	"GO:0002252"	"immune effector process"	0	"0/139"	""
"GO:0002253"	"GO:0002253"	"activation of immune response"	0	"0/139"	""
"GO:0002262"	"GO:0002262"	"myeloid cell homeostasis"	0	"0/139"	""
"GO:0002339"	"GO:0002339"	"B cell selection"	0	"0/139"	""
"GO:0002404"	"GO:0002404"	"antigen sampling in mucosal-associated lymphoid tissue"	0	"0/139"	""
"GO:0002440"	"GO:0002440"	"production of molecular mediator of immune response"	0	"0/139"	""
"GO:0002507"	"GO:0002507"	"tolerance induction"	0	"0/139"	""
"GO:0002520"	"GO:0002520"	"immune system development"	0	"0/139"	""
"GO:0002682"	"GO:0002682"	"regulation of immune system process"	0	"0/139"	""
"GO:0002683"	"GO:0002683"	"negative regulation of immune system process"	0	"0/139"	""
"GO:0002684"	"GO:0002684"	"positive regulation of immune system process"	0	"0/139"	""
"GO:0006955"	"GO:0006955"	"immune response"	0	"0/139"	""
"GO:0019882"	"GO:0019882"	"antigen processing and presentation"	0	"0/139"	""
"GO:0031294"	"GO:0031294"	"lymphocyte costimulation"	0	"0/139"	""
"GO:0035172"	"GO:0035172"	"hemocyte proliferation"	0	"0/139"	""
"GO:0042386"	"GO:0042386"	"hemocyte differentiation"	0	"0/139"	""
"GO:0045058"	"GO:0045058"	"T cell selection"	0	"0/139"	""
"GO:0045321"	"GO:0045321"	"leukocyte activation"	0	"0/139"	""
"GO:0050900"	"GO:0050900"	"leukocyte migration"	0	"0/139"	""
"GO:0090713"	"GO:0090713"	"immunological memory process"	0	"0/139"	""
"GO:0006116"	"GO:0006116"	"NADH oxidation"	0	"0/139"	""
"GO:0006735"	"GO:0006735"	"NADH regeneration"	0	"0/139"	""
"GO:0006807"	"GO:0006807"	"nitrogen compound metabolic process"	404	"404/139"	"100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/100280131/103640631/103640631/103640631/103640631/103640631/103640631/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/100274380/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103646716/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/542723/542723/542723/542723/542723/542723/542723/542723/542723/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100279586/100279586/100279586/100279586/100277775/100277775/100277775/100277775/100277775/100277775/103626984/103626984/100286280/100286280/100286280/100286280/103627890/103627890/103627890/103627890/103627890/103627890/103627890/100501680/100501680/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100272749/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100381542/100285398/100285398/100285398/100285398/100285398/100285398/100285398/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/100382179/100382179/100382179/100282035/100282035/100282035/100282035/100282035/100283766/100283766/100283766/100283766/100283766/100283766/100283766/100283766/100192099/100192099/100192099/100192099/100192099/100192099/100284818/100284818/100284818/100284818/100284818/100284818/100284818/100284818/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
