""	"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0000133"	"GO:0000133"	"polarisome"	0	"0/139"	""
"GO:0000408"	"GO:0000408"	"EKC/KEOPS complex"	0	"0/139"	""
"GO:0000417"	"GO:0000417"	"HIR complex"	0	"0/139"	""
"GO:0000796"	"GO:0000796"	"condensin complex"	0	"0/139"	""
"GO:0000808"	"GO:0000808"	"origin recognition complex"	0	"0/139"	""
"GO:0000930"	"GO:0000930"	"gamma-tubulin complex"	0	"0/139"	""
"GO:0000939"	"GO:0000939"	"inner kinetochore"	0	"0/139"	""
"GO:0000940"	"GO:0000940"	"outer kinetochore"	0	"0/139"	""
"GO:0000974"	"GO:0000974"	"Prp19 complex"	0	"0/139"	""
"GO:0001114"	"GO:0001114"	"protein-DNA-RNA complex"	0	"0/139"	""
"GO:0001534"	"GO:0001534"	"radial spoke"	0	"0/139"	""
"GO:0001535"	"GO:0001535"	"radial spoke head"	0	"0/139"	""
"GO:0001536"	"GO:0001536"	"radial spoke stalk"	0	"0/139"	""
"GO:0002096"	"GO:0002096"	"polkadots"	0	"0/139"	""
"GO:0002133"	"GO:0002133"	"polycystin complex"	0	"0/139"	""
"GO:0002142"	"GO:0002142"	"stereocilia ankle link complex"	0	"0/139"	""
"GO:0002167"	"GO:0002167"	"VRK3/VHR/ERK complex"	0	"0/139"	""
"GO:0002193"	"GO:0002193"	"MAML1-RBP-Jkappa- ICN1 complex"	0	"0/139"	""
"GO:0002199"	"GO:0002199"	"zona pellucida receptor complex"	0	"0/139"	""
"GO:0002929"	"GO:0002929"	"MECO complex"	0	"0/139"	""
"GO:0005577"	"GO:0005577"	"fibrinogen complex"	0	"0/139"	""
"GO:0005581"	"GO:0005581"	"collagen trimer"	0	"0/139"	""
"GO:0005602"	"GO:0005602"	"complement component C1 complex"	0	"0/139"	""
"GO:0005616"	"GO:0005616"	"larval serum protein complex"	0	"0/139"	""
"GO:0005663"	"GO:0005663"	"DNA replication factor C complex"	0	"0/139"	""
"GO:0005667"	"GO:0005667"	"transcription regulator complex"	0	"0/139"	""
"GO:0005831"	"GO:0005831"	"steroid hormone aporeceptor complex"	0	"0/139"	""
"GO:0005833"	"GO:0005833"	"hemoglobin complex"	0	"0/139"	""
"GO:0005838"	"GO:0005838"	"proteasome regulatory particle"	0	"0/139"	""
"GO:0005850"	"GO:0005850"	"eukaryotic translation initiation factor 2 complex"	0	"0/139"	""
"GO:0005851"	"GO:0005851"	"eukaryotic translation initiation factor 2B complex"	0	"0/139"	""
"GO:0005852"	"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	0	"0/139"	""
"GO:0005853"	"GO:0005853"	"eukaryotic translation elongation factor 1 complex"	0	"0/139"	""
"GO:0005854"	"GO:0005854"	"nascent polypeptide-associated complex"	0	"0/139"	""
"GO:0005861"	"GO:0005861"	"troponin complex"	0	"0/139"	""
"GO:0005862"	"GO:0005862"	"muscle thin filament tropomyosin"	0	"0/139"	""
"GO:0005875"	"GO:0005875"	"microtubule associated complex"	0	"0/139"	""
"GO:0005885"	"GO:0005885"	"Arp2/3 protein complex"	0	"0/139"	""
"GO:0005931"	"GO:0005931"	"axonemal nexin link"	0	"0/139"	""
"GO:0008091"	"GO:0008091"	"spectrin"	0	"0/139"	""
"GO:0008278"	"GO:0008278"	"cohesin complex"	0	"0/139"	""
"GO:0008290"	"GO:0008290"	"F-actin capping protein complex"	0	"0/139"	""
"GO:0008537"	"GO:0008537"	"proteasome activator complex"	0	"0/139"	""
"GO:0008540"	"GO:0008540"	"proteasome regulatory particle, base subcomplex"	0	"0/139"	""
"GO:0008541"	"GO:0008541"	"proteasome regulatory particle, lid subcomplex"	0	"0/139"	""
"GO:0015627"	"GO:0015627"	"type II protein secretion system complex"	0	"0/139"	""
"GO:0016272"	"GO:0016272"	"prefoldin complex"	0	"0/139"	""
"GO:0016459"	"GO:0016459"	"myosin complex"	0	"0/139"	""
"GO:0017102"	"GO:0017102"	"methionyl glutamyl tRNA synthetase complex"	0	"0/139"	""
"GO:0018444"	"GO:0018444"	"translation release factor complex"	0	"0/139"	""
"GO:0019035"	"GO:0019035"	"viral integration complex"	0	"0/139"	""
"GO:0019036"	"GO:0019036"	"viral transcriptional complex"	0	"0/139"	""
"GO:0019773"	"GO:0019773"	"proteasome core complex, alpha-subunit complex"	0	"0/139"	""
"GO:0019774"	"GO:0019774"	"proteasome core complex, beta-subunit complex"	0	"0/139"	""
"GO:0019814"	"GO:0019814"	"immunoglobulin complex"	0	"0/139"	""
"GO:0022623"	"GO:0022623"	"proteasome-activating nucleotidase complex"	0	"0/139"	""
"GO:0022624"	"GO:0022624"	"proteasome accessory complex"	0	"0/139"	""
"GO:0030076"	"GO:0030076"	"light-harvesting complex"	0	"0/139"	""
