""	"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0000146"	"GO:0000146"	"microfilament motor activity"	0	"0/139"	""
"GO:0003777"	"GO:0003777"	"microtubule motor activity"	0	"0/139"	""
"GO:0061791"	"GO:0061791"	"GTPase motor activity"	0	"0/139"	""
"GO:0140605"	"GO:0140605"	"proton motive force-driven motor activity"	0	"0/139"	""
"GO:0004133"	"GO:0004133"	"glycogen debranching enzyme activity"	0	"0/139"	""
"GO:0009975"	"GO:0009975"	"cyclase activity"	20	"20/139"	"103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105/103641105"
"GO:0016218"	"GO:0016218"	"polyketide synthase activity"	0	"0/139"	""
"GO:0016491"	"GO:0016491"	"oxidoreductase activity"	253	"253/139"	"100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/100192603/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/103635519/100382402/100382402/100382402/100382402/103640631/103640631/103640631/103640631/103640631/103640631/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100285987/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100281181/100286107/100286107/100286107/100286107/100286107/100286107/100286107/100286107/100286107/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100191769/100274473/100274473/100274473/100274473/100274473/100274473/100274473/100284998/100284998/100284998/100284998/100284998/100284998/100284998/103627438/103627438/103627438/103627438/103627438/103627438/103627438/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100279973/100382914/100382914/100382914/100382364/100382364/100382364/100382364/103633147/103633147/103633147/103633147/103633147/100281145/100281145/100281145/100281145/100281145/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/100191153/103641262/103641262/103641262/103641262/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644/100283644"
"GO:0016740"	"GO:0016740"	"transferase activity"	185	"185/139"	"100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/103647730/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281022/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100281786/100286280/100286280/100286280/100286280/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100282845/100281608/100281608/100281608/542632/542632/542632/542632/542632/542632/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542714/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/100282035/100282035/100282035/100282035/100282035/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/100284673/100284673/100284673/100284673"
"GO:0016787"	"GO:0016787"	"hydrolase activity"	163	"163/139"	"100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100194192/100274182/100274182/100274182/100274182/100274182/100274182/100274182/100274182/103647733/103647733/103647733/103647733/103647733/103647733/103647733/100037765/100037765/100037765/100037765/100037765/100037765/100037765/100037765/100037765/100037765/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/100282017/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/541712/103627890/103627890/103627890/103627890/103627890/103627890/103627890/100285398/100285398/100285398/100285398/100285398/100285398/100285398/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/542686/100382179/100382179/100382179/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/542059/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928/100196928"
