""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0009628"	"GO:0009628"	"response to abiotic stimulus"	"16/72"	"312/7706"	1.86920198016545e-08	4.43000869299212e-06	3.99418949445881e-06	"LOC100280131/LOC100274071/LOC100192612/LOC103640631/LOC100501175/LOC542716/LOC542723/LOC100272803/LOC542320/LOC103630699/LOC100282512/LOC542714/LOC100274453/LOC103638672/LOC100283766/LOC100196928"	16
"GO:0015979"	"GO:0015979"	"photosynthesis"	"9/72"	"107/7706"	5.61796464770851e-07	5.09598611702802e-05	4.59464881970547e-05	"LOC100285458/LOC542716/LOC542320/LOC100277775/LOC100282845/LOC103633249/LOC100282512/LOC100285398/LOC100274453"	9
"GO:0009266"	"GO:0009266"	"response to temperature stimulus"	"9/72"	"112/7706"	8.2957002389516e-07	5.09598611702802e-05	4.59464881970547e-05	"LOC100280131/LOC100274071/LOC100192612/LOC100501175/LOC542723/LOC542714/LOC103638672/LOC100283766/LOC100196928"	9
"GO:0009765"	"GO:0009765"	"photosynthesis, light harvesting"	"5/72"	"20/7706"	8.6008204506802e-07	5.09598611702802e-05	4.59464881970547e-05	"LOC542716/LOC542320/LOC100282512/LOC100285398/LOC100274453"	5
"GO:0048511"	"GO:0048511"	"rhythmic process"	"5/72"	"24/7706"	2.2903736180859e-06	0.000108563709497272	9.78833356781973e-05	"LOC100274071/LOC100192612/LOC100501175/LOC100273598/LOC100381542"	5
"GO:0009768"	"GO:0009768"	"photosynthesis, light harvesting in photosystem I"	"4/72"	"15/7706"	8.84836988598412e-06	0.000349510610496373	0.000315126155588557	"LOC542716/LOC542320/LOC100282512/LOC100274453"	4
"GO:0007623"	"GO:0007623"	"circadian rhythm"	"4/72"	"22/7706"	4.512889784273e-05	0.00133878515616202	0.00120707700067018	"LOC100274071/LOC100192612/LOC100501175/LOC100381542"	4
"GO:0019684"	"GO:0019684"	"photosynthesis, light reaction"	"5/72"	"43/7706"	4.51910601236126e-05	0.00133878515616202	0.00120707700067018	"LOC542716/LOC542320/LOC100282512/LOC100285398/LOC100274453"	5
"GO:0042752"	"GO:0042752"	"regulation of circadian rhythm"	"3/72"	"13/7706"	0.000209174220493738	0.00528225112534544	0.00476258928911892	"LOC100274071/LOC100192612/LOC100501175"	3
"GO:0006091"	"GO:0006091"	"generation of precursor metabolites and energy"	"8/72"	"177/7706"	0.000225938108684252	0.00528225112534544	0.00476258928911892	"LOC542716/LOC542320/LOC100272845/LOC103633249/LOC100282512/LOC100285398/LOC100274453/LOC100278780"	8
"GO:0009408"	"GO:0009408"	"response to heat"	"5/72"	"61/7706"	0.00024516777375021	0.00528225112534544	0.00476258928911892	"LOC100280131/LOC542723/LOC103638672/LOC100283766/LOC100196928"	5
"GO:0009416"	"GO:0009416"	"response to light stimulus"	"6/72"	"123/7706"	0.000967745717954948	0.0191129779296102	0.0172326649776188	"LOC542716/LOC100272803/LOC542320/LOC103630699/LOC100282512/LOC100274453"	6
"GO:0009314"	"GO:0009314"	"response to radiation"	"6/72"	"125/7706"	0.00105269590301146	0.0191914560779781	0.01730342253533	"LOC542716/LOC100272803/LOC542320/LOC103630699/LOC100282512/LOC100274453"	6
"GO:0009409"	"GO:0009409"	"response to cold"	"4/72"	"51/7706"	0.00125690714599701	0.0212776424000923	0.0191843722283755	"LOC100274071/LOC100192612/LOC100501175/LOC542714"	4
"GO:0006457"	"GO:0006457"	"protein folding"	"6/72"	"137/7706"	0.0016893445241625	0.0266916434817675	0.0240657500635079	"LOC103646716/LOC542723/LOC100279586/LOC100277775/LOC100283766/LOC100196928"	6
"GO:0006979"	"GO:0006979"	"response to oxidative stress"	"6/72"	"151/7706"	0.00276265363422329	0.0409218069569325	0.0368959662991663	"LOC100192603/LOC542723/LOC100191769/LOC100283766/LOC100278780/LOC100191153"	6
"GO:0061077"	"GO:0061077"	"chaperone-mediated protein folding"	"3/72"	"36/7706"	0.00447728145240963	0.0624185708365342	0.0562779030860157	"LOC103646716/LOC100277775/LOC100196928"	3
"GO:0006952"	"GO:0006952"	"defense response"	"7/72"	"226/7706"	0.00496429339290081	0.0653631963398606	0.0589328396935008	"LOC100284970/LOC103640644/LOC100274370/LOC103626019/LOC103633630/LOC103641105/LOC100196928"	7
"GO:0051604"	"GO:0051604"	"protein maturation"	"6/72"	"177/7706"	0.00601695949655574	0.0750536526675638	0.0676699599889649	"LOC103646716/LOC542723/LOC100279586/LOC100277775/LOC100283766/LOC100196928"	6
"GO:0008300"	"GO:0008300"	"isoprenoid catabolic process"	"2/72"	"16/7706"	0.00949269778220304	0.112488468719106	0.101421981567748	"LOC103627438/LOC103641105"	2
"GO:0034605"	"GO:0034605"	"cellular response to heat"	"2/72"	"17/7706"	0.0106938362019629	0.120687579993581	0.108814473634008	"LOC100280131/LOC100196928"	2
"GO:0010035"	"GO:0010035"	"response to inorganic substance"	"4/72"	"99/7706"	0.0135416081244931	0.145880051159312	0.131528538242684	"LOC542723/LOC103626569/LOC103638672/LOC100283766"	4
"GO:0042542"	"GO:0042542"	"response to hydrogen peroxide"	"2/72"	"20/7706"	0.0146729588313244	0.151195271435821	0.136320853215508	"LOC542723/LOC100283766"	2
"GO:0006721"	"GO:0006721"	"terpenoid metabolic process"	"3/72"	"58/7706"	0.0167217466432612	0.165127248102204	0.148882217920264	"LOC103627438/LOC542686/LOC103641105"	3
"GO:0016101"	"GO:0016101"	"diterpenoid metabolic process"	"2/72"	"23/7706"	0.0191897994298319	0.174922402495006	0.157713736204691	"LOC103627438/LOC103641105"	2
