""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0009765"	"GO:0009765"	"photosynthesis, light harvesting"	"5/179"	"20/7706"	7.46833420359851e-05	0.0309436634744861	0.0297255132649642	"LOC542716/LOC542320/LOC100282512/LOC100285398/LOC100274453"	5
"GO:0015979"	"GO:0015979"	"photosynthesis"	"10/179"	"107/7706"	0.000178155528590298	0.0309436634744861	0.0297255132649642	"LOC100281866/LOC100285458/LOC542716/LOC542320/LOC100277775/LOC100282845/LOC103633249/LOC100282512/LOC100285398/LOC100274453"	10
"GO:0048511"	"GO:0048511"	"rhythmic process"	"5/179"	"24/7706"	0.000189862894533806	0.0309436634744861	0.0297255132649642	"LOC100274071/LOC100192612/LOC100501175/LOC100273598/LOC100381542"	5
"GO:0009266"	"GO:0009266"	"response to temperature stimulus"	"10/179"	"112/7706"	0.000259640952425455	0.0309436634744861	0.0297255132649642	"LOC100280131/LOC100274071/LOC100192612/LOC100501175/LOC542723/LOC542714/LOC100216961/LOC103638672/LOC100283766/LOC100196928"	10
"GO:0009768"	"GO:0009768"	"photosynthesis, light harvesting in photosystem I"	"4/179"	"15/7706"	0.000314468124740713	0.0309436634744861	0.0297255132649642	"LOC542716/LOC542320/LOC100282512/LOC100274453"	4
"GO:0008300"	"GO:0008300"	"isoprenoid catabolic process"	"4/179"	"16/7706"	0.000411726442463191	0.0337615682819816	0.0324324864326268	"LOC100194237/LOC100501454/LOC103627438/LOC103641105"	4
"GO:0120252"	"GO:0120252"	"hydrocarbon metabolic process"	"4/179"	"17/7706"	0.000528704937241132	0.0371604041603767	0.0356975213265065	"LOC100217270/LOC103644215/LOC100501454/LOC103641105"	4
"GO:0009628"	"GO:0009628"	"response to abiotic stimulus"	"17/179"	"312/7706"	0.000901365981516784	0.0554340078632822	0.0532517533817153	"LOC100280131/LOC100274071/LOC100192612/LOC103640631/LOC100501175/LOC542716/LOC542723/LOC100272803/LOC542320/LOC103630699/LOC100282512/LOC542714/LOC100274453/LOC100216961/LOC103638672/LOC100283766/LOC100196928"	17
"GO:0007623"	"GO:0007623"	"circadian rhythm"	"4/179"	"22/7706"	0.00148399213846749	0.0750427170719091	0.0720885322321078	"LOC100274071/LOC100192612/LOC100501175/LOC100381542"	4
"GO:0006749"	"GO:0006749"	"glutathione metabolic process"	"5/179"	"37/7706"	0.00152525847707132	0.0750427170719091	0.0720885322321078	"LOC541850/LOC542587/LOC100280815/LOC542630/LOC542632"	5
"GO:0010035"	"GO:0010035"	"response to inorganic substance"	"8/179"	"99/7706"	0.00205186645911758	0.0917743907168955	0.0881615349419899	"LOC100282375/LOC100280524/LOC542723/LOC103626569/LOC101027254/LOC100216961/LOC103638672/LOC100283766"	8
"GO:0006952"	"GO:0006952"	"defense response"	"13/179"	"226/7706"	0.00226341621017938	0.0928000646173548	0.0891468314360126	"LOC103632470/LOC100284970/LOC103640644/LOC100217270/LOC100274370/LOC100273985/LOC103626019/LOC101027254/LOC103633630/LOC100384031/LOC103640718/LOC103641105/LOC100196928"	13
"GO:0006091"	"GO:0006091"	"generation of precursor metabolites and energy"	"11/179"	"177/7706"	0.00269747872123871	0.0987583632365871	0.0948705714446462	"LOC103634611/LOC100283280/LOC542716/LOC100217128/LOC542320/LOC100272845/LOC103633249/LOC100282512/LOC100285398/LOC100274453/LOC100278780"	11
"GO:0042752"	"GO:0042752"	"regulation of circadian rhythm"	"3/179"	"13/7706"	0.00296888464232964	0.0987583632365871	0.0948705714446462	"LOC100274071/LOC100192612/LOC100501175"	3
"GO:0019684"	"GO:0019684"	"photosynthesis, light reaction"	"5/179"	"43/7706"	0.00301092570843253	0.0987583632365871	0.0948705714446462	"LOC542716/LOC542320/LOC100282512/LOC100285398/LOC100274453"	5
"GO:0044242"	"GO:0044242"	"cellular lipid catabolic process"	"5/179"	"48/7706"	0.00487944616547168	0.149267414415323	0.143391247480702	"LOC100194237/LOC100501454/LOC103627438/LOC101027254/LOC103641105"	5
"GO:0016042"	"GO:0016042"	"lipid catabolic process"	"6/179"	"69/7706"	0.00515761391272458	0.149267414415323	0.143391247480702	"LOC100194237/LOC100273985/LOC100501454/LOC103627438/LOC101027254/LOC103641105"	6
"GO:0009409"	"GO:0009409"	"response to cold"	"5/179"	"51/7706"	0.00633080395658716	0.170725848902148	0.164004934011691	"LOC100274071/LOC100192612/LOC100501175/LOC542714/LOC100216961"	5
"GO:0000462"	"GO:0000462"	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"3/179"	"17/7706"	0.00659307140069271	0.170725848902148	0.164004934011691	"LOC103654828/LOC103654826/LOC542341"	3
"GO:0006979"	"GO:0006979"	"response to oxidative stress"	"9/179"	"151/7706"	0.00843074667395689	0.20739636817934	0.199231855610876	"LOC100192603/LOC542723/LOC100191769/LOC103628533/LOC103629160/LOC101027254/LOC100283766/LOC100278780/LOC100191153"	9
"GO:0009408"	"GO:0009408"	"response to heat"	"5/179"	"61/7706"	0.0133221150509751	0.293405478235369	0.281855070020712	"LOC100280131/LOC542723/LOC103638672/LOC100283766/LOC100196928"	5
"GO:0010038"	"GO:0010038"	"response to metal ion"	"3/179"	"22/7706"	0.0137161097549055	0.293405478235369	0.281855070020712	"LOC100282375/LOC100280524/LOC103626569"	3
"GO:0030490"	"GO:0030490"	"maturation of SSU-rRNA"	"3/179"	"22/7706"	0.0137161097549055	0.293405478235369	0.281855070020712	"LOC103654828/LOC103654826/LOC542341"	3
"GO:0016101"	"GO:0016101"	"diterpenoid metabolic process"	"3/179"	"23/7706"	0.0155089013816145	0.306138732006438	0.294087057490138	"LOC100274033/LOC103627438/LOC103641105"	3
"GO:0043207"	"GO:0043207"	"response to external biotic stimulus"	"9/179"	"168/7706"	0.0161780630735109	0.306138732006438	0.294087057490138	"LOC103632470/LOC103641763/LOC100285987/LOC103651136/LOC101027254/LOC100384031/LOC103640718/LOC103641105/LOC100196928"	9
"GO:0051707"	"GO:0051707"	"response to other organism"	"9/179"	"168/7706"	0.0161780630735109	0.306138732006438	0.294087057490138	"LOC103632470/LOC103641763/LOC100285987/LOC103651136/LOC101027254/LOC100384031/LOC103640718/LOC103641105/LOC100196928"	9
"GO:0044419"	"GO:0044419"	"biological process involved in interspecies interaction between organisms"	"9/179"	"170/7706"	0.0173508693080535	0.316171396280086	0.30372476878425	"LOC103632470/LOC103641763/LOC100285987/LOC103651136/LOC101027254/LOC100384031/LOC103640718/LOC103641105/LOC100196928"	9
"GO:0044248"	"GO:0044248"	"cellular catabolic process"	"14/179"	"324/7706"	0.0183997695412309	0.323310236224486	0.310582576090702	"LOC100192603/LOC100191549/LOC103644215/LOC100194237/LOC100501454/LOC100191769/LOC103628533/LOC103627438/LOC103629160/LOC101027254/LOC103633803/LOC103640860/LOC100191153/LOC103641105"	14
"GO:0006720"	"GO:0006720"	"isoprenoid metabolic process"	"6/179"	"93/7706"	0.0208302288770291	0.353395607155115	0.339483584965012	"LOC100274033/LOC100194237/LOC100501454/LOC103627438/LOC542686/LOC103641105"	6
"GO:0009627"	"GO:0009627"	"systemic acquired resistance"	"2/179"	"11/7706"	0.0257132118583208	0.381580103742072	0.366558550663651	"LOC103632470/LOC101027254"	2
"GO:0044282"	"GO:0044282"	"small molecule catabolic process"	"6/179"	"98/7706"	0.0261870033052378	0.381580103742072	0.366558550663651	"LOC103634611/LOC100191549/LOC100194237/LOC103627438/LOC101027254/LOC103633803"	6
"GO:0006414"	"GO:0006414"	"translational elongation"	"3/179"	"28/7706"	0.0263693567626635	0.381580103742072	0.366558550663651	"LOC103644301/LOC100285098/LOC103629584"	3
"GO:0042255"	"GO:0042255"	"ribosome assembly"	"3/179"	"28/7706"	0.0263693567626635	0.381580103742072	0.366558550663651	"LOC103654828/LOC103654826/LOC542341"	3
"GO:0042742"	"GO:0042742"	"defense response to bacterium"	"3/179"	"28/7706"	0.0263693567626635	0.381580103742072	0.366558550663651	"LOC103632470/LOC101027254/LOC100196928"	3
"GO:0046854"	"GO:0046854"	"phosphatidylinositol phosphate biosynthetic process"	"3/179"	"29/7706"	0.0289220771254887	0.406561769878298	0.390556770807351	"LOC103643394/LOC100384405/LOC103635424"	3
"GO:0009607"	"GO:0009607"	"response to biotic stimulus"	"9/179"	"187/7706"	0.0299499046814714	0.409315363980108	0.393201964970194	"LOC103632470/LOC103641763/LOC100285987/LOC103651136/LOC101027254/LOC100384031/LOC103640718/LOC103641105/LOC100196928"	9
"GO:0009617"	"GO:0009617"	"response to bacterium"	"3/179"	"32/7706"	0.0373346861568607	0.496450421329066	0.476906801833014	"LOC103632470/LOC101027254/LOC100196928"	3
"GO:0042744"	"GO:0042744"	"hydrogen peroxide catabolic process"	"5/179"	"81/7706"	0.0397475768288158	0.514626521046773	0.49436736831408	"LOC100192603/LOC100191769/LOC103628533/LOC103629160/LOC100191153"	5
"GO:0042743"	"GO:0042743"	"hydrogen peroxide metabolic process"	"5/179"	"83/7706"	0.0434300159666155	0.536153117815096	0.515046533801836	"LOC100192603/LOC100191769/LOC103628533/LOC103629160/LOC100191153"	5
"GO:0006721"	"GO:0006721"	"terpenoid metabolic process"	"4/179"	"58/7706"	0.0452439058829871	0.536153117815096	0.515046533801836	"LOC100274033/LOC103627438/LOC542686/LOC103641105"	4
"GO:0016102"	"GO:0016102"	"diterpenoid biosynthetic process"	"2/179"	"15/7706"	0.0462064442590365	0.536153117815096	0.515046533801836	"LOC100274033/LOC103641105"	2
"GO:0042214"	"GO:0042214"	"terpene metabolic process"	"2/179"	"15/7706"	0.0462064442590365	0.536153117815096	0.515046533801836	"LOC100501454/LOC103641105"	2
"GO:0006096"	"GO:0006096"	"glycolytic process"	"3/179"	"35/7706"	0.0468589107033518	0.536153117815096	0.515046533801836	"LOC103634611/LOC100283280/LOC100272845"	3
"GO:0061077"	"GO:0061077"	"chaperone-mediated protein folding"	"3/179"	"36/7706"	0.0502747221713713	0.556370506752889	0.534468030663345	"LOC103646716/LOC100277775/LOC100196928"	3
"GO:0008037"	"GO:0008037"	"cell recognition"	"2/179"	"16/7706"	0.0520183807126685	0.556370506752889	0.534468030663345	"LOC103641763/LOC103651136"	2
"GO:0048544"	"GO:0048544"	"recognition of pollen"	"2/179"	"16/7706"	0.0520183807126685	0.556370506752889	0.534468030663345	"LOC103641763/LOC103651136"	2
"GO:0034605"	"GO:0034605"	"cellular response to heat"	"2/179"	"17/7706"	0.0580750886209319	0.607934970244649	0.58400257090254	"LOC100280131/LOC100196928"	2
"GO:0019752"	"GO:0019752"	"carboxylic acid metabolic process"	"16/179"	"454/7706"	0.0621171151693832	0.62566920308749	0.601038665353622	"LOC103632470/LOC103634611/LOC100274380/LOC100191549/LOC100217270/LOC100283280/LOC100217128/LOC100286299/LOC103654058/LOC100272845/LOC103654868/LOC103627438/LOC101027254/LOC103633803/LOC103633249/LOC103641109"	16
"GO:0009751"	"GO:0009751"	"response to salicylic acid"	"2/179"	"18/7706"	0.0643622019217259	0.62566920308749	0.601038665353622	"LOC103632470/LOC101027254"	2
"GO:0009416"	"GO:0009416"	"response to light stimulus"	"6/179"	"123/7706"	0.066344807363993	0.62566920308749	0.601038665353622	"LOC542716/LOC100272803/LOC542320/LOC103630699/LOC100282512/LOC100274453"	6
"GO:0043436"	"GO:0043436"	"oxoacid metabolic process"	"16/179"	"459/7706"	0.0671567932867894	0.62566920308749	0.601038665353622	"LOC103632470/LOC103634611/LOC100274380/LOC100191549/LOC100217270/LOC100283280/LOC100217128/LOC100286299/LOC103654058/LOC100272845/LOC103654868/LOC103627438/LOC101027254/LOC103633803/LOC103633249/LOC103641109"	16
"GO:0072593"	"GO:0072593"	"reactive oxygen species metabolic process"	"5/179"	"94/7706"	0.0672541086076625	0.62566920308749	0.601038665353622	"LOC100192603/LOC100191769/LOC103628533/LOC103629160/LOC100191153"	5
"GO:0006082"	"GO:0006082"	"organic acid metabolic process"	"16/179"	"460/7706"	0.0681971145195441	0.62566920308749	0.601038665353622	"LOC103632470/LOC103634611/LOC100274380/LOC100191549/LOC100217270/LOC100283280/LOC100217128/LOC100286299/LOC103654058/LOC100272845/LOC103654868/LOC103627438/LOC101027254/LOC103633803/LOC103633249/LOC103641109"	16
"GO:0009314"	"GO:0009314"	"response to radiation"	"6/179"	"125/7706"	0.0705737016960668	0.62566920308749	0.601038665353622	"LOC542716/LOC100272803/LOC542320/LOC103630699/LOC100282512/LOC100274453"	6
"GO:0042274"	"GO:0042274"	"ribosomal small subunit biogenesis"	"3/179"	"42/7706"	0.07318168066094	0.62566920308749	0.601038665353622	"LOC103654828/LOC103654826/LOC542341"	3
"GO:1901615"	"GO:1901615"	"organic hydroxy compound metabolic process"	"6/179"	"127/7706"	0.0749553065361319	0.62566920308749	0.601038665353622	"LOC100194237/LOC100217128/LOC100384405/LOC103626026/LOC101027254/LOC542714"	6
"GO:0006066"	"GO:0006066"	"alcohol metabolic process"	"4/179"	"69/7706"	0.0760430061322622	0.62566920308749	0.601038665353622	"LOC100194237/LOC100217128/LOC100384405/LOC542714"	4
"GO:0000302"	"GO:0000302"	"response to reactive oxygen species"	"3/179"	"43/7706"	0.0773829488892266	0.62566920308749	0.601038665353622	"LOC542723/LOC101027254/LOC100283766"	3
"GO:0016114"	"GO:0016114"	"terpenoid biosynthetic process"	"3/179"	"43/7706"	0.0773829488892266	0.62566920308749	0.601038665353622	"LOC100274033/LOC542686/LOC103641105"	3
"GO:0009808"	"GO:0009808"	"lignin metabolic process"	"2/179"	"20/7706"	0.0775728076998718	0.62566920308749	0.601038665353622	"LOC100273263/LOC103640860"	2
"GO:0042542"	"GO:0042542"	"response to hydrogen peroxide"	"2/179"	"20/7706"	0.0775728076998718	0.62566920308749	0.601038665353622	"LOC542723/LOC100283766"	2
"GO:0016054"	"GO:0016054"	"organic acid catabolic process"	"4/179"	"71/7706"	0.0825439913702438	0.644629265939047	0.619252332919624	"LOC100191549/LOC103627438/LOC101027254/LOC103633803"	4
"GO:0046395"	"GO:0046395"	"carboxylic acid catabolic process"	"4/179"	"71/7706"	0.0825439913702438	0.644629265939047	0.619252332919624	"LOC100191549/LOC103627438/LOC101027254/LOC103633803"	4
"GO:1901617"	"GO:1901617"	"organic hydroxy compound biosynthetic process"	"4/179"	"73/7706"	0.0893100973784643	0.686571373596944	0.659543317811356	"LOC100384405/LOC103626026/LOC101027254/LOC542714"	4
"GO:0051259"	"GO:0051259"	"protein complex oligomerization"	"2/179"	"23/7706"	0.0987871351882365	0.704329092572338	0.676601973823235	"LOC542723/LOC100283766"	2
"GO:0006457"	"GO:0006457"	"protein folding"	"6/179"	"137/7706"	0.0991286985638386	0.704329092572338	0.676601973823235	"LOC103646716/LOC542723/LOC100279586/LOC100277775/LOC100283766/LOC100196928"	6
"GO:0010033"	"GO:0010033"	"response to organic substance"	"14/179"	"414/7706"	0.100634994524695	0.704329092572338	0.676601973823235	"LOC103632470/LOC103643204/LOC100274370/LOC100273056/LOC542723/LOC100281022/LOC101027254/LOC100281169/LOC100273598/LOC100216961/LOC103638672/LOC100283766/LOC100280045/LOC542294"	14
"GO:0046474"	"GO:0046474"	"glycerophospholipid biosynthetic process"	"4/179"	"78/7706"	0.107342766158627	0.704329092572338	0.676601973823235	"LOC103643394/LOC100384405/LOC100381644/LOC103635424"	4
"GO:0006629"	"GO:0006629"	"lipid metabolic process"	"16/179"	"493/7706"	0.108776432298615	0.704329092572338	0.676601973823235	"LOC103643394/LOC100274033/LOC100194237/LOC100273985/LOC100501454/LOC100384405/LOC100381644/LOC103626026/LOC103627438/LOC101027254/LOC103635424/LOC542686/LOC103641105/LOC103641109/LOC103641698/LOC103652785"	16
"GO:0140694"	"GO:0140694"	"non-membrane-bounded organelle assembly"	"3/179"	"50/7706"	0.109562108245167	0.704329092572338	0.676601973823235	"LOC103654828/LOC103654826/LOC542341"	3
"GO:0009725"	"GO:0009725"	"response to hormone"	"11/179"	"312/7706"	0.10996863898063	0.704329092572338	0.676601973823235	"LOC103643204/LOC100274370/LOC100273056/LOC100281022/LOC101027254/LOC100281169/LOC100273598/LOC100216961/LOC103638672/LOC100280045/LOC542294"	11
"GO:0009737"	"GO:0009737"	"response to abscisic acid"	"4/179"	"79/7706"	0.111133707495345	0.704329092572338	0.676601973823235	"LOC103643204/LOC101027254/LOC100216961/LOC103638672"	4
"GO:0009719"	"GO:0009719"	"response to endogenous stimulus"	"11/179"	"313/7706"	0.111778872998645	0.704329092572338	0.676601973823235	"LOC103643204/LOC100274370/LOC100273056/LOC100281022/LOC101027254/LOC100281169/LOC100273598/LOC100216961/LOC103638672/LOC100280045/LOC542294"	11
"GO:0071407"	"GO:0071407"	"cellular response to organic cyclic compound"	"2/179"	"25/7706"	0.113723556581053	0.704329092572338	0.676601973823235	"LOC103632470/LOC101027254"	2
"GO:0006090"	"GO:0006090"	"pyruvate metabolic process"	"3/179"	"51/7706"	0.11452515172058	0.704329092572338	0.676601973823235	"LOC103634611/LOC100283280/LOC100272845"	3
"GO:0097305"	"GO:0097305"	"response to alcohol"	"4/179"	"80/7706"	0.114983875341667	0.704329092572338	0.676601973823235	"LOC103643204/LOC101027254/LOC100216961/LOC103638672"	4
"GO:0009605"	"GO:0009605"	"response to external stimulus"	"9/179"	"245/7706"	0.116573164388391	0.704329092572338	0.676601973823235	"LOC103632470/LOC103641763/LOC100285987/LOC103651136/LOC101027254/LOC100384031/LOC103640718/LOC103641105/LOC100196928"	9
"GO:0051604"	"GO:0051604"	"protein maturation"	"7/179"	"177/7706"	0.117717201862724	0.704329092572338	0.676601973823235	"LOC100277042/LOC103646716/LOC542723/LOC100279586/LOC100277775/LOC100283766/LOC100196928"	7
"GO:0045017"	"GO:0045017"	"glycerolipid biosynthetic process"	"4/179"	"81/7706"	0.118892254485192	0.704329092572338	0.676601973823235	"LOC103643394/LOC100384405/LOC100381644/LOC103635424"	4
"GO:0009736"	"GO:0009736"	"cytokinin-activated signaling pathway"	"2/179"	"26/7706"	0.121396821179887	0.704329092572338	0.676601973823235	"LOC100281022/LOC100273598"	2
"GO:0071368"	"GO:0071368"	"cellular response to cytokinin stimulus"	"2/179"	"26/7706"	0.121396821179887	0.704329092572338	0.676601973823235	"LOC100281022/LOC100273598"	2
"GO:0032787"	"GO:0032787"	"monocarboxylic acid metabolic process"	"7/179"	"179/7706"	0.122864872308717	0.704329092572338	0.676601973823235	"LOC103632470/LOC103634611/LOC100283280/LOC100272845/LOC101027254/LOC103633249/LOC103641109"	7
