""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0009522"	"GO:0009522"	"photosystem I"	"5/59"	"25/7761"	1.01042161846587e-06	4.647939444943e-05	2.76536442948554e-05	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0009521"	"GO:0009521"	"photosystem"	"5/59"	"43/7761"	1.64891501454984e-05	0.000379250453346464	0.000225641001991031	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0009535"	"GO:0009535"	"chloroplast thylakoid membrane"	"5/59"	"63/7761"	0.000107212801422047	0.00108422607004977	0.000645077295681786	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0055035"	"GO:0055035"	"plastid thylakoid membrane"	"5/59"	"63/7761"	0.000107212801422047	0.00108422607004977	0.000645077295681786	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0009523"	"GO:0009523"	"photosystem II"	"4/59"	"34/7761"	0.000117850659788019	0.00108422607004977	0.000645077295681786	"LOC542716/LOC542320/LOC100282512/LOC100274453"	4
"GO:0009534"	"GO:0009534"	"chloroplast thylakoid"	"5/59"	"75/7761"	0.000245577353842047	0.00161379403953345	0.000960152060134318	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0031976"	"GO:0031976"	"plastid thylakoid"	"5/59"	"75/7761"	0.000245577353842047	0.00161379403953345	0.000960152060134318	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0042651"	"GO:0042651"	"thylakoid membrane"	"5/59"	"78/7761"	0.000295207835147049	0.00169744505209553	0.00100992154129254	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0034357"	"GO:0034357"	"photosynthetic membrane"	"5/59"	"88/7761"	0.000517005472893138	0.00264247241700937	0.00157218038540603	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0009526"	"GO:0009526"	"plastid envelope"	"6/59"	"156/7761"	0.00112050905517989	0.00515434165382748	0.00306665636154495	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC542714/LOC100274453"	6
"GO:0019867"	"GO:0019867"	"outer membrane"	"5/59"	"112/7761"	0.00154109613363416	0.00590753517893094	0.00351478065565685	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0031968"	"GO:0031968"	"organelle outer membrane"	"5/59"	"112/7761"	0.00154109613363416	0.00590753517893094	0.00351478065565685	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0009570"	"GO:0009570"	"chloroplast stroma"	"4/59"	"68/7761"	0.00170773914287771	0.00604276927479805	0.00359524030079518	"LOC541712/LOC100277775/LOC542714/LOC542686"	4
"GO:0009532"	"GO:0009532"	"plastid stroma"	"4/59"	"71/7761"	0.00200333171903501	0.00619326638750106	0.00368478091704868	"LOC541712/LOC100277775/LOC542714/LOC542686"	4
"GO:0009579"	"GO:0009579"	"thylakoid"	"6/59"	"175/7761"	0.00201954338722861	0.00619326638750106	0.00368478091704868	"LOC103646716/LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	6
"GO:0042170"	"GO:0042170"	"plastid membrane"	"5/59"	"133/7761"	0.00327084688890559	0.00940368480560356	0.00559486967839113	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0005576"	"GO:0005576"	"extracellular region"	"7/59"	"272/7761"	0.00431332503205226	0.0116713500867296	0.0069440526831801	"LOC541908/LOC100194192/LOC100192603/LOC100191769/LOC100191153/LOC542059/LOC103641262"	7
"GO:0009507"	"GO:0009507"	"chloroplast"	"9/59"	"449/7761"	0.00635518181498337	0.0162410201938464	0.00966284954324957	"LOC100285458/LOC542716/LOC541712/LOC542320/LOC100277775/LOC100282512/LOC542714/LOC100274453/LOC542686"	9
"GO:0031967"	"GO:0031967"	"organelle envelope"	"6/59"	"336/7761"	0.0413249414897183	0.095047365426352	0.0565499199332987	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC542714/LOC100274453"	6
"GO:0031975"	"GO:0031975"	"envelope"	"6/59"	"336/7761"	0.0413249414897183	0.095047365426352	0.0565499199332987	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC542714/LOC100274453"	6
"GO:0098796"	"GO:0098796"	"membrane protein complex"	"5/59"	"289/7761"	0.0677288486927339	0.145627119848543	0.0866431376673255	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0005777"	"GO:0005777"	"peroxisome"	"2/59"	"59/7761"	0.0737969652212463	0.145627119848543	0.0866431376673255	"LOC100285987/LOC103633249"	2
"GO:0042579"	"GO:0042579"	"microbody"	"2/59"	"59/7761"	0.0737969652212463	0.145627119848543	0.0866431376673255	"LOC100285987/LOC103633249"	2
"GO:0000786"	"GO:0000786"	"nucleosome"	"2/59"	"60/7761"	0.0759793668775009	0.145627119848543	0.0866431376673255	"LOC103504712/LOC103638138"	2
"GO:0098588"	"GO:0098588"	"bounding membrane of organelle"	"6/59"	"431/7761"	0.107598186091559	0.197980662408468	0.117791698458128	"LOC100285458/LOC542716/LOC542320/LOC541897/LOC100282512/LOC100274453"	6
"GO:0048046"	"GO:0048046"	"apoplast"	"2/59"	"77/7761"	0.115893742111726	0.205042774505361	0.121993412749185	"LOC100194192/LOC542059"	2
"GO:0005615"	"GO:0005615"	"extracellular space"	"1/59"	"31/7761"	0.211029249910691	0.352817723633675	0.209914435113857	"LOC103641262"	1
"GO:0000785"	"GO:0000785"	"chromatin"	"2/59"	"114/7761"	0.214758614385715	0.352817723633675	0.209914435113857	"LOC103504712/LOC103638138"	2
"GO:0005783"	"GO:0005783"	"endoplasmic reticulum"	"5/59"	"441/7761"	0.242929296208317	0.385336125020089	0.229261767746506	"LOC100192597/LOC100273056/LOC100282976/LOC100284383/LOC100285610"	5
"GO:0005618"	"GO:0005618"	"cell wall"	"1/59"	"41/7761"	0.2692541972566	0.390835047873469	0.232533438094055	"LOC100191153"	1
"GO:0009505"	"GO:0009505"	"plant-type cell wall"	"1/59"	"41/7761"	0.2692541972566	0.390835047873469	0.232533438094055	"LOC100191153"	1
"GO:0032993"	"GO:0032993"	"protein-DNA complex"	"2/59"	"136/7761"	0.276828130869469	0.390835047873469	0.232533438094055	"LOC103504712/LOC103638138"	2
"GO:0030312"	"GO:0030312"	"external encapsulating structure"	"1/59"	"43/7761"	0.280381664778793	0.390835047873469	0.232533438094055	"LOC100191153"	1
"GO:0005829"	"GO:0005829"	"cytosol"	"5/59"	"492/7761"	0.318565479446668	0.431000354545493	0.256430416892055	"LOC100281022/LOC100272845/LOC542632/LOC542714/LOC100196928"	5
"GO:0005774"	"GO:0005774"	"vacuolar membrane"	"1/59"	"54/7761"	0.338669418749628	0.445108378928082	0.264824207142566	"LOC541897"	1
"GO:0005681"	"GO:0005681"	"spliceosomal complex"	"1/59"	"72/7761"	0.424192445451042	0.532676817105892	0.316924422076732	"LOC100272749"	1
"GO:0005694"	"GO:0005694"	"chromosome"	"2/59"	"191/7761"	0.428457439846044	0.532676817105892	0.316924422076732	"LOC103504712/LOC103638138"	2
"GO:0005773"	"GO:0005773"	"vacuole"	"1/59"	"82/7761"	0.466905184909308	0.565201013311268	0.336275202427756	"LOC541897"	1
"GO:0005730"	"GO:0005730"	"nucleolus"	"1/59"	"110/7761"	0.570614831844636	0.673032878585981	0.400431460943604	"LOC103638672"	1
"GO:0031981"	"GO:0031981"	"nuclear lumen"	"1/59"	"238/7761"	0.841917152355318	0.958412954095393	0.570222810216939	"LOC103638672"	1
"GO:0031974"	"GO:0031974"	"membrane-enclosed lumen"	"1/59"	"316/7761"	0.914731374594726	0.958412954095393	0.570222810216939	"LOC103638672"	1
"GO:0043233"	"GO:0043233"	"organelle lumen"	"1/59"	"316/7761"	0.914731374594726	0.958412954095393	0.570222810216939	"LOC103638672"	1
"GO:0070013"	"GO:0070013"	"intracellular organelle lumen"	"1/59"	"316/7761"	0.914731374594726	0.958412954095393	0.570222810216939	"LOC103638672"	1
"GO:0140513"	"GO:0140513"	"nuclear protein-containing complex"	"1/59"	"319/7761"	0.916742825656463	0.958412954095393	0.570222810216939	"LOC100272749"	1
"GO:0005739"	"GO:0005739"	"mitochondrion"	"1/59"	"393/7761"	0.953937164959544	0.972968216600595	0.578882691798981	"LOC542714"	1
"GO:1990904"	"GO:1990904"	"ribonucleoprotein complex"	"1/59"	"459/7761"	0.972968216600595	0.972968216600595	0.578882691798981	"LOC100272749"	1
