""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0009570"	"GO:0009570"	"chloroplast stroma"	"8/164"	"68/7761"	8.4323333056065e-05	0.00371906909677064	0.00314045163752755	"LOC541712/LOC100501454/LOC103654828/LOC103654826/LOC542341/LOC100277775/LOC542714/LOC542686"	8
"GO:0009532"	"GO:0009532"	"plastid stroma"	"8/164"	"71/7761"	0.000115020608007398	0.00371906909677064	0.00314045163752755	"LOC541712/LOC100501454/LOC103654828/LOC103654826/LOC542341/LOC100277775/LOC542714/LOC542686"	8
"GO:0009522"	"GO:0009522"	"photosystem I"	"5/164"	"25/7761"	0.00014952266217695	0.00371906909677064	0.00314045163752755	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0005576"	"GO:0005576"	"extracellular region"	"16/164"	"272/7761"	0.000192793719553018	0.00371906909677064	0.00314045163752755	"LOC541908/LOC100194192/LOC100192603/LOC103641577/LOC103650978/LOC103653010/LOC103653021/LOC100191769/LOC103628533/LOC103629160/LOC100282063/LOC103640860/LOC100191153/LOC103641112/LOC542059/LOC103641262"	16
"GO:0048046"	"GO:0048046"	"apoplast"	"8/164"	"77/7761"	0.000204344455866519	0.00371906909677064	0.00314045163752755	"LOC100194192/LOC103641577/LOC103653010/LOC103653021/LOC100282063/LOC103640860/LOC103641112/LOC542059"	8
"GO:0000313"	"GO:0000313"	"organellar ribosome"	"4/164"	"21/7761"	0.000868675569620548	0.0131749128059116	0.0111251432600526	"LOC100278182/LOC103654828/LOC103654826/LOC542341"	4
"GO:0009521"	"GO:0009521"	"photosystem"	"5/164"	"43/7761"	0.00199397675872891	0.0259216978634759	0.0218887674266482	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0009523"	"GO:0009523"	"photosystem II"	"4/164"	"34/7761"	0.00543886390667143	0.0618670769383875	0.0522417191035545	"LOC542716/LOC542320/LOC100282512/LOC100274453"	4
"GO:0005829"	"GO:0005829"	"cytosol"	"19/164"	"492/7761"	0.00761248753963647	0.0769707073452132	0.0649955076483582	"LOC541850/LOC100191549/LOC103644301/LOC100285098/LOC100283280/LOC542587/LOC100281022/LOC100280815/LOC103654058/LOC100272845/LOC103654685/LOC103654828/LOC103654826/LOC542341/LOC103654868/LOC542632/LOC542714/LOC100196928/LOC100191526"	19
"GO:0000786"	"GO:0000786"	"nucleosome"	"5/164"	"60/7761"	0.00849046026795062	0.0772631884383506	0.0652424841642521	"LOC103504712/LOC542301/LOC103629234/LOC100501512/LOC103638138"	5
"GO:0009535"	"GO:0009535"	"chloroplast thylakoid membrane"	"5/164"	"63/7761"	0.0103900024481244	0.0787908518982765	0.0665324718169368	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0055035"	"GO:0055035"	"plastid thylakoid membrane"	"5/164"	"63/7761"	0.0103900024481244	0.0787908518982765	0.0665324718169368	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0022627"	"GO:0022627"	"cytosolic small ribosomal subunit"	"4/164"	"47/7761"	0.0169348347459205	0.118543843221444	0.100100642627708	"LOC103654685/LOC103654828/LOC103654826/LOC542341"	4
"GO:0009534"	"GO:0009534"	"chloroplast thylakoid"	"5/164"	"75/7761"	0.0208718635010513	0.126622638573045	0.106922528812403	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
"GO:0031976"	"GO:0031976"	"plastid thylakoid"	"5/164"	"75/7761"	0.0208718635010513	0.126622638573045	0.106922528812403	"LOC100285458/LOC542716/LOC542320/LOC100282512/LOC100274453"	5
