""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0046906"	"GO:0046906"	"tetrapyrrole binding"	"24/219"	"227/8845"	1.56842079283186e-09	3.34073628873187e-07	3.05429312288311e-07	"LOC100192603/LOC100273344/LOC100281654/LOC103635519/LOC100191791/LOC100273153/LOC100281181/LOC542716/LOC542320/LOC100384710/LOC100191769/LOC100274473/LOC103626026/LOC103628533/LOC100284998/LOC100279973/LOC103629010/LOC103629160/LOC101027254/LOC100273139/LOC100282512/LOC100274453/LOC103636106/LOC100191153"	24
"GO:0020037"	"GO:0020037"	"heme binding"	"20/219"	"211/8845"	2.4097169019842e-07	2.56634850061318e-05	2.34630329930041e-05	"LOC100192603/LOC100273344/LOC100281654/LOC103635519/LOC100191791/LOC100273153/LOC100281181/LOC100384710/LOC100191769/LOC100274473/LOC103626026/LOC103628533/LOC100284998/LOC100279973/LOC103629010/LOC103629160/LOC101027254/LOC100273139/LOC103636106/LOC100191153"	20
"GO:0016705"	"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"18/219"	"185/8845"	6.73132232468948e-07	4.77923885052953e-05	4.3694548423423e-05	"LOC100273344/LOC100281654/LOC103635519/LOC100191791/LOC100273153/LOC100281181/LOC100384710/LOC100274473/LOC103626026/LOC100284998/LOC103627438/LOC100279973/LOC103629010/LOC100273139/LOC100382364/LOC103633147/LOC103636106/LOC100283644"	18
"GO:0004497"	"GO:0004497"	"monooxygenase activity"	"16/219"	"151/8845"	9.18380584006671e-07	4.89037660983552e-05	4.47106336950616e-05	"LOC100273344/LOC100281654/LOC103635519/LOC100191791/LOC100273153/LOC100281181/LOC100384710/LOC100274473/LOC103626026/LOC100284998/LOC100279973/LOC103629010/LOC100273139/LOC103633147/LOC103636106/LOC103641120"	16
"GO:0005506"	"GO:0005506"	"iron ion binding"	"16/219"	"165/8845"	3.00060242826446e-06	0.000127825663444066	0.000116865568258721	"LOC100273344/LOC100281654/LOC103635519/LOC100191791/LOC103644215/LOC100273153/LOC100281181/LOC100384710/LOC100274473/LOC103626026/LOC100284998/LOC100279973/LOC103629010/LOC100273139/LOC542714/LOC103636106"	16
"GO:0051213"	"GO:0051213"	"dioxygenase activity"	"8/219"	"67/8845"	0.000230660884612376	0.00818846140373934	0.00748636204443676	"LOC103640631/LOC100501454/LOC103627438/LOC101027254/LOC103633803/LOC100382364/LOC103639745/LOC100283644"	8
"GO:0016168"	"GO:0016168"	"chlorophyll binding"	"4/219"	"16/8845"	0.000526531427803092	0.0160215991602941	0.0146478667885071	"LOC542716/LOC542320/LOC100282512/LOC100274453"	4
"GO:0016702"	"GO:0016702"	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	"4/219"	"26/8845"	0.00356251619265329	0.0833247012293524	0.0761802309237964	"LOC103640631/LOC100501454/LOC101027254/LOC103633803"	4
"GO:0004364"	"GO:0004364"	"glutathione transferase activity"	"5/219"	"44/8845"	0.0043993776650143	0.0833247012293524	0.0761802309237964	"LOC541850/LOC542587/LOC100280815/LOC542630/LOC542632"	5
"GO:0016614"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH group of donors"	"8/219"	"105/8845"	0.00442434474305748	0.0833247012293524	0.0761802309237964	"LOC100382402/LOC100285987/LOC100217128/A1/LOC100382914/LOC100273263/LOC100135421/LOC100191526"	8
"GO:0046983"	"GO:0046983"	"protein dimerization activity"	"13/219"	"230/8845"	0.00465587077058892	0.0833247012293524	0.0761802309237964	"LOC103645865/LOC100193561/LOC542587/LOC100383076/LOC103504712/LOC542301/LOC103654413/LOC100303908/LOC103629234/LOC103630606/LOC100501512/LOC542714/LOC100284818"	13
"GO:0008171"	"GO:0008171"	"O-methyltransferase activity"	"4/219"	"28/8845"	0.00469434936503394	0.0833247012293524	0.0761802309237964	"LOC100193561/LOC103654413/LOC100303908/LOC103630606"	4
"GO:0016701"	"GO:0016701"	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	"4/219"	"31/8845"	0.00680904765518723	0.11156362696576	0.101997879855031	"LOC103640631/LOC100501454/LOC101027254/LOC103633803"	4
"GO:0030145"	"GO:0030145"	"manganese ion binding"	"4/219"	"33/8845"	0.00852121821960881	0.128911570028714	0.117858366470532	"LOC103634611/LOC103653010/LOC103653021/LOC103641112"	4
"GO:0016765"	"GO:0016765"	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	"7/219"	"95/8845"	0.00907827957948693	0.128911570028714	0.117858366470532	"LOC541850/LOC542587/LOC100280815/LOC542630/LOC542632/LOC542686/LOC100282978"	7
"GO:0030527"	"GO:0030527"	"structural constituent of chromatin"	"5/219"	"54/8845"	0.0105009740415686	0.135620203860753	0.123991785096314	"LOC103504712/LOC542301/LOC103629234/LOC100501512/LOC103638138"	5
"GO:0030247"	"GO:0030247"	"polysaccharide binding"	"3/219"	"19/8845"	0.0108241477259756	0.135620203860753	0.123991785096314	"LOC100304375/LOC100279755/LOC103641459"	3
"GO:0140825"	"GO:0140825"	"lactoperoxidase activity"	"5/219"	"69/8845"	0.0277609630065716	0.318632195659312	0.291311866552867	"LOC100192603/LOC100191769/LOC103628533/LOC103629160/LOC100191153"	5
"GO:0015293"	"GO:0015293"	"symporter activity"	"4/219"	"48/8845"	0.0304381580248934	0.318632195659312	0.291311866552867	"LOC100274325/LOC100273083/LOC100381982/LOC100279532"	4
"GO:0004601"	"GO:0004601"	"peroxidase activity"	"6/219"	"96/8845"	0.0315706951909177	0.318632195659312	0.291311866552867	"LOC100192603/LOC100191769/LOC103628533/LOC103629160/LOC101027254/LOC100191153"	6
