""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0046906"	"GO:0046906"	"tetrapyrrole binding"	"12/79"	"227/8845"	6.8512800204082e-07	8.42707442510209e-05	7.50034865392056e-05	"LOC100192603/LOC103635519/LOC100281181/LOC542716/LOC542320/LOC100191769/LOC100274473/LOC100284998/LOC100279973/LOC100282512/LOC100274453/LOC100191153"	12
"GO:0016168"	"GO:0016168"	"chlorophyll binding"	"4/79"	"16/8845"	9.88893249584082e-06	0.00060816934849421	0.000541288936614445	"LOC542716/LOC542320/LOC100282512/LOC100274453"	4
"GO:0016705"	"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"9/79"	"185/8845"	3.67767861356862e-05	0.00150784823156313	0.00134203009056539	"LOC103635519/LOC100281181/LOC100274473/LOC100284998/LOC103627438/LOC100279973/LOC100382364/LOC103633147/LOC100283644"	9
"GO:0020037"	"GO:0020037"	"heme binding"	"8/79"	"211/8845"	0.000559967480086392	0.0172190000126566	0.0153254257707855	"LOC100192603/LOC103635519/LOC100281181/LOC100191769/LOC100274473/LOC100284998/LOC100279973/LOC100191153"	8
"GO:0004497"	"GO:0004497"	"monooxygenase activity"	"6/79"	"151/8845"	0.00223550777639068	0.04797943746436	0.0427031364680654	"LOC103635519/LOC100281181/LOC100274473/LOC100284998/LOC100279973/LOC103633147"	6
"GO:0016706"	"GO:0016706"	"2-oxoglutarate-dependent dioxygenase activity"	"3/79"	"30/8845"	0.00234046036411512	0.04797943746436	0.0427031364680654	"LOC103627438/LOC100382364/LOC100283644"	3
"GO:0051213"	"GO:0051213"	"dioxygenase activity"	"4/79"	"67/8845"	0.00295040882975741	0.0518428980085945	0.0461417320744016	"LOC103640631/LOC103627438/LOC100382364/LOC100283644"	4
"GO:0005506"	"GO:0005506"	"iron ion binding"	"6/79"	"165/8845"	0.00347885083359205	0.0534873315664778	0.0476053271965228	"LOC103635519/LOC100281181/LOC100274473/LOC100284998/LOC100279973/LOC542714"	6
"GO:0050660"	"GO:0050660"	"flavin adenine dinucleotide binding"	"4/79"	"83/8845"	0.00635361800202402	0.0868327793609949	0.0772837745275436	"LOC100382402/LOC100382914/LOC103633147/LOC103641262"	4
"GO:0016830"	"GO:0016830"	"carbon-carbon lyase activity"	"4/79"	"87/8845"	0.00749279139028125	0.0921613341004593	0.0820263478515	"LOC100274380/LOC541712/LOC100272845/LOC103633249"	4
"GO:0016762"	"GO:0016762"	"xyloglucan:xyloglucosyl transferase activity"	"2/79"	"17/8845"	0.00982111882089069	0.105541428279425	0.0939350324438186	"LOC100194192/LOC542059"	2
"GO:0016829"	"GO:0016829"	"lyase activity"	"6/79"	"207/8845"	0.0102967247101878	0.105541428279425	0.0939350324438186	"LOC100274380/LOC541712/LOC100272845/LOC100382914/LOC103633249/LOC103641105"	6
"GO:0044183"	"GO:0044183"	"protein folding chaperone"	"3/79"	"53/8845"	0.0116614649852898	0.110335399476204	0.0982018104024407	"LOC100280907/LOC100277775/LOC100196928"	3
"GO:0016614"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH group of donors"	"4/79"	"105/8845"	0.0142695327026017	0.125368037315715	0.111581308351171	"LOC100382402/LOC100285987/A1/LOC100382914"	4
