""	"category"	"subcategory"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"zma00196"	"Metabolism"	"Energy metabolism"	"zma00196"	"Photosynthesis - antenna proteins"	"4/37"	"16/3668"	1.46367878844944e-05	0.000453740424419327	0.0004005857736809	"542716/542320/100282512/100274453"	4
"zma04712"	"Organismal Systems"	"Environmental adaptation"	"zma04712"	"Circadian rhythm - plant"	"4/37"	"37/3668"	0.000456441445646576	0.00707484240752193	0.00624604083516368	"100383277/100272803/100281091/100273598"	4
"zma00710"	"Metabolism"	"Energy metabolism"	"zma00710"	"Carbon fixation in photosynthetic organisms"	"3/37"	"49/3668"	0.012658381691254	0.106069500754524	0.0936437018545885	"100282017/100272845/100282845"	3
"zma00941"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"zma00941"	"Flavonoid biosynthesis"	"2/37"	"18/3668"	0.0136863871941322	0.106069500754524	0.0936437018545885	"100286107/100284998"	2
"zma00940"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"zma00940"	"Phenylpropanoid biosynthesis"	"4/37"	"103/3668"	0.0190198552941209	0.11792310282355	0.104108681609925	"100192603/100191769/100284998/100191153"	4
"zma01200"	"Metabolism"	"Global and overview maps"	"zma01200"	"Carbon metabolism"	"5/37"	"202/3668"	0.0500011167351638	0.25833910313168	0.228075269318291	"100285987/100282017/100272845/100282845/103633249"	5
"zma00630"	"Metabolism"	"Carbohydrate metabolism"	"zma00630"	"Glyoxylate and dicarboxylate metabolism"	"2/37"	"53/3668"	0.0990384860565106	0.410890191234045	0.362755347099666	"100285987/103633249"	2
"zma00950"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"zma00950"	"Isoquinoline alkaloid biosynthesis"	"1/37"	"12/3668"	0.114714673859322	0.410890191234045	0.362755347099666	"100274380"	1
"zma04141"	"Genetic Information Processing"	"Folding, sorting and degradation"	"zma04141"	"Protein processing in endoplasmic reticulum"	"4/37"	"189/3668"	0.120352996782138	0.410890191234045	0.362755347099666	"542723/100280907/100283766/100196928"	4
"zma00945"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"zma00945"	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"	"1/37"	"14/3668"	0.132545222978724	0.410890191234045	0.362755347099666	"100284998"	1
