A0A060CWY7	A0A060CWY7_MAIZE	unreviewed	EREB112	Zea mays (Maize)	Zm00001eb027780	EREB112	103644933	AP2-EREBP transcription factor (Ethylene-responsive transcription factor ERF055) (Fragment)				
A0A060D1Z1	A0A060D1Z1_MAIZE	unreviewed	COL2	Zea mays (Maize)	Zm00001eb054810	COL2	103643889	C2C2-CO-like transcription factor (Fragment)				
A0A060D7E5	A0A060D7E5_MAIZE	unreviewed	GNAT4	Zea mays (Maize)	Zm00001eb060500	GNAT4	103644167	Acyl-CoA N-acyltransferase (NAT) superfamily protein (GNAT transcription factor) (Fragment)				
A0A060D866	A0A060D866_MAIZE	unreviewed	Orphan207	Zea mays (Maize)	Zm00001eb045750	Orphan207		MATH domain containing protein (Orphans transcription factor) (Fragment)				
A0A096QAD0	A0A096QAD0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb107440			Uncharacterized protein				
A0A096RU32	A0A096RU32_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb033930			BURP2				
A0A096UAQ8	A0A096UAQ8_MAIZE	unreviewed	107521950	Zea mays (Maize)	Zm00001eb016390	107521950		Uncharacterized protein				
A0A0A7ENC7	A0A0A7ENC7_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7ENF8	A0A0A7ENF8_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7ENR2	A0A0A7ENR2_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7ENT1	A0A0A7ENT1_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7ENT5	A0A0A7ENT5_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7EQ26	A0A0A7EQ26_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7EQ31	A0A0A7EQ31_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7EQA2	A0A0A7EQA2_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A0A7EQD6	A0A0A7EQD6_MAIZE	unreviewed	WAK	Zea mays (Maize)	Zm00001eb116160	WAK		Wall-associated kinase				
A0A1D6DRB1	A0A1D6DRB1_MAIZE				Zm00001eb031890			Deleted.				
A0A1D6DRE8	A0A1D6DRE8_MAIZE				Zm00001eb031890			Deleted.				
A0A1D6DRF8	A0A1D6DRF8_MAIZE				Zm00001eb031890			Deleted.				
A0A1D6DRF9	A0A1D6DRF9_MAIZE				Zm00001eb031890			Deleted.				
A0A1D6DRI1	A0A1D6DRI1_MAIZE				Zm00001eb031890			Deleted.				
A0A1D6DW38	A0A1D6DW38_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb179400			Insect resistance3				
A0A1D6DW47	A0A1D6DW47_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb068480			Uncharacterized protein				
A0A1D6DXI7	A0A1D6DXI7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb069550			G-type lectin S-receptor-like serine/threonine-protein kinase B120				
A0A1D6DZB1	A0A1D6DZB1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb070630			Auxin responsive protein				
A0A1D6DZB6	A0A1D6DZB6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb070630			Auxin responsive protein				
A0A1D6DZD0	A0A1D6DZD0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb070700			Uncharacterized protein				
A0A1D6DZD4	A0A1D6DZD4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb070720			Leucine-rich repeat transmembrane protein kinase				
A0A1D6DZD5	A0A1D6DZD5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb070720			Leucine-rich repeat transmembrane protein kinase				
A0A1D6DZL8	A0A1D6DZL8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb070880			Putative inactive purple acid phosphatase 16				
A0A1D6E0U7	A0A1D6E0U7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb072060			DUF674 family protein				
A0A1D6E1V8	A0A1D6E1V8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb072870			Protein REVEILLE 1				
A0A1D6E1W0	A0A1D6E1W0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb072870			Protein REVEILLE 1				
A0A1D6E534	A0A1D6E534_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb076210			Peroxidase (EC 1.11.1.7)				
A0A1D6E5E4	A0A1D6E5E4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb076510			Cytochrome P450 family 72 subfamily A polypeptide 8				
A0A1D6E5V9	A0A1D6E5V9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb015410			OSJNBa0089K21.9-like protein				
A0A1D6E5W0	A0A1D6E5W0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb015410			OSJNBa0089K21.9-like protein				
A0A1D6E5W1	A0A1D6E5W1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb015410			OSJNBa0089K21.9-like protein				
A0A1D6E617	A0A1D6E617_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb077330			Wall-associated receptor kinase-like 8				
A0A1D6E6C2	A0A1D6E6C2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb116890			CLIP-associated protein				
A0A1D6E6D5	A0A1D6E6D5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb116890			CLIP-associated protein				
A0A1D6E785	A0A1D6E785_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb078530			CBF1 interacting corepressor				
A0A1D6E7A4	A0A1D6E7A4_MAIZE	unreviewed	103646275	Zea mays (Maize)	Zm00001eb078660	103646275		Uncharacterized protein				
A0A1D6EBT4	A0A1D6EBT4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb191880			Uncharacterized protein				
A0A1D6EC39	A0A1D6EC39_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb084850			Histone superfamily protein				
A0A1D6ECV8	A0A1D6ECV8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb031890			Uncharacterized protein				
A0A1D6EDA7	A0A1D6EDA7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086190			Receptor-like kinase				
A0A1D6EDB0	A0A1D6EDB0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086190			Receptor-like kinase				
A0A1D6EDG5	A0A1D6EDG5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG6	A0A1D6EDG6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG7	A0A1D6EDG7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG8	A0A1D6EDG8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDG9	A0A1D6EDG9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EDH0	A0A1D6EDH0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb086470			Protein arginine N-methyltransferase 1.5				
A0A1D6EEN8	A0A1D6EEN8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb102070			UDP-glycosyltransferase 85A7				
A0A1D6EEU2	A0A1D6EEU2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb087860			Uncharacterized protein				
A0A1D6EEW2	A0A1D6EEW2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb087960			Natterin-4				
A0A1D6EEW6	A0A1D6EEW6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb087970			Uncharacterized protein				
A0A1D6EEX1	A0A1D6EEX1_MAIZE	unreviewed	103646784	Zea mays (Maize)	Zm00001eb088020	103646784		Natterin-4				
A0A1D6EF86	A0A1D6EF86_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb088450			Zinc finger CCCH domain-containing protein 59				
A0A1D6EFR5	A0A1D6EFR5_MAIZE	unreviewed	103646871	Zea mays (Maize)	Zm00001eb089190	103646871		HXXXD-type acyl-transferase family protein				
A0A1D6EFU1	A0A1D6EFU1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb089370			Alpha/beta-Hydrolases superfamily protein				
A0A1D6EGG8	A0A1D6EGG8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Uncharacterized protein				
A0A1D6EGG9	A0A1D6EGG9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Uncharacterized protein				
A0A1D6EGH0	A0A1D6EGH0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb015410			Uncharacterized protein				
A0A1D6EGH1	A0A1D6EGH1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Myb_DNA-bind_3 domain-containing protein				
A0A1D6EGH2	A0A1D6EGH2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb035520			Uncharacterized protein				
A0A1D6EHR5	A0A1D6EHR5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb072110			60S ribosomal protein L3-1				
A0A1D6EKY2	A0A1D6EKY2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb046090			Uncharacterized protein				
A0A1D6EMP9	A0A1D6EMP9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb047650			Cellulose synthase A catalytic subunit 5 [UDP-forming]				
A0A1D6EMW5	A0A1D6EMW5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb047650			Cellulose synthase A catalytic subunit 5 [UDP-forming]				
A0A1D6ENV3	A0A1D6ENV3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb097880			TPX2 (Targeting protein for Xklp2) protein family				
