""	"x"
"1"	"Homo sapiens"
"2"	"Vicugna pacos"
"3"	"Dasypus novemcinctus"
"4"	"Otolemur garnettii"
"5"	"Papio hamadryas"
"6"	"Papio anubis"
"7"	"Felis catus"
"8"	"Pan troglodytes"
"9"	"Bos taurus"
"10"	"Canis familiaris"
"11"	"Tursiops truncatus"
"12"	"Loxodonta africana"
"13"	"Nomascus leucogenys"
"14"	"Gorilla gorilla"
"15"	"Cavia porcellus"
"16"	"Equus caballus"
"17"	"Dipodomys ordii"
"18"	"Trichechus manatus"
"19"	"Callithrix jacchus"
"20"	"Pteropus vampyrus"
"21"	"Myotis lucifugus"
"22"	"Mus musculus"
"23"	"Microcebus murinus"
"24"	"Heterocephalus glaber"
"25"	"Monodelphis domestica"
"26"	"Pongo abelii"
"27"	"Ailuropoda melanoleuca"
"28"	"Sus scrofa"
"29"	"Ochotona princeps"
"30"	"Ornithorhynchus anatinus"
"31"	"Oryctolagus cuniculus"
"32"	"Rattus norvegicus"
"33"	"Macaca mulatta"
"34"	"Procavia capensis"
"35"	"Ovis aries"
"36"	"Sorex araneus"
"37"	"Petromyzon marinus"
"38"	"Anolis carolinensis"
"39"	"Oryzias latipes"
"40"	"Geospiza fortis"
"41"	"Oreochromis niloticus"
"42"	"Chrysemys picta"
"43"	"Gasterosteus aculeatus"
"44"	"Tetraodon nigroviridis"
"45"	"Meleagris gallopavo"
"46"	"Xenopus tropicalis"
"47"	"Taeniopygia guttata"
"48"	"Danio rerio"
"49"	"Ciona intestinalis"
"50"	"Branchiostoma floridae"
"51"	"Strongylocentrotus purpuratus"
"52"	"Apis mellifera"
"53"	"Anopheles gambiae"
"54"	"Drosophila ananassae"
"55"	"Drosophila erecta"
"56"	"Drosophila grimshawi"
"57"	"Drosophila melanogaster"
"58"	"Drosophila mojavensis"
"59"	"Drosophila persimilis"
"60"	"Drosophila pseudoobscura"
"61"	"Drosophila sechellia"
"62"	"Drosophila simulans"
"63"	"Drosophila virilis"
"64"	"Drosophila yakuba"
"65"	"Caenorhabditis brenneri"
"66"	"Caenorhabditis briggsae"
"67"	"Caenorhabditis elegans"
"68"	"Caenorhabditis japonica"
"69"	"Caenorhabditis remanei"
"70"	"Pristionchus pacificus"
"71"	"Aplysia californica"
"72"	"Saccharomyces cerevisiae"
"73"	"Spermophilus tridecemlineatus"
"74"	"Saimiri sciureus"
"75"	"Sarcophilus harrisii"
"76"	"Echinops telfairi"
"77"	"Tupaia belangeri"
"78"	"Macropus eugenii"
"79"	"Ceratotherium simum"
"80"	"Melopsittacus undulatus"
"81"	"Gallus gallus"
"82"	"Latimeria chalumnae"
"83"	"Fugu rubripes"
"84"	"Takifugu rubripes"
"85"	"Tarsius syrichta"
"86"	"Xiphophorus maculatus"
"87"	"Choloepus hoffmanni"
"88"	"Ciona savignyi"
"89"	"Erinaceus europaeus"
"90"	"Gadus morhua"
"91"	"Ictidomys tridecemlineatus"
"92"	"Mustela putorius furo"
"93"	"Pelodiscus sinensis"
"94"	"Anas platyrhynchos"
"95"	"Ficedula albicollis"
"96"	"Astyanax mexicanus"
"97"	"Lepisosteus oculatus"
"98"	"Aedes aegypti"
"99"	"Aquifex aeolicus VF5"
"100"	"Aureococcus anophagefferens"
"101"	"Agaricus bisporus var. burnettii JB137-S8"
"102"	"Ajellomyces capsulatus G186AR"
"103"	"Atta cephalotes"
"104"	"Anopheles darlingi"
"105"	"Auricularia delicata"
"106"	"Acromyrmex echinatior"
"107"	"Ashbya gossypii ATCC 10895"
"108"	"Arthroderma gypseum"
"109"	"Aspergillus kawachii IFO 4308"
"110"	"Brugia malayi"
"111"	"Bombyx mori"
"112"	"Brassica rapa"
"113"	"Bacillus subtilis"
"114"	"Candida albicans"
"115"	"Coprinopsis cinerea okayama7#130"
"116"	"Camponotus floridanus"
"117"	"Crassostrea gigas"
"118"	"[Candida] glabrata CBS 138"
"119"	"Chaetomium globosum CBS 148.51"
"120"	"Cricetulus griseus"
"121"	"Cryptosporidium hominis"
"122"	"Coccidioides immitis"
"123"	"Debaryomyces hansenii"
"124"	"Danaus plexippus"
"125"	"Daphnia pulex"
