Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb000720	CemA-like proton extrusion protein-related/CemA-like proton extrusion protein-related/Chloroplast envelope membrane protein/
Zm00001eb000800	Actin-related protein 4/Actin-related protein 4/Actin-like protein 6A/
Zm00001eb000840	Remorin family protein/Remorin family protein/Remorin/
Zm00001eb000860	AP-2 complex subunit alpha/AP-2 complex subunit alpha/AP-2 complex subunit alpha-2/
Zm00001eb000890	Kinesin-like protein/Kinesin-like protein/Di-glucose binding protein with Kinesin motor domain/Kinesin-like protein KIN-14E/
Zm00001eb000910	Putative RNA-binding protein EIF1AD/Putative RNA-binding protein EIF1AD/Nucleic acid-binding OB-fold-like protein (RNA binding protein)/RNA binding protein/
Zm00001eb000980	Mitochondrial import inner membrane translocase subunit TIM23-3/Mitochondrial import inner membrane translocase subunit TIM23-3/Mitochondrial import inner membrane translocase subunit TIM23-2/
Zm00001eb000990	Early nodulin-like protein 8/Early nodulin-like protein 8/Early nodulin-like protein 1/Phytocyanin domain-containing protein/
Zm00001eb001020	Tetratricopeptide repeat (TPR)-like superfamily protein/Tetratricopeptide repeat (TPR)-like superfamily protein/Pentatricopeptide repeat-containing protein/
Zm00001eb001070	Mitochondrial inner membrane protein OXA1/Mitochondrial inner membrane protein OXA1/Mitochondrial inner membrane protein OXA1-like/
Zm00001eb001110	Fusca-like protein/Fusca-like protein/COP9 signalosome complex subunit 1/
Zm00001eb001170	Peroxisomal membrane protein 11-1/Peroxisomal membrane protein 11-1/Peroxisomal membrane protein PEX11-1 (Peroxisomal membrane protein homolog1)/
Zm00001eb001180	Pyrimidine deaminase1/Pyrimidine deaminase1/Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) (HTP reductase) (Riboflavin-specific deaminase)/Riboflavin biosynthesis protein PYRD, chloroplastic [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); Inactive 5-amino-6-(5-phosphoribosylamino)uracil reductase (HTP reductase)]/
Zm00001eb001190	Xyloglucan endotransglucosylase/hydrolase protein 4/Xyloglucan endotransglucosylase/hydrolase protein 4/Xyloglucan endotransglucosylase/hydrolase protein 5/GH16 domain-containing protein/
Zm00001eb001290	Cyclin-T1-5/Cyclin-T1-5/
Zm00001eb001350	Ataxin-10/Ataxin-10/ARM repeat superfamily protein/
Zm00001eb001440	Pentatricopeptide repeat-containing protein mitochondrial/
Zm00001eb001470	Transcription factor TFIIIC tau55-related protein/Transcription factor TFIIIC tau55-related protein/TFIIIC_sub6 domain-containing protein/
Zm00001eb001530	Heavy metal associated1/Heavy metal associated1/Retrovirus-related Pol polyprotein LINE-1/Heavy metal-associated isoprenylated plant protein 30/Metal ion binding protein/
Zm00001eb001550	ABI3VP1 transcription factor (B3 domain-containing transcription factor NGA2) (Fragment)/ABI3VP1 transcription factor (B3 domain-containing transcription factor NGA2) (Fragment)/B3 domain-containing protein/
Zm00001eb001570	Dicer-like 101 (Dicer-like protein 1)/Dicer-like 101 (Dicer-like protein 1)/Endoribonuclease Dicer 1/
Zm00001eb001600	Putative heme chaperone (Radical S-adenosyl methionine domain-containing protein 1, mitochondrial)/
Zm00001eb001670	MADS-box transcription factor 50/MADS-box transcription factor 50/Agamous-like6 (MADS-box transcription factor 56)/Uncharacterized protein/Agamous-like6/MADS transcription factor/ZAGL1 (Fragment)/
Zm00001eb001710	Protein FIZZY-RELATED 1/Protein FIZZY-RELATED 1/Protein FIZZY-RELATED 2/
Zm00001eb001720	Homeobox protein HD1 (Knotted related homeobox1)/Homeobox protein HD1 (Knotted related homeobox1)/Homeobox protein knotted-1-like 1 (Fragment)/
Zm00001eb001770	Homeobox protein BEL1/Homeobox protein BEL1/BEL1-related homeotic protein 14/BEL1-related homeotic protein 14 (Homeobox-transcription factor 30)/
Zm00001eb001810	Putative receptor-like protein kinase/Putative receptor-like protein kinase/Malectin_like domain-containing protein/ATP binding protein/
Zm00001eb001840	50S ribosomal protein L5, chloroplastic/
Zm00001eb001860	D111/G-patch domain-containing protein/D111/G-patch domain-containing protein/PIN2/TERF1-interacting telomerase inhibitor 1/G-patch domain-containing protein/Nucleic acid binding protein/
