""	"V1"
"Zm00001eb321830"	8.91882902257209e-09
"Zm00001eb419260"	3.05320322019859e-08
"Zm00001eb268740"	4.32786940098168e-08
"Zm00001eb277620"	6.51452941555847e-08
"Zm00001eb200730"	1.06000669034778e-07
"Zm00001eb411380"	1.15620396639224e-07
"Zm00001eb417060"	1.4219365419314e-07
"Zm00001eb113310"	1.46705954924567e-07
"Zm00001eb411540"	1.89854081611496e-07
"Zm00001eb308510"	1.94521173063135e-07
"Zm00001eb213210"	1.95833378254297e-07
"Zm00001eb243650"	1.98812459759016e-07
"Zm00001eb390960"	2.40849108248635e-07
"Zm00001eb343950"	2.70207660332315e-07
"Zm00001eb055490"	2.86009787421387e-07
"Zm00001eb013870"	3.19790871387388e-07
"Zm00001eb011200"	3.99823647870255e-07
"Zm00001eb411000"	5.93577363073771e-07
"Zm00001eb353080"	5.96766835433131e-07
"Zm00001eb063860"	6.62054880429774e-07
"Zm00001eb110340"	6.99515634161032e-07
"Zm00001eb265340"	7.21595639182091e-07
"Zm00001eb090230"	7.93980478175247e-07
"Zm00001eb425090"	8.2049730858223e-07
"Zm00001eb015860"	8.59086748984839e-07
"Zm00001eb024620"	9.66638297558276e-07
"Zm00001eb121740"	9.69045208197532e-07
"Zm00001eb319670"	9.78578749459116e-07
"Zm00001eb093580"	1.02139825429681e-06
"Zm00001eb428590"	1.11585490663399e-06
"Zm00001eb319130"	1.16012229313517e-06
"Zm00001eb400060"	1.16157504456366e-06
"Zm00001eb405910"	1.17326379883002e-06
"Zm00001eb406820"	1.19015848467692e-06
"Zm00001eb411520"	1.199395018152e-06
"Zm00001eb334290"	1.254253364681e-06
"Zm00001eb223850"	1.27209998565377e-06
"Zm00001eb328720"	1.32537943182821e-06
"Zm00001eb060880"	1.3553186522949e-06
"Zm00001eb006010"	1.42098350361035e-06
"Zm00001eb408310"	1.42702842546608e-06
"Zm00001eb304680"	1.49124213046497e-06
"Zm00001eb221740"	1.51000823482939e-06
"Zm00001eb162810"	1.54298337101676e-06
"Zm00001eb089490"	1.60945659815902e-06
"Zm00001eb159530"	1.64461735832813e-06
"Zm00001eb342350"	1.65476726275733e-06
"Zm00001eb121720"	1.69782240096565e-06
"Zm00001eb123280"	1.93728900587673e-06
"Zm00001eb405670"	2.03697055835083e-06
"Zm00001eb188510"	2.0788712041384e-06
"Zm00001eb393760"	2.17095308975231e-06
"Zm00001eb288700"	2.18554739150208e-06
"Zm00001eb277680"	2.38810814484325e-06
"Zm00001eb400890"	2.4419829909534e-06
"Zm00001eb021600"	2.47035262806254e-06
"Zm00001eb408210"	2.47491209952337e-06
"Zm00001eb349530"	2.48821684231524e-06
"Zm00001eb238120"	2.50829135619503e-06
"Zm00001eb335090"	2.91468523400019e-06
"Zm00001eb139960"	2.94227816735309e-06
"Zm00001eb153420"	2.98982891474127e-06
"Zm00001eb220110"	3.20896486627993e-06
"Zm00001eb401360"	3.28370768396214e-06
"Zm00001eb365010"	3.32051507659869e-06
"Zm00001eb255670"	3.32623511001728e-06
"Zm00001eb416170"	3.34080754365549e-06
