""	"V1"
"Zm00001eb178760"	1.12366716041672e-09
"Zm00001eb317960"	1.24584244741943e-09
"Zm00001eb051280"	1.26351972409606e-09
"Zm00001eb216570"	1.35293968459461e-09
"Zm00001eb047740"	2.018091186103e-09
"Zm00001eb210160"	4.09068615496084e-09
"Zm00001eb272340"	4.70182939976506e-09
"Zm00001eb321830"	9.33032602889847e-09
"Zm00001eb273400"	1.42831533960627e-08
"Zm00001eb235080"	1.55624150047435e-08
"Zm00001eb343950"	1.66795811546171e-08
"Zm00001eb223650"	2.00933064436273e-08
"Zm00001eb044280"	2.17375052151046e-08
"Zm00001eb000300"	5.37704815329297e-08
"Zm00001eb200160"	5.42496697489632e-08
"Zm00001eb248660"	5.48282756603728e-08
"Zm00001eb162190"	5.64459991533009e-08
"Zm00001eb059710"	6.38705132719657e-08
"Zm00001eb077780"	6.39558088318894e-08
"Zm00001eb271830"	6.50811651513379e-08
"Zm00001eb411540"	6.68109925910206e-08
"Zm00001eb127170"	6.68319931803689e-08
"Zm00001eb268740"	6.7029330904117e-08
"Zm00001eb267040"	7.40259060003327e-08
"Zm00001eb419260"	7.65540068264005e-08
"Zm00001eb335050"	8.38214345282283e-08
"Zm00001eb004080"	9.50304153314326e-08
"Zm00001eb004890"	1.01586953148763e-07
"Zm00001eb316330"	1.02857060966904e-07
"Zm00001eb395670"	1.02958348311226e-07
"Zm00001eb310430"	1.08525616625238e-07
"Zm00001eb376080"	1.12847925154085e-07
"Zm00001eb356640"	1.19029248425896e-07
"Zm00001eb350060"	1.23036457149937e-07
"Zm00001eb011200"	1.32341247808867e-07
"Zm00001eb293840"	1.3634385944262e-07
"Zm00001eb364840"	1.59685730054779e-07
"Zm00001eb200730"	1.69005708786682e-07
"Zm00001eb090610"	1.82341959207389e-07
"Zm00001eb113310"	1.86917284794444e-07
"Zm00001eb290880"	2.14100337520133e-07
"Zm00001eb089370"	2.18330406428375e-07
"Zm00001eb290230"	2.33883322940662e-07
"Zm00001eb120230"	2.40187985997509e-07
"Zm00001eb357880"	2.61482538727616e-07
"Zm00001eb332200"	2.6618735020933e-07
"Zm00001eb271720"	2.87900263514147e-07
"Zm00001eb277620"	2.9028176726271e-07
"Zm00001eb000310"	2.91976417205143e-07
"Zm00001eb272220"	2.96976800418634e-07
"Zm00001eb162810"	3.0127605518364e-07
"Zm00001eb299840"	3.40260548676267e-07
"Zm00001eb207300"	3.4334044525196e-07
"Zm00001eb357430"	3.49675157433621e-07
"Zm00001eb045190"	3.66894760033136e-07
"Zm00001eb390960"	3.69040184232835e-07
"Zm00001eb246980"	3.79995526464978e-07
"Zm00001eb044100"	3.85255977017725e-07
"Zm00001eb329800"	3.90188073742509e-07
