""	"bwnet_30$colors"
"Zm00001eb267030"	"yellow"
"Zm00001eb078440"	"green"
"Zm00001eb090830"	"red"
"Zm00001eb411380"	"blue"
"Zm00001eb137410"	"red"
"Zm00001eb164750"	"blue"
"Zm00001eb404790"	"purple"
"Zm00001eb137390"	"turquoise"
"Zm00001eb170040"	"grey60"
"Zm00001eb165580"	"brown"
"Zm00001eb169520"	"brown"
"Zm00001eb404780"	"lightcyan"
"Zm00001eb032290"	"turquoise"
"Zm00001eb418460"	"pink"
"Zm00001eb137480"	"red"
"Zm00001eb353970"	"red"
"Zm00001eb003730"	"darkred"
"Zm00001eb164610"	"grey"
"Zm00001eb144960"	"pink"
"Zm00001eb340450"	"turquoise"
"Zm00001eb406100"	"grey"
"Zm00001eb172420"	"sienna3"
"Zm00001eb164860"	"blue"
"Zm00001eb039010"	"turquoise"
"Zm00001eb385900"	"brown"
"Zm00001eb015620"	"green"
"Zm00001eb261430"	"yellow"
"Zm00001eb225230"	"pink"
"Zm00001eb247610"	"orangered4"
"Zm00001eb136490"	"salmon"
"Zm00001eb167690"	"red"
"Zm00001eb303190"	"brown"
"Zm00001eb365710"	"brown"
"Zm00001eb218320"	"darkgreen"
"Zm00001eb252870"	"brown"
"Zm00001eb101770"	"yellow"
"Zm00001eb276860"	"brown"
"Zm00001eb029200"	"turquoise"
"Zm00001eb413630"	"turquoise"
"Zm00001eb039550"	"thistle2"
"Zm00001eb165550"	"red"
"Zm00001eb144240"	"yellow"
"Zm00001eb285210"	"brown"
"Zm00001eb228620"	"red"
"Zm00001eb374090"	"black"
"Zm00001eb057810"	"yellow"
"Zm00001eb240700"	"green"
"Zm00001eb245610"	"turquoise"
"Zm00001eb206040"	"salmon"
"Zm00001eb206930"	"red"
"Zm00001eb229550"	"brown"
"Zm00001eb306030"	"brown"
"Zm00001eb108410"	"brown"
"Zm00001eb356050"	"yellow"
"Zm00001eb370330"	"royalblue"
"Zm00001eb165610"	"blue"
"Zm00001eb247630"	"darkgrey"
"Zm00001eb320800"	"yellow"
"Zm00001eb215710"	"yellow"
"Zm00001eb247590"	"brown"
"Zm00001eb299450"	"turquoise"
"Zm00001eb062180"	"darkgrey"
"Zm00001eb149490"	"red"
"Zm00001eb371200"	"red"
"Zm00001eb377870"	"brown"
"Zm00001eb054230"	"darkgrey"
"Zm00001eb080570"	"brown"
"Zm00001eb327430"	"brown"
"Zm00001eb023820"	"turquoise"
"Zm00001eb213760"	"red"
"Zm00001eb392880"	"skyblue3"
"Zm00001eb272050"	"blue"
"Zm00001eb026940"	"brown"
"Zm00001eb354640"	"turquoise"
"Zm00001eb283110"	"pink"
"Zm00001eb032690"	"blue"
"Zm00001eb013080"	"red"
"Zm00001eb418440"	"black"
"Zm00001eb144760"	"brown"
"Zm00001eb165620"	"yellow"
"Zm00001eb121650"	"yellow"
"Zm00001eb352030"	"brown"
"Zm00001eb091920"	"brown"
"Zm00001eb032380"	"blue"
"Zm00001eb261840"	"brown"
"Zm00001eb129360"	"turquoise"
"Zm00001eb055850"	"orange"
"Zm00001eb312070"	"pink"
"Zm00001eb059930"	"yellow"
"Zm00001eb255240"	"turquoise"
"Zm00001eb304560"	"black"
"Zm00001eb096930"	"green"
"Zm00001eb369350"	"turquoise"
"Zm00001eb326630"	"brown"
"Zm00001eb116960"	"red"
"Zm00001eb393120"	"yellow"
"Zm00001eb013750"	"brown"
"Zm00001eb285230"	"brown"
"Zm00001eb323110"	"yellow"
"Zm00001eb033030"	"green"
"Zm00001eb404800"	"lightcyan"
"Zm00001eb303500"	"grey"
"Zm00001eb375040"	"darkturquoise"
"Zm00001eb411300"	"red"
"Zm00001eb189380"	"brown"
"Zm00001eb285220"	"brown"
"Zm00001eb233070"	"darkgreen"
"Zm00001eb329960"	"grey"
"Zm00001eb303080"	"red"
"Zm00001eb160820"	"pink"
"Zm00001eb101750"	"greenyellow"
"Zm00001eb057230"	"royalblue"
"Zm00001eb095540"	"brown"
"Zm00001eb022710"	"brown"
"Zm00001eb171440"	"red"
"Zm00001eb160340"	"brown"
"Zm00001eb268660"	"black"
"Zm00001eb346150"	"lightcyan"
"Zm00001eb415410"	"red"
"Zm00001eb053700"	"black"
"Zm00001eb249940"	"turquoise"
"Zm00001eb334050"	"cyan"
"Zm00001eb186900"	"brown"
"Zm00001eb103500"	"green"
"Zm00001eb238670"	"blue"
"Zm00001eb294420"	"yellow"
"Zm00001eb277320"	"brown"
"Zm00001eb013430"	"green"
"Zm00001eb062600"	"pink"
"Zm00001eb096070"	"black"
"Zm00001eb236430"	"brown"
"Zm00001eb173410"	"blue"
"Zm00001eb327800"	"pink"
"Zm00001eb109610"	"brown"
"Zm00001eb070400"	"midnightblue"
"Zm00001eb427180"	"brown"
"Zm00001eb126900"	"black"
"Zm00001eb291240"	"brown"
"Zm00001eb137430"	"darkred"
"Zm00001eb170020"	"black"
"Zm00001eb045790"	"red"
"Zm00001eb285450"	"brown"
"Zm00001eb050280"	"darkmagenta"
"Zm00001eb199590"	"pink"
"Zm00001eb424290"	"brown"
"Zm00001eb256020"	"red"
"Zm00001eb385040"	"yellow"
"Zm00001eb306400"	"red"
"Zm00001eb330600"	"magenta"
"Zm00001eb124410"	"brown"
"Zm00001eb219270"	"green"
"Zm00001eb234730"	"darkgreen"
"Zm00001eb316520"	"turquoise"
"Zm00001eb304290"	"green"
"Zm00001eb158190"	"darkmagenta"
"Zm00001eb387920"	"lightcyan"
"Zm00001eb063980"	"turquoise"
"Zm00001eb096680"	"steelblue"
"Zm00001eb298320"	"green"
"Zm00001eb154490"	"turquoise"
"Zm00001eb216260"	"purple"
"Zm00001eb138230"	"brown"
"Zm00001eb332050"	"purple"
"Zm00001eb366710"	"turquoise"
"Zm00001eb057690"	"brown"
"Zm00001eb173220"	"green"
"Zm00001eb372570"	"mediumpurple3"
"Zm00001eb042670"	"yellow"
"Zm00001eb277330"	"blue"
"Zm00001eb296460"	"greenyellow"
"Zm00001eb397500"	"green"
"Zm00001eb052750"	"turquoise"
"Zm00001eb221000"	"purple"
"Zm00001eb068400"	"black"
"Zm00001eb020340"	"greenyellow"
"Zm00001eb393200"	"brown"
"Zm00001eb211010"	"green"
"Zm00001eb034220"	"orange"
"Zm00001eb163700"	"brown"
"Zm00001eb040460"	"grey"
"Zm00001eb229460"	"skyblue"
"Zm00001eb095350"	"black"
"Zm00001eb233450"	"darkgrey"
"Zm00001eb128330"	"blue"
"Zm00001eb190060"	"red"
"Zm00001eb409870"	"turquoise"
"Zm00001eb272920"	"turquoise"
"Zm00001eb169970"	"yellow"
"Zm00001eb070950"	"brown"
"Zm00001eb165590"	"black"
"Zm00001eb184000"	"darkgreen"
"Zm00001eb222570"	"red"
"Zm00001eb285610"	"brown"
"Zm00001eb346210"	"brown"
"Zm00001eb198420"	"brown"
"Zm00001eb136750"	"darkgreen"
"Zm00001eb212470"	"brown"
"Zm00001eb056450"	"red"
"Zm00001eb415630"	"cyan"
"Zm00001eb078210"	"brown"
"Zm00001eb144930"	"pink"
"Zm00001eb133810"	"black"
"Zm00001eb335880"	"thistle2"
"Zm00001eb285890"	"thistle2"
"Zm00001eb215310"	"pink"
"Zm00001eb040570"	"red"
"Zm00001eb194190"	"red"
"Zm00001eb419190"	"magenta"
"Zm00001eb391690"	"salmon"
"Zm00001eb342400"	"brown"
"Zm00001eb214560"	"grey"
"Zm00001eb294160"	"brown"
"Zm00001eb043450"	"pink"
"Zm00001eb185240"	"pink"
"Zm00001eb308350"	"tan"
"Zm00001eb282710"	"brown"
"Zm00001eb417450"	"yellow"
"Zm00001eb130220"	"brown"
"Zm00001eb108120"	"magenta"
"Zm00001eb400820"	"green"
"Zm00001eb213080"	"brown"
"Zm00001eb397180"	"turquoise"
"Zm00001eb226920"	"brown"
"Zm00001eb242260"	"green"
"Zm00001eb417370"	"black"
"Zm00001eb310700"	"brown"
"Zm00001eb267260"	"brown"
"Zm00001eb116010"	"yellow"
"Zm00001eb090730"	"brown"
"Zm00001eb282790"	"brown"
"Zm00001eb129440"	"grey60"
"Zm00001eb340580"	"brown"
"Zm00001eb329250"	"green"
"Zm00001eb010790"	"brown"
"Zm00001eb365200"	"green"
"Zm00001eb340370"	"brown"
"Zm00001eb246370"	"yellow"
"Zm00001eb378000"	"brown"
"Zm00001eb228370"	"pink"
"Zm00001eb247760"	"red"
"Zm00001eb215120"	"purple"
"Zm00001eb376570"	"cyan"
"Zm00001eb219490"	"brown"
"Zm00001eb396730"	"brown"
"Zm00001eb087960"	"purple"
"Zm00001eb313850"	"turquoise"
"Zm00001eb320980"	"brown"
"Zm00001eb344440"	"brown"
"Zm00001eb335620"	"brown"
"Zm00001eb206090"	"green"
"Zm00001eb412370"	"orange"
"Zm00001eb172130"	"brown"
"Zm00001eb020200"	"brown"
"Zm00001eb028980"	"brown"
"Zm00001eb164780"	"tan"
"Zm00001eb301010"	"turquoise"
"Zm00001eb156610"	"red"
"Zm00001eb404830"	"green"
"Zm00001eb402570"	"turquoise"
"Zm00001eb049570"	"brown"
"Zm00001eb038870"	"turquoise"
"Zm00001eb133420"	"turquoise"
"Zm00001eb283450"	"red"
"Zm00001eb066940"	"tan"
"Zm00001eb223980"	"red"
"Zm00001eb016940"	"orange"
"Zm00001eb150420"	"yellow"
"Zm00001eb168910"	"tan"
"Zm00001eb066370"	"darkorange"
"Zm00001eb350390"	"brown"
"Zm00001eb429750"	"turquoise"
"Zm00001eb361700"	"brown"
"Zm00001eb346230"	"brown"
"Zm00001eb109620"	"black"
"Zm00001eb295050"	"floralwhite"
"Zm00001eb306380"	"red"
"Zm00001eb154510"	"yellow"
"Zm00001eb226990"	"brown"
"Zm00001eb211740"	"greenyellow"
"Zm00001eb015200"	"grey"
"Zm00001eb120200"	"yellow"
"Zm00001eb094610"	"turquoise"
"Zm00001eb333970"	"magenta"
"Zm00001eb201570"	"magenta"
"Zm00001eb280740"	"tan"
"Zm00001eb063720"	"brown"
"Zm00001eb330380"	"darkmagenta"
"Zm00001eb137380"	"blue"
"Zm00001eb417480"	"red"
"Zm00001eb289680"	"brown"
"Zm00001eb128730"	"greenyellow"
"Zm00001eb418060"	"tan"
"Zm00001eb281840"	"saddlebrown"
"Zm00001eb429540"	"blue"
"Zm00001eb265900"	"turquoise"
"Zm00001eb330880"	"yellow"
"Zm00001eb232520"	"green"
"Zm00001eb054980"	"red"
"Zm00001eb070840"	"steelblue"
"Zm00001eb398530"	"brown"
"Zm00001eb255600"	"red"
"Zm00001eb106150"	"brown"
"Zm00001eb134090"	"yellow"
"Zm00001eb330470"	"brown"
"Zm00001eb162620"	"yellow"
"Zm00001eb095960"	"brown"
"Zm00001eb060550"	"brown"
"Zm00001eb290370"	"yellow"
"Zm00001eb385410"	"brown"
"Zm00001eb184470"	"red"
"Zm00001eb004420"	"lightyellow"
"Zm00001eb173790"	"brown"
"Zm00001eb199470"	"royalblue"
"Zm00001eb352180"	"red"
"Zm00001eb208540"	"turquoise"
"Zm00001eb419110"	"darkgrey"
"Zm00001eb006020"	"red"
"Zm00001eb375530"	"brown"
"Zm00001eb303110"	"pink"
"Zm00001eb260710"	"blue"
"Zm00001eb199800"	"brown"
"Zm00001eb354140"	"yellow"
"Zm00001eb048710"	"brown"
"Zm00001eb407710"	"green"
"Zm00001eb349240"	"grey"
"Zm00001eb296090"	"purple"
"Zm00001eb148830"	"brown"
"Zm00001eb312560"	"brown"
"Zm00001eb109330"	"brown"
"Zm00001eb023460"	"cyan"
"Zm00001eb229690"	"tan"
"Zm00001eb036930"	"brown"
"Zm00001eb134340"	"lightcyan"
"Zm00001eb233720"	"sienna3"
"Zm00001eb403860"	"black"
"Zm00001eb302810"	"brown"
"Zm00001eb009910"	"lightyellow"
"Zm00001eb111910"	"yellow"
"Zm00001eb179490"	"brown"
"Zm00001eb368990"	"brown"
"Zm00001eb102590"	"darkgreen"
"Zm00001eb426070"	"turquoise"
"Zm00001eb003180"	"brown"
"Zm00001eb067750"	"pink"
"Zm00001eb062510"	"turquoise"
"Zm00001eb015010"	"yellow"
"Zm00001eb094250"	"skyblue3"
"Zm00001eb400310"	"yellow"
"Zm00001eb008550"	"brown"
"Zm00001eb267280"	"brown"
"Zm00001eb194950"	"red"
"Zm00001eb001430"	"green"
"Zm00001eb142220"	"black"
"Zm00001eb360190"	"green"
"Zm00001eb327790"	"brown"
"Zm00001eb125560"	"lightcyan"
"Zm00001eb346100"	"brown"
"Zm00001eb422490"	"brown"
"Zm00001eb359420"	"greenyellow"
"Zm00001eb378030"	"blue"
"Zm00001eb343030"	"black"
"Zm00001eb188600"	"yellow"
"Zm00001eb099980"	"green"
"Zm00001eb356000"	"lightgreen"
"Zm00001eb104220"	"brown"
"Zm00001eb041780"	"pink"
"Zm00001eb403640"	"grey60"
"Zm00001eb116850"	"brown"
"Zm00001eb280790"	"pink"
"Zm00001eb127770"	"yellow"
"Zm00001eb415460"	"brown"
"Zm00001eb056870"	"yellow"
"Zm00001eb260880"	"brown"
"Zm00001eb122860"	"black"
"Zm00001eb054040"	"red"
"Zm00001eb325640"	"black"
"Zm00001eb287610"	"blue"
"Zm00001eb402790"	"brown"
"Zm00001eb189920"	"salmon"
"Zm00001eb131360"	"brown"
"Zm00001eb303010"	"brown"
"Zm00001eb345740"	"green"
"Zm00001eb116280"	"brown"
"Zm00001eb239380"	"yellow"
"Zm00001eb403260"	"red"
"Zm00001eb309660"	"saddlebrown"
"Zm00001eb258770"	"brown"
"Zm00001eb152450"	"darkgrey"
"Zm00001eb227470"	"yellow"
"Zm00001eb289460"	"brown"
"Zm00001eb205270"	"blue"
"Zm00001eb246860"	"pink"
"Zm00001eb387570"	"darkturquoise"
"Zm00001eb363880"	"turquoise"
"Zm00001eb252720"	"brown"
"Zm00001eb303030"	"blue"
"Zm00001eb369150"	"brown"
"Zm00001eb113240"	"blue"
"Zm00001eb325230"	"darkgreen"
"Zm00001eb282450"	"brown"
"Zm00001eb268050"	"magenta"
"Zm00001eb136880"	"pink"
"Zm00001eb208050"	"red"
"Zm00001eb212170"	"brown"
"Zm00001eb034990"	"pink"
"Zm00001eb174930"	"brown"
"Zm00001eb249900"	"yellow"
"Zm00001eb284310"	"brown"
"Zm00001eb143330"	"thistle2"
"Zm00001eb063710"	"turquoise"
"Zm00001eb192630"	"brown"
"Zm00001eb117140"	"magenta"
"Zm00001eb076190"	"turquoise"
"Zm00001eb222320"	"magenta"
"Zm00001eb283440"	"black"
"Zm00001eb304540"	"turquoise"
"Zm00001eb200430"	"darkgreen"
"Zm00001eb049720"	"brown"
"Zm00001eb314490"	"magenta"
"Zm00001eb036530"	"green"
"Zm00001eb012580"	"grey60"
"Zm00001eb291810"	"magenta"
"Zm00001eb327330"	"brown"
"Zm00001eb389540"	"red"
"Zm00001eb389420"	"darkgreen"
"Zm00001eb138410"	"brown"
"Zm00001eb141930"	"black"
"Zm00001eb137240"	"green"
"Zm00001eb219570"	"brown"
"Zm00001eb163250"	"turquoise"
"Zm00001eb157400"	"green"
"Zm00001eb143460"	"lightcyan"
"Zm00001eb149730"	"red"
"Zm00001eb399010"	"brown"
"Zm00001eb149860"	"brown"
"Zm00001eb038370"	"brown"
"Zm00001eb086560"	"grey"
"Zm00001eb105120"	"brown"
"Zm00001eb064120"	"blue"
"Zm00001eb340350"	"red"
"Zm00001eb124390"	"tan"
"Zm00001eb222880"	"pink"
"Zm00001eb062420"	"yellow"
"Zm00001eb023070"	"orange"
"Zm00001eb127430"	"brown"
"Zm00001eb224900"	"brown"
"Zm00001eb253820"	"turquoise"
"Zm00001eb409500"	"brown"
"Zm00001eb385150"	"brown"
"Zm00001eb121880"	"black"
"Zm00001eb312080"	"blue"
"Zm00001eb172230"	"brown"
"Zm00001eb241550"	"turquoise"
"Zm00001eb099930"	"green"
"Zm00001eb116930"	"cyan"
"Zm00001eb202400"	"yellow"
"Zm00001eb421170"	"turquoise"
"Zm00001eb077840"	"red"
"Zm00001eb351330"	"brown"
"Zm00001eb104400"	"darkgrey"
"Zm00001eb231220"	"brown"
"Zm00001eb243040"	"turquoise"
"Zm00001eb373990"	"green"
"Zm00001eb121480"	"brown"
"Zm00001eb091900"	"brown"
"Zm00001eb292930"	"grey"
"Zm00001eb253470"	"green"
"Zm00001eb376740"	"tan"
"Zm00001eb245950"	"blue"
"Zm00001eb085030"	"black"
"Zm00001eb373790"	"brown"
"Zm00001eb107040"	"pink"
"Zm00001eb086050"	"brown"
"Zm00001eb137840"	"lightsteelblue1"
"Zm00001eb219770"	"turquoise"
"Zm00001eb380260"	"blue"
"Zm00001eb177450"	"turquoise"
"Zm00001eb007860"	"brown"
"Zm00001eb056390"	"darkturquoise"
"Zm00001eb203470"	"black"
"Zm00001eb430770"	"green"
"Zm00001eb231250"	"yellow"
"Zm00001eb187010"	"blue"
"Zm00001eb191550"	"brown"
"Zm00001eb047170"	"red"
"Zm00001eb118030"	"red"
"Zm00001eb157850"	"grey60"
"Zm00001eb328760"	"darkgrey"
"Zm00001eb343830"	"brown"
"Zm00001eb224430"	"green"
"Zm00001eb143000"	"plum1"
"Zm00001eb352080"	"blue"
"Zm00001eb028030"	"turquoise"
"Zm00001eb192570"	"darkolivegreen"
"Zm00001eb061820"	"yellow"
"Zm00001eb139130"	"blue"
"Zm00001eb160620"	"yellow"
"Zm00001eb352350"	"yellow"
"Zm00001eb210720"	"brown"
"Zm00001eb203340"	"red"
"Zm00001eb209000"	"red"
"Zm00001eb336090"	"blue"
"Zm00001eb025690"	"green"
"Zm00001eb394540"	"brown"
"Zm00001eb204910"	"brown"
"Zm00001eb376020"	"white"
"Zm00001eb094520"	"tan"
"Zm00001eb153940"	"brown"
"Zm00001eb418910"	"darkgreen"
"Zm00001eb397580"	"turquoise"
"Zm00001eb314220"	"blue"
"Zm00001eb322940"	"brown"
"Zm00001eb020110"	"red"
"Zm00001eb222240"	"brown"
"Zm00001eb409450"	"grey"
"Zm00001eb148000"	"blue"
"Zm00001eb178320"	"purple"
"Zm00001eb238930"	"brown"
"Zm00001eb204260"	"pink"
"Zm00001eb163530"	"red"
"Zm00001eb212030"	"brown"
"Zm00001eb176000"	"brown"
"Zm00001eb368000"	"midnightblue"
"Zm00001eb013900"	"brown"
"Zm00001eb296580"	"brown"
"Zm00001eb095230"	"red"
"Zm00001eb038510"	"turquoise"
"Zm00001eb008610"	"brown"
"Zm00001eb288340"	"yellow"
"Zm00001eb421600"	"green"
"Zm00001eb183420"	"brown"
"Zm00001eb236450"	"yellow"
"Zm00001eb343680"	"yellow"
"Zm00001eb040890"	"grey"
"Zm00001eb265890"	"green"
"Zm00001eb070130"	"brown"
"Zm00001eb359540"	"darkgrey"
"Zm00001eb369750"	"darkgreen"
"Zm00001eb294030"	"black"
"Zm00001eb101990"	"brown"
"Zm00001eb032340"	"blue"
"Zm00001eb121370"	"yellow"
"Zm00001eb413370"	"blue"
"Zm00001eb127460"	"blue"
"Zm00001eb175220"	"brown"
"Zm00001eb295490"	"red"
"Zm00001eb301680"	"green"
"Zm00001eb375180"	"yellow"
"Zm00001eb079220"	"magenta"
"Zm00001eb252830"	"brown"
"Zm00001eb067960"	"white"
"Zm00001eb313690"	"black"
"Zm00001eb046340"	"brown"
"Zm00001eb285090"	"yellow"
"Zm00001eb330550"	"black"
"Zm00001eb246330"	"brown"
"Zm00001eb060250"	"steelblue"
"Zm00001eb394700"	"grey60"
"Zm00001eb252630"	"red"
"Zm00001eb063800"	"yellow"
"Zm00001eb373120"	"black"
"Zm00001eb056930"	"yellow"
"Zm00001eb034130"	"purple"
"Zm00001eb392290"	"brown"
"Zm00001eb400220"	"turquoise"
"Zm00001eb331200"	"orange"
"Zm00001eb269650"	"purple"
"Zm00001eb106680"	"magenta"
"Zm00001eb294990"	"green"
"Zm00001eb390190"	"yellow"
"Zm00001eb202910"	"green"
"Zm00001eb349010"	"yellow"
"Zm00001eb133140"	"brown"
"Zm00001eb240870"	"grey60"
"Zm00001eb211090"	"brown"
"Zm00001eb258730"	"black"
"Zm00001eb078040"	"red"
"Zm00001eb299550"	"black"
"Zm00001eb055550"	"green"
"Zm00001eb013990"	"pink"
"Zm00001eb246350"	"purple"
"Zm00001eb396650"	"brown"
"Zm00001eb364190"	"brown"
"Zm00001eb374670"	"cyan"
"Zm00001eb076120"	"blue"
"Zm00001eb002060"	"yellow"
"Zm00001eb042750"	"blue"
"Zm00001eb055330"	"brown"
"Zm00001eb274110"	"yellow"
"Zm00001eb417240"	"black"
"Zm00001eb015330"	"brown"
"Zm00001eb167340"	"pink"
"Zm00001eb323620"	"grey60"
"Zm00001eb433350"	"brown"
"Zm00001eb038410"	"brown4"
"Zm00001eb125460"	"brown"
"Zm00001eb002620"	"plum2"
"Zm00001eb324390"	"green"
"Zm00001eb393130"	"yellow"
"Zm00001eb332210"	"yellow"
"Zm00001eb007730"	"brown"
"Zm00001eb296060"	"purple"
"Zm00001eb195000"	"sienna3"
"Zm00001eb362020"	"green"
"Zm00001eb041140"	"turquoise"
"Zm00001eb279480"	"brown"
"Zm00001eb323810"	"turquoise"
"Zm00001eb339270"	"brown"
"Zm00001eb239300"	"orangered4"
"Zm00001eb218000"	"black"
"Zm00001eb401700"	"brown"
"Zm00001eb079170"	"white"
"Zm00001eb041200"	"black"
"Zm00001eb235880"	"brown"
"Zm00001eb330530"	"pink"
"Zm00001eb323490"	"blue"
"Zm00001eb139860"	"grey"
"Zm00001eb355240"	"purple"
"Zm00001eb234390"	"turquoise"
"Zm00001eb293540"	"brown"
"Zm00001eb116230"	"yellow"
"Zm00001eb082670"	"yellow"
"Zm00001eb254200"	"turquoise"
"Zm00001eb147170"	"brown"
"Zm00001eb328850"	"saddlebrown"
"Zm00001eb324850"	"blue"
"Zm00001eb024280"	"brown"
"Zm00001eb280120"	"steelblue"
"Zm00001eb000340"	"brown"
"Zm00001eb288200"	"brown"
"Zm00001eb185220"	"green"
"Zm00001eb178190"	"turquoise"
"Zm00001eb258320"	"turquoise"
"Zm00001eb010030"	"salmon"
"Zm00001eb176160"	"green"
"Zm00001eb230780"	"magenta"
"Zm00001eb294870"	"turquoise"
"Zm00001eb272290"	"lightgreen"
"Zm00001eb219320"	"green"
"Zm00001eb233530"	"midnightblue"
"Zm00001eb004660"	"blue"
"Zm00001eb159790"	"brown"
"Zm00001eb013490"	"green"
"Zm00001eb018990"	"brown"
"Zm00001eb207390"	"green"
"Zm00001eb260960"	"brown"
"Zm00001eb124750"	"blue"
"Zm00001eb398860"	"red"
"Zm00001eb296120"	"black"
"Zm00001eb302330"	"cyan"
"Zm00001eb265610"	"purple"
"Zm00001eb137280"	"turquoise"
