""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0042255"	"GO:0042255"	"ribosome assembly"	"1/4"	"28/7535"	0.0147842486521216	0.119990247445805	0.0926240506599194	"LOC100283150"	1
"GO:0042273"	"GO:0042273"	"ribosomal large subunit biogenesis"	"1/4"	"43/7535"	0.0226366200452816	0.119990247445805	0.0926240506599194	"LOC100283150"	1
"GO:0140694"	"GO:0140694"	"non-membrane-bounded organelle assembly"	"1/4"	"48/7535"	0.0252436161981754	0.119990247445805	0.0926240506599194	"LOC100283150"	1
"GO:0070925"	"GO:0070925"	"organelle assembly"	"1/4"	"61/7535"	0.0319973993188812	0.119990247445805	0.0926240506599194	"LOC100283150"	1
"GO:0000398"	"GO:0000398"	"mRNA splicing, via spliceosome"	"1/4"	"106/7535"	0.0551051739662969	0.131135885826805	0.10122770133999	"LOC100282627"	1
"GO:0000375"	"GO:0000375"	"RNA splicing, via transesterification reactions"	"1/4"	"118/7535"	0.0611967467191756	0.131135885826805	0.10122770133999	"LOC100282627"	1
"GO:0000377"	"GO:0000377"	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	"1/4"	"118/7535"	0.0611967467191756	0.131135885826805	0.10122770133999	"LOC100282627"	1
"GO:0008380"	"GO:0008380"	"RNA splicing"	"1/4"	"150/7535"	0.07729697235836	0.138801400899296	0.10714494104507	"LOC100282627"	1
"GO:0042254"	"GO:0042254"	"ribosome biogenesis"	"1/4"	"162/7535"	0.0832808405395775	0.138801400899296	0.10714494104507	"LOC100283150"	1
"GO:0006397"	"GO:0006397"	"mRNA processing"	"1/4"	"203/7535"	0.103506343601373	0.147137607518741	0.113579907558326	"LOC100282627"	1
"GO:0022613"	"GO:0022613"	"ribonucleoprotein complex biogenesis"	"1/4"	"212/7535"	0.10790091218041	0.147137607518741	0.113579907558326	"LOC100283150"	1
"GO:0016071"	"GO:0016071"	"mRNA metabolic process"	"1/4"	"270/7535"	0.135835161478397	0.169793951847997	0.131069015461611	"LOC100282627"	1
"GO:0022607"	"GO:0022607"	"cellular component assembly"	"1/4"	"314/7535"	0.156585019029857	0.180675021957528	0.139468438002302	"LOC100283150"	1
"GO:0006396"	"GO:0006396"	"RNA processing"	"1/4"	"403/7535"	0.197411811158242	0.211512654812402	0.163272926521854	"LOC100282627"	1
"GO:0006996"	"GO:0006996"	"organelle organization"	"1/4"	"498/7535"	0.23933629177375	0.23933629177375	0.184750821720088	"LOC100283150"	1
