""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030163"	"GO:0030163"	"protein catabolic process"	"15/175"	"266/7535"	0.00127711179920295	0.359560687423606	0.35674762372399	"LOC100383088/LOC100281540/LOC103645786/LOC103645857/LOC100286342/LOC100282105/LOC100384140/LOC103627724/LOC100274064/LOC100272769/LOC100282762/LOC101027200/LOC100192952/LOC100283413/LOC103641392"	15
"GO:2000058"	"GO:2000058"	"regulation of ubiquitin-dependent protein catabolic process"	"3/175"	"11/7535"	0.00177111157420852	0.359560687423606	0.35674762372399	"LOC100281540/LOC103645857/LOC100384140"	3
"GO:1903050"	"GO:1903050"	"regulation of proteolysis involved in protein catabolic process"	"3/175"	"12/7535"	0.00232138460726052	0.359560687423606	0.35674762372399	"LOC100281540/LOC103645857/LOC100384140"	3
"GO:0022900"	"GO:0022900"	"electron transport chain"	"5/175"	"41/7535"	0.00242946410421355	0.359560687423606	0.35674762372399	"LOC100193844/LOC103651601/LOC100281924/LOC100281028/LOC100278127"	5
"GO:0009873"	"GO:0009873"	"ethylene-activated signaling pathway"	"4/175"	"32/7535"	0.00608376811526124	0.511262597924679	0.507262677172779	"LOC103649560/LOC100384725/LOC542184/LOC100279803"	4
"GO:0071369"	"GO:0071369"	"cellular response to ethylene stimulus"	"4/175"	"32/7535"	0.00608376811526124	0.511262597924679	0.507262677172779	"LOC103649560/LOC100384725/LOC542184/LOC100279803"	4
"GO:1901565"	"GO:1901565"	"organonitrogen compound catabolic process"	"16/175"	"351/7535"	0.00739845989507704	0.511262597924679	0.507262677172779	"LOC100383088/LOC100281540/LOC103645786/LOC103645857/LOC100286342/LOC100282105/LOC100384140/LOC103627724/LOC100274064/LOC100272769/LOC100282762/LOC101027200/LOC100192952/LOC100283413/LOC103641392/LOC100280624"	16
"GO:0022406"	"GO:0022406"	"membrane docking"	"3/175"	"18/7535"	0.00777257327926032	0.511262597924679	0.507262677172779	"LOC100274236/LOC100192536/LOC103654811"	3
"GO:0140056"	"GO:0140056"	"organelle localization by membrane tethering"	"3/175"	"18/7535"	0.00777257327926032	0.511262597924679	0.507262677172779	"LOC100274236/LOC100192536/LOC103654811"	3
"GO:0009057"	"GO:0009057"	"macromolecule catabolic process"	"17/175"	"402/7535"	0.0118925055635311	0.574560901611469	0.570065759422475	"LOC100383088/LOC100281540/LOC100274182/LOC103645786/LOC103645857/LOC100278146/LOC100286342/LOC100282105/LOC100384140/LOC103627724/LOC100274064/LOC100272769/LOC100282762/LOC101027200/LOC100192952/LOC100283413/LOC103641392"	17
