""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0001101"	"GO:0001101"	"response to acid chemical"	"16/638"	"38/7535"	2.2010758227536e-08	7.43963628090716e-06	6.99710419443775e-06	"LOC100191638/LOC100275005/LOC103652713/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100216961/LOC103638651"	16
"GO:0009414"	"GO:0009414"	"response to water deprivation"	"16/638"	"38/7535"	2.2010758227536e-08	7.43963628090716e-06	6.99710419443775e-06	"LOC100191638/LOC100275005/LOC103652713/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100216961/LOC103638651"	16
"GO:0009415"	"GO:0009415"	"response to water"	"16/638"	"38/7535"	2.2010758227536e-08	7.43963628090716e-06	6.99710419443775e-06	"LOC100191638/LOC100275005/LOC103652713/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100216961/LOC103638651"	16
"GO:1902074"	"GO:1902074"	"response to salt"	"16/638"	"45/7535"	3.63949602672792e-07	9.22612242775529e-05	8.67732473740921e-05	"LOC100191638/LOC100275005/LOC103652713/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100216961/LOC103638651"	16
"GO:0006334"	"GO:0006334"	"nucleosome assembly"	"12/638"	"30/7535"	2.54622661486866e-06	0.000516374757495364	0.000485659223804422	"LOC103650893/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0034728"	"GO:0034728"	"nucleosome organization"	"12/638"	"31/7535"	3.83768958668805e-06	0.00064856954015028	0.000609990660620942	"LOC103650893/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0043604"	"GO:0043604"	"amide biosynthetic process"	"60/638"	"419/7535"	2.78798504926977e-05	0.00403859548565649	0.00379836760096001	"LOC100194334/LOC778439/LOC100272465/LOC100272335/LOC103644298/LOC103644301/LOC100285098/LOC103644306/LOC100191171/LOC542338/LOC103646156/LOC100279265/LOC103647118/LOC542483/LOC100283364/LOC100192743/LOC100284375/eIF4E1/LOC100282969/LOC100283101/LOC100279373/LOC100383039/LOC103654828/LOC103654826/LOC542341/LOC100280675/LOC100272307/LOC100194153/LOC100280393/LOC100284115/LOC100283762/LOC100283221/LOC100216970/LOC100285845/LOC100217177/LOC100283962/LOC103629631/LOC100192550/LOC103629630/LOC100384866/LOC103631917/LOC100381993/LOC100272955/LOC103635636/LOC100279770/LOC100216799/LOC100284384/LOC100194290/LOC100273774/LOC100191814/LOC100273118/LOC103639467/LOC100286214/LOC541989/LOC100273082/LOC103641383/LOC542552/LOC110485086/LOC103642077/LOC100193258"	60
"GO:0043043"	"GO:0043043"	"peptide biosynthetic process"	"55/638"	"380/7535"	4.51463992868404e-05	0.00572230610960702	0.00538192602024703	"LOC100194334/LOC778439/LOC100272465/LOC100272335/LOC103644298/LOC103644301/LOC100285098/LOC103644306/LOC542338/LOC100279265/LOC103647118/LOC100283364/LOC100192743/LOC100284375/eIF4E1/LOC100282969/LOC100283101/LOC100383039/LOC103654828/LOC103654826/LOC542341/LOC100280675/LOC100272307/LOC100194153/LOC100280393/LOC100284115/LOC100283762/LOC100283221/LOC100216970/LOC100285845/LOC100217177/LOC100283962/LOC103629631/LOC100192550/LOC103629630/LOC100384866/LOC103631917/LOC100381993/LOC100272955/LOC103635636/LOC100279770/LOC100284384/LOC100194290/LOC100273774/LOC100191814/LOC100273118/LOC103639467/LOC100286214/LOC541989/LOC100273082/LOC103641383/LOC542552/LOC110485086/LOC103642077/LOC100193258"	55
"GO:0010035"	"GO:0010035"	"response to inorganic substance"	"21/638"	"98/7535"	5.42272403966178e-05	0.00610960241801894	0.00574618477185214	"LOC100191638/LOC100275005/LOC103652713/LOC103654949/LOC100285409/LOC103627774/LOC100216789/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010/LOC100282686/LOC100216961/LOC103638651"	21
"GO:0006412"	"GO:0006412"	"translation"	"54/638"	"377/7535"	7.06715134699722e-05	0.00716609146585518	0.00673983065303104	"LOC100194334/LOC100272465/LOC100272335/LOC103644298/LOC103644301/LOC100285098/LOC103644306/LOC542338/LOC100279265/LOC103647118/LOC100283364/LOC100192743/LOC100284375/eIF4E1/LOC100282969/LOC100283101/LOC100383039/LOC103654828/LOC103654826/LOC542341/LOC100280675/LOC100272307/LOC100194153/LOC100280393/LOC100284115/LOC100283762/LOC100283221/LOC100216970/LOC100285845/LOC100217177/LOC100283962/LOC103629631/LOC100192550/LOC103629630/LOC100384866/LOC103631917/LOC100381993/LOC100272955/LOC103635636/LOC100279770/LOC100284384/LOC100194290/LOC100273774/LOC100191814/LOC100273118/LOC103639467/LOC100286214/LOC541989/LOC100273082/LOC103641383/LOC542552/LOC110485086/LOC103642077/LOC100193258"	54
