""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0000786"	"GO:0000786"	"nucleosome"	"9/458"	"60/7601"	0.00917979570888738	0.999672550613385	0.999672550613385	"LOC100381287/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC542301/LOC100501512/LOC103639304"	9
"GO:0048046"	"GO:0048046"	"apoplast"	"9/458"	"70/7601"	0.0238222419590064	0.999672550613385	0.999672550613385	"LOC100279948/LOC100273345/LOC100383352/LOC732847/LOC100281551/LOC103652771/LOC103653021/LOC103654365/LOC100382329"	9
"GO:0032993"	"GO:0032993"	"protein-DNA complex"	"14/458"	"136/7601"	0.0341011007896173	0.999672550613385	0.999672550613385	"LOC100381287/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC542301/LOC100279309/LOC100285013/LOC100280249/LOC100501512/LOC100285101/LOC103639304/LOC100277005"	14
"GO:0005789"	"GO:0005789"	"endoplasmic reticulum membrane"	"19/458"	"213/7601"	0.0549591395247829	0.999672550613385	0.999672550613385	"LOC100277047/LOC100276771/LOC100382332/LOC100274548/LOC542766/LOC100281987/LOC100284871/LOC606471/LOC100193935/LOC100282213/LOC100303994/LOC100284518/LOC100383128/LOC100280873/LOC100192626/LOC100272628/LOC100276971/LOC100192727/LOC100281693"	19
"GO:0098827"	"GO:0098827"	"endoplasmic reticulum subcompartment"	"19/458"	"214/7601"	0.0570972352402191	0.999672550613385	0.999672550613385	"LOC100277047/LOC100276771/LOC100382332/LOC100274548/LOC542766/LOC100281987/LOC100284871/LOC606471/LOC100193935/LOC100282213/LOC100303994/LOC100284518/LOC100383128/LOC100280873/LOC100192626/LOC100272628/LOC100276971/LOC100192727/LOC100281693"	19
"GO:0042175"	"GO:0042175"	"nuclear outer membrane-endoplasmic reticulum membrane network"	"19/458"	"217/7601"	0.0638595128041893	0.999672550613385	0.999672550613385	"LOC100277047/LOC100276771/LOC100382332/LOC100274548/LOC542766/LOC100281987/LOC100284871/LOC606471/LOC100193935/LOC100282213/LOC100303994/LOC100284518/LOC100383128/LOC100280873/LOC100192626/LOC100272628/LOC100276971/LOC100192727/LOC100281693"	19
"GO:0000785"	"GO:0000785"	"chromatin"	"11/458"	"114/7601"	0.0814064746909783	0.999672550613385	0.999672550613385	"LOC100381287/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC542301/LOC100279309/LOC100501512/LOC103639304/LOC100277005"	11
"GO:0031984"	"GO:0031984"	"organelle subcompartment"	"21/458"	"254/7601"	0.0860409391436227	0.999672550613385	0.999672550613385	"LOC100277047/LOC100276771/LOC100382332/LOC100285854/LOC100274548/LOC542766/LOC100281987/LOC100284871/LOC606471/LOC100193935/LOC100282213/LOC100303994/LOC100501660/LOC100284518/LOC100383128/LOC100280873/LOC100192626/LOC100272628/LOC100276971/LOC100192727/LOC100281693"	21
"GO:0005811"	"GO:0005811"	"lipid droplet"	"2/458"	"10/7601"	0.118329539622601	0.999672550613385	0.999672550613385	"LOC103654534/LOC101027254"	2
"GO:0000315"	"GO:0000315"	"organellar large ribosomal subunit"	"2/458"	"11/7601"	0.139082676827301	0.999672550613385	0.999672550613385	"LOC100282289/LOC100272832"	2
"GO:0005732"	"GO:0005732"	"sno(s)RNA-containing ribonucleoprotein complex"	"2/458"	"11/7601"	0.139082676827301	0.999672550613385	0.999672550613385	"LOC100193822/LOC100274475"	2
"GO:0005762"	"GO:0005762"	"mitochondrial large ribosomal subunit"	"2/458"	"11/7601"	0.139082676827301	0.999672550613385	0.999672550613385	"LOC100282289/LOC100272832"	2
