""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0004180"	"GO:0004180"	"carboxypeptidase activity"	"7/519"	"25/8650"	0.000500280064196915	0.126128937569316	0.126128937569316	"LOC100280301/VP8/LOC100284785/LOC100279206/LOC103630156/LOC100281514/LOC103636028"	7
"GO:0005506"	"GO:0005506"	"iron ion binding"	"21/519"	"162/8650"	0.00065863674970922	0.126128937569316	0.126128937569316	"LOC100216585/LOC100272649/LOC100383082/LOC100382969/LOC103644296/LOC100194166/LOC100281181/LOC100272916/LOC100192044/LOC100273258/LOC542766/LOC100284871/LOC103626026/LOC100273589/LOC100193935/LOC100303994/LOC103636106/LOC100273463/LOC100273421/LOC103639066/LOC100281693"	21
"GO:0008238"	"GO:0008238"	"exopeptidase activity"	"8/519"	"41/8650"	0.00261771014853828	0.334194328963387	0.334194328963387	"LOC100280301/VP8/LOC100284785/LOC100279206/LOC103630156/LOC100272740/LOC100281514/LOC103636028"	8
"GO:0030527"	"GO:0030527"	"structural constituent of chromatin"	"9/519"	"54/8650"	0.00443584728651026	0.424732377683357	0.424732377683357	"LOC100381287/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC542301/LOC100501512/LOC103639304"	9
"GO:0004185"	"GO:0004185"	"serine-type carboxypeptidase activity"	"5/519"	"20/8650"	0.00556859983723925	0.426554747532526	0.426554747532526	"LOC100280301/LOC100284785/LOC100279206/LOC103630156/LOC100281514"	5
"GO:0070008"	"GO:0070008"	"serine-type exopeptidase activity"	"5/519"	"21/8650"	0.00695485079318616	0.44395130896505	0.44395130896505	"LOC100280301/LOC100284785/LOC100279206/LOC103630156/LOC100281514"	5
"GO:0016705"	"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"19/519"	"182/8650"	0.0127960710306122	0.47855349220623	0.47855349220623	"LOC100383082/LOC100382969/LOC103644296/LOC100194166/LOC100281181/LOC100272916/LOC100283420/LOC100192044/LOC100273258/LOC542766/LOC100284871/LOC103626026/LOC100273589/LOC100193935/LOC100303994/LOC103636106/LOC100273463/LOC103639066/LOC103641391"	19
"GO:0046982"	"GO:0046982"	"protein heterodimerization activity"	"10/519"	"76/8650"	0.0148726549837742	0.47855349220623	0.47855349220623	"LOC100381287/LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC542301/LOC100501512/LOC100217109/LOC103639304"	10
"GO:0051213"	"GO:0051213"	"dioxygenase activity"	"9/519"	"65/8650"	0.0149040305341247	0.47855349220623	0.47855349220623	"LOC100216585/LOC100501454/LOC100284871/LOC100193935/LOC100303994/LOC101027254/LOC103639745/LOC103641391/LOC100272887"	9
"GO:0030246"	"GO:0030246"	"carbohydrate binding"	"13/519"	"111/8650"	0.0152499192496743	0.47855349220623	0.47855349220623	"LOC100279948/LOC100280296/LOC103647311/LOC100383352/LOC100191478/LOC100284871/LOC100193935/LOC100303994/LOC100382142/LOC100281592/LOC100279755/LOC103635727/LOC100276682"	13
"GO:0004497"	"GO:0004497"	"monooxygenase activity"	"16/519"	"148/8650"	0.0157247679635204	0.47855349220623	0.47855349220623	"LOC100383082/LOC100382969/LOC103644296/LOC100194166/LOC100281181/LOC100272916/LOC100283420/LOC100192044/LOC100273258/LOC542766/LOC103626026/LOC100273589/LOC103636106/LOC100273463/LOC100273421/LOC103639066"	16
"GO:1990538"	"GO:1990538"	"xylan O-acetyltransferase activity"	"5/519"	"26/8650"	0.0175637734804291	0.47855349220623	0.47855349220623	"LOC100272706/LOC103651417/LOC103651681/LOC103639219/LOC100274457"	5
"GO:0031418"	"GO:0031418"	"L-ascorbic acid binding"	"3/519"	"10/8650"	0.0187668866343077	0.47855349220623	0.47855349220623	"LOC100284871/LOC100193935/LOC100303994"	3
"GO:0052689"	"GO:0052689"	"carboxylic ester hydrolase activity"	"8/519"	"57/8650"	0.019595268201648	0.47855349220623	0.47855349220623	"LOC103643154/LOC100285593/LOC100284984/LOC100273985/LOC100285416/LOC100281887/LOC103630687/LOC103633411"	8
"GO:0035251"	"GO:0035251"	"UDP-glucosyltransferase activity"	"9/519"	"68/8650"	0.0196239450749273	0.47855349220623	0.47855349220623	"LOC100382376/LOC100194073/LOC103653257/LOC100278478/LOC103627455/LOC103632152/LOC100383406/LOC103641257/LOC103642134"	9
"GO:0048029"	"GO:0048029"	"monosaccharide binding"	"4/519"	"18/8650"	0.0199917907971271	0.47855349220623	0.47855349220623	"LOC100284871/LOC100193935/LOC100303994/LOC100281592"	4
"GO:0016413"	"GO:0016413"	"O-acetyltransferase activity"	"5/519"	"30/8650"	0.0312813378581967	0.669494620882272	0.669494620882272	"LOC100272706/LOC103651417/LOC103651681/LOC103639219/LOC100274457"	5
"GO:1901681"	"GO:1901681"	"sulfur compound binding"	"3/519"	"12/8650"	0.031464499153736	0.669494620882272	0.669494620882272	"LOC100272649/LOC100274428/LOC542651"	3
"GO:0020037"	"GO:0020037"	"heme binding"	"19/519"	"204/8650"	0.0370847472046599	0.747550430493934	0.747550430493934	"LOC100383082/LOC100285875/LOC100382969/LOC103644296/LOC100194166/LOC100281181/LOC100272916/PER66/LOC100282124/LOC100192044/LOC100273258/LOC103626026/LOC100273589/LOC103629160/LOC101027254/LOC103636106/LOC100273463/LOC103639066/LOC103639570"	19
"GO:0031406"	"GO:0031406"	"carboxylic acid binding"	"6/519"	"46/8650"	0.0553383895782157	0.913980227127461	0.913980227127461	"LOC103646003/LOC100383590/LOC100284871/LOC100193935/LOC100303994/LOC103642008"	6
"GO:0043177"	"GO:0043177"	"organic acid binding"	"6/519"	"46/8650"	0.0553383895782157	0.913980227127461	0.913980227127461	"LOC103646003/LOC100383590/LOC100284871/LOC100193935/LOC100303994/LOC103642008"	6
"GO:0016840"	"GO:0016840"	"carbon-nitrogen lyase activity"	"3/519"	"15/8650"	0.0569763187229542	0.913980227127461	0.913980227127461	"LOC100383127/LOC100280630/LOC103636435"	3
"GO:0008374"	"GO:0008374"	"O-acyltransferase activity"	"7/519"	"58/8650"	0.0572231435050743	0.913980227127461	0.913980227127461	"LOC103631765/LOC100272706/LOC103651417/LOC103651681/LOC103655222/LOC103639219/LOC100274457"	7
"GO:0000287"	"GO:0000287"	"magnesium ion binding"	"8/519"	"70/8650"	0.057272912404854	0.913980227127461	0.913980227127461	"LOC100217128/LOC100284187/LOC103629258/LOC100281175/LOC542651/LOC100279628/LOC100282774/LOC100282768"	8
