""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0006334"	"GO:0006334"	"nucleosome assembly"	"12/47"	"30/7535"	6.03325963024939e-20	1.32318776830294e-17	1.26902218714434e-17	"LOC541871/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0034728"	"GO:0034728"	"nucleosome organization"	"12/47"	"31/7535"	9.80139087631804e-20	1.32318776830294e-17	1.26902218714434e-17	"LOC541871/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0065004"	"GO:0065004"	"protein-DNA complex assembly"	"12/47"	"47/7535"	3.38697659646291e-17	3.04827893681662e-15	2.92349558852588e-15	"LOC541871/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0001101"	"GO:0001101"	"response to acid chemical"	"11/47"	"38/7535"	1.6833161583563e-16	7.57492271260335e-15	7.26483815711666e-15	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0009414"	"GO:0009414"	"response to water deprivation"	"11/47"	"38/7535"	1.6833161583563e-16	7.57492271260335e-15	7.26483815711666e-15	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0009415"	"GO:0009415"	"response to water"	"11/47"	"38/7535"	1.6833161583563e-16	7.57492271260335e-15	7.26483815711666e-15	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:1902074"	"GO:1902074"	"response to salt"	"11/47"	"45/7535"	1.37681469523123e-15	5.31057096732047e-14	5.09317917333659e-14	"LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	11
"GO:0010035"	"GO:0010035"	"response to inorganic substance"	"13/47"	"98/7535"	1.31603490556752e-14	4.44161780629037e-13	4.25979719433697e-13	"LOC100284772/LOC542723/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	13
"GO:0006338"	"GO:0006338"	"chromatin remodeling"	"12/47"	"77/7535"	2.09227228669722e-14	6.27681686009167e-13	6.01987114067271e-13	"LOC541871/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	12
"GO:0006325"	"GO:0006325"	"chromatin organization"	"13/47"	"108/7535"	4.83354865998298e-14	1.3050581381954e-12	1.2516347056377e-12	"LOC541871/LOC103650830/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	13
"GO:0071824"	"GO:0071824"	"protein-DNA complex organization"	"13/47"	"126/7535"	3.71232750149979e-13	9.11207659459039e-12	8.7390676111861e-12	"LOC541871/LOC103650830/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	13
"GO:1901700"	"GO:1901700"	"response to oxygen-containing compound"	"14/47"	"230/7535"	5.74338857779431e-11	1.29226243000372e-09	1.23936279836614e-09	"LOC100284772/LOC542723/LOC100285725/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	14
"GO:0065003"	"GO:0065003"	"protein-containing complex assembly"	"14/47"	"248/7535"	1.57547470241214e-10	3.2721397665483e-09	3.13819252464281e-09	"LOC541871/LOC100284772/LOC542723/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	14
