""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030527"	"GO:0030527"	"structural constituent of chromatin"	"19/51"	"54/8650"	1.53470153219512e-30	9.36167934639024e-29	9.04666166346598e-29	"LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC103636448/LOC100273030/LOC100192792/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	19
"GO:0046982"	"GO:0046982"	"protein heterodimerization activity"	"19/51"	"76/8650"	2.95632184229554e-27	9.01678161900141e-26	8.71336964045002e-26	"LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC103636448/LOC100273030/LOC100192792/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	19
"GO:0046983"	"GO:0046983"	"protein dimerization activity"	"19/51"	"222/8650"	6.49903056818192e-18	1.32146954886366e-16	1.27700249760768e-16	"LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC103636448/LOC100273030/LOC100192792/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	19
"GO:0005198"	"GO:0005198"	"structural molecule activity"	"20/51"	"353/8650"	2.35396418057934e-15	3.58979537538349e-14	3.46899984506428e-14	"LOC100192589/LOC103638044/LOC103646477/LOC103653610/LOC103641629/LOC103636448/LOC100273030/LOC103633145/LOC100192792/LOC100278340/LOC100192931/LOC100282268/LOC103636523/LOC103646028/LOC103649716/LOC103634846/LOC103651039/LOC103646024/LOC103635780/LOC103631010"	20
"GO:0043621"	"GO:0043621"	"protein self-association"	"2/51"	"24/8650"	0.00865878339109132	0.105637157371314	0.10208249892655	"LOC100284772/LOC542723"	2
"GO:0031491"	"GO:0031491"	"nucleosome binding"	"1/51"	"11/8650"	0.0630123529739299	0.471068892474399	0.455217566498125	"LOC541871"	1
"GO:0005516"	"GO:0005516"	"calmodulin binding"	"2/51"	"72/8650"	0.0670897255638361	0.471068892474399	0.455217566498125	"LOC103627307/LOC100286374"	2
"GO:0032451"	"GO:0032451"	"demethylase activity"	"1/51"	"13/8650"	0.0740432748948181	0.471068892474399	0.455217566498125	"LOC103635534"	1
"GO:0051082"	"GO:0051082"	"unfolded protein binding"	"2/51"	"78/8650"	0.0771045547232988	0.471068892474399	0.455217566498125	"LOC100284772/LOC542723"	2
"GO:0031490"	"GO:0031490"	"chromatin DNA binding"	"1/51"	"14/8650"	0.0795108901524734	0.471068892474399	0.455217566498125	"LOC541871"	1
