""	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0008540"	"GO:0008540"	"proteasome regulatory particle, base subcomplex"	"4/283"	"10/7601"	0.000330753178591083	0.0438478246959099	0.0438478246959099	"LOC100274445/LOC103654920/LOC100273032/LOC100274559"	4
"GO:0005838"	"GO:0005838"	"proteasome regulatory particle"	"5/283"	"21/7601"	0.000859761268547252	0.0438478246959099	0.0438478246959099	"LOC100192879/LOC100274445/LOC103654920/LOC100273032/LOC100274559"	5
"GO:0022624"	"GO:0022624"	"proteasome accessory complex"	"5/283"	"21/7601"	0.000859761268547252	0.0438478246959099	0.0438478246959099	"LOC100192879/LOC100274445/LOC103654920/LOC100273032/LOC100274559"	5
"GO:0140513"	"GO:0140513"	"nuclear protein-containing complex"	"20/283"	"317/7601"	0.0143987107370271	0.550750685691286	0.550750685691286	"LOC100283795/LOC100193549/LOC100282469/LOC103641415/LOC100193607/LOC100273578/LOC100381696/LOC103651371/LOC100383373/LOC100283126/LOC100279564/LOC100304237/LOC100217154/LOC100193550/LOC100502261/LOC103632089/LOC103633122/LOC100216910/LOC100282560/LOC100273602"	20
"GO:0000145"	"GO:0000145"	"exocyst"	"3/283"	"17/7601"	0.0235757143044781	0.721416857717029	0.721416857717029	"LOC100281659/LOC100191392/LOC103626750"	3
"GO:0005794"	"GO:0005794"	"Golgi apparatus"	"22/283"	"400/7601"	0.0422118722425351	0.994954863308199	0.994954863308199	"LOC100193072/LOC100192955/LOC103504716/LOC100384139/LOC100191606/LOC100285211/LOC103646881/LOC100191567/LOC103649736/LOC100382048/LOC100279736/LOC100283241/LOC100193900/LOC100193644/LOC100194243/LOC103632856/LOC103633466/LOC100285918/LOC103636521/LOC103638767/LOC100275960/LOC100382003"	22
"GO:0016592"	"GO:0016592"	"mediator complex"	"3/283"	"23/7601"	0.0521734956766029	0.994954863308199	0.994954863308199	"LOC100193607/LOC100217154/LOC103633122"	3
"GO:0000502"	"GO:0000502"	"proteasome complex"	"5/283"	"56/7601"	0.0564013005283195	0.994954863308199	0.994954863308199	"LOC100192879/LOC100274445/LOC103654920/LOC100273032/LOC100274559"	5
"GO:0005938"	"GO:0005938"	"cell cortex"	"3/283"	"26/7601"	0.0706608467182242	0.994954863308199	0.994954863308199	"LOC100281659/LOC100191392/LOC103626750"	3
"GO:1905369"	"GO:1905369"	"endopeptidase complex"	"5/283"	"61/7601"	0.0758435849915221	0.994954863308199	0.994954863308199	"LOC100192879/LOC100274445/LOC103654920/LOC100273032/LOC100274559"	5
"GO:0032993"	"GO:0032993"	"protein-DNA complex"	"8/283"	"136/7601"	0.134218399823356	0.994954863308199	0.994954863308199	"LOC542124/LOC103653535/LOC100383373/LOC103625810/LOC542385/LOC103632089/LOC103638138/LOC100273602"	8
"GO:0099023"	"GO:0099023"	"vesicle tethering complex"	"3/283"	"35/7601"	0.140098304813084	0.994954863308199	0.994954863308199	"LOC100281659/LOC100191392/LOC103626750"	3
"GO:0005759"	"GO:0005759"	"mitochondrial matrix"	"4/283"	"57/7601"	0.161682446764521	0.994954863308199	0.994954863308199	"LOC100273495/LOC542547/LOC100193944/LOC103640662"	4
"GO:0005635"	"GO:0005635"	"nuclear envelope"	"3/283"	"38/7601"	0.166946672511509	0.994954863308199	0.994954863308199	"LOC100193503/LOC100193549/LOC100216910"	3
"GO:1905368"	"GO:1905368"	"peptidase complex"	"5/283"	"79/7601"	0.170668175090272	0.994954863308199	0.994954863308199	"LOC100192879/LOC100274445/LOC103654920/LOC100273032/LOC100274559"	5
"GO:0000786"	"GO:0000786"	"nucleosome"	"4/283"	"60/7601"	0.18376918206556	0.994954863308199	0.994954863308199	"LOC542124/LOC103625810/LOC542385/LOC103638138"	4
"GO:0098791"	"GO:0098791"	"Golgi apparatus subcompartment"	"3/283"	"40/7601"	0.185615063993712	0.994954863308199	0.994954863308199	"LOC100192955/LOC100384139/LOC103632856"	3
"GO:1904949"	"GO:1904949"	"ATPase complex"	"3/283"	"41/7601"	0.195147226986116	0.994954863308199	0.994954863308199	"LOC100280656/LOC103632089/LOC100273417"	3
"GO:0098687"	"GO:0098687"	"chromosomal region"	"2/283"	"22/7601"	0.196669778274579	0.994954863308199	0.994954863308199	"LOC542124/LOC100273602"	2
"GO:0005643"	"GO:0005643"	"nuclear pore"	"2/283"	"23/7601"	0.210431328998195	0.994954863308199	0.994954863308199	"LOC100193549/LOC100216910"	2
"GO:0005802"	"GO:0005802"	"trans-Golgi network"	"2/283"	"23/7601"	0.210431328998195	0.994954863308199	0.994954863308199	"LOC100192955/LOC100384139"	2
