	bwnet_20$colors		ensembl_id	uniprot_function
Zm00001eb000060	turquoise		Zm00001eb000070	Uncharacterized protein/
Zm00001eb000070	brown		Zm00001eb000080	Granule-bound starch synthase 1/1b chloroplastic/amyloplastic/
Zm00001eb000080	salmon		Zm00001eb000170	"Uncharacterized protein, MSC domain-containing protein/"
Zm00001eb000120	brown		Zm00001eb000210	"Plasma membrane ATPase 1 (EC 7.1.2.1), ATPase 7 plasma membrane-type/"
Zm00001eb000170	brown		Zm00001eb000220	"DeSI-like protein, PPPDE domain-containing protein, EREBP-4 like protein/"
Zm00001eb000210	green		Zm00001eb000230	Alpha/beta-Hydrolases superfamily protein/
Zm00001eb000220	turquoise		Zm00001eb000310	"Chaperone protein ClpB2, chloroplastic/Phosphopyruvate hydratase (EC 4.2.1.11)/Putative diaminopimelate epimerase, chloroplastic/"
Zm00001eb000230	tan		Zm00001eb000320	2-haloacrylate reductase/GroES-like zinc-binding alcohol dehydrogenase family protein/
Zm00001eb000270	turquoise		Zm00001eb000370	Beta expansin2/4/8 (Beta-expansin 1a)/
Zm00001eb000300	turquoise		Zm00001eb000400	Flavin-containing monooxygenase (EC 1.-.-.-)/
Zm00001eb000310	turquoise		Zm00001eb000450	Proline-rich protein DC2.15/Cortical cell-delineating protein/
Zm00001eb000320	tan		Zm00001eb000480	Signal recognition particle protein subunit 9/alpha/
Zm00001eb000370	cyan		Zm00001eb000490	Tubulin beta-4/1 chain/ Beta tubulin1/
Zm00001eb000400	brown		Zm00001eb000520	"Polymerase II transcription-mediator1/2 -Mediator of RNA polymerase II transcription subunit 12, Med12a (Fragment)/"
Zm00001eb000450	pink		Zm00001eb000540	Protein PAIR1/
Zm00001eb000480	pink		Zm00001eb000550	SKP1-like protein 21/20/
Zm00001eb000490	blue		Zm00001eb000560	ABC transporter G family member 40/
Zm00001eb000520	green		Zm00001eb000590	Myosin heavy chain-related protein/
Zm00001eb000540	green		Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb000550	brown		Zm00001eb000720	CemA-like proton extrusion protein-related/CemA-like proton extrusion protein-related/Chloroplast envelope membrane protein/
Zm00001eb000560	brown		Zm00001eb000770	Uncharacterized protein/
