Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Zm00001eb000010	-	chr1	+	34617	40204	0.127801	1.177102	1.086655
MSTRG.4	-	chr1	-	41214	46762	1.168174	14.950745	13.801951
Zm00001eb000060	-	chr1	-	188559	189581	1.762940	16.237432	14.989773
Zm00001eb000080	-	chr1	-	200262	203393	0.328539	3.025985	2.793473
MSTRG.16	-	chr1	+	679957	680801	0.843428	7.768333	7.171426
MSTRG.17	-	chr1	-	679957	708016	0.590264	5.844330	5.395260
MSTRG.6	-	chr1	+	1003108	1014318	0.229726	2.127535	1.964059
MSTRG.1	-	chr1	+	1018151	1020839	1.782309	21.432224	19.785404
MSTRG.8	-	chr1	+	1022421	1026593	1.217842	14.790778	13.654277
MSTRG.9	-	chr1	-	1025166	1028066	0.000000	0.000000	0.000000
Zm00001eb000270	-	chr1	-	1060487	1063436	0.000000	0.000000	0.000000
MSTRG.5	-	chr1	-	1198348	1200495	0.000000	0.000000	0.000000
Zm00001eb000310	-	chr1	-	1201797	1210068	0.000000	0.000000	0.000000
MSTRG.2	-	chr1	-	1217679	1222212	4.616793	48.803402	45.053425
Zm00001eb000330	-	chr1	-	1222255	1227093	0.078029	0.718681	0.663458
MSTRG.30	-	chr1	+	1483183	1523873	1.581703	19.852783	18.327326
MSTRG.25	-	chr1	-	1601134	1602423	3.548198	32.680420	30.169308
MSTRG.43	-	chr1	+	1706577	1707999	1.586788	14.614998	13.492002
Zm00001eb000420	-	chr1	-	1832425	1834566	0.684809	6.307384	5.822734
MSTRG.11	-	chr1	-	1932708	1933552	16.343195	150.527817	138.961487
Zm00001eb000460	-	chr1	-	2009997	2012200	0.059211	0.545359	0.503454
Zm00001eb000470	-	chr1	+	2010318	2012354	0.064065	0.590066	0.544726
MSTRG.87	-	chr1	-	2017706	2024879	3.458382	35.756954	33.009445
MSTRG.7	-	chr1	+	2095539	2097445	2.784929	25.650389	23.679451
Zm00001eb000500	-	chr1	-	2099970	2104244	0.164678	1.544948	1.426237
Zm00001eb000510	-	chr1	-	2144815	2147163	0.128846	1.186727	1.095541
MSTRG.20	-	chr1	-	2147897	2161903	0.505638	4.815571	4.445550
MSTRG.3	-	chr1	-	2275575	2280181	0.285787	2.709515	2.501319
Zm00001eb000570	-	chr1	+	2288852	2293806	0.117684	1.109332	1.024092
MSTRG.13	-	chr1	+	2514265	2522242	0.944486	8.699121	8.030693
Zm00001eb000600	-	chr1	-	2553424	2556496	0.000000	0.000000	0.000000
MSTRG.19	-	chr1	-	2620295	2626950	1.042085	13.147333	12.137113
Zm00001eb000640	-	chr1	+	2737442	2740118	0.147129	1.355121	1.250996
Zm00001eb000650	-	chr1	+	2765072	2771704	0.149413	1.699241	1.568674
MSTRG.14	-	chr1	-	2772158	2773573	3.442609	32.540913	30.040518
MSTRG.15	-	chr1	+	2800774	2803236	1.719424	16.232090	14.984840
MSTRG.36	-	chr1	+	2810082	2817677	0.692812	6.902709	6.372315
MSTRG.10	-	chr1	-	2817998	2820996	4.674589	43.054966	39.746689
MSTRG.18	-	chr1	+	2860721	2869355	0.536570	4.942039	4.562301
MSTRG.23	-	chr1	+	2874505	2883698	0.355375	4.978099	4.595589
