""	"ensembl_gene_id"	"ensembl_transcript_id"	"ensembl_peptide_id"	"start_position"	"end_position"	"gene_biotype"	"source"	"refseq_dna"	"entrezgene_id"	"go_id"
"1"	"Zm00001eb000380"	"Zm00001eb000380_T001"	"Zm00001eb000380_P001"	1706577	1707999	"protein_coding"	"ensembl"	"NM_001305813.1"	541908	"GO:0005576"
"2"	"Zm00001eb000380"	"Zm00001eb000380_T001"	"Zm00001eb000380_P001"	1706577	1707999	"protein_coding"	"ensembl"	"NM_001305813.1"	541908	"GO:0019953"
"3"	"Zm00001eb000380"	"Zm00001eb000380_T001"	"Zm00001eb000380_P001"	1706577	1707999	"protein_coding"	"ensembl"	"NM_001305813.1"	541908	"GO:0071555"
"4"	"Zm00001eb000380"	"Zm00001eb000380_T001"	"Zm00001eb000380_P001"	1706577	1707999	"protein_coding"	"ensembl"	"NM_001305813.1"	541908	"GO:0009653"
"5"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0005975"
"6"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0005618"
"7"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0004553"
"8"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0048046"
"9"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0016762"
"10"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0042546"
"11"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0010411"
"12"	"Zm00001eb000660"	"Zm00001eb000660_T001"	"Zm00001eb000660_P001"	2772158	2773573	"protein_coding"	"ensembl"	""	100194192	"GO:0006073"
"13"	"Zm00001eb000660"	"Zm00001eb000660_T002"	"Zm00001eb000660_P002"	2772158	2773573	"protein_coding"	"ensembl"	"NM_001139237.1"	100194192	"GO:0071555"
