Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Zm00001eb000010	-	chr1	+	34617	40204	0.134993	1.270849	1.442520
MSTRG.4	-	chr1	-	41214	46762	2.723327	31.148952	35.356686
Zm00001eb000080	-	chr1	-	200262	203393	0.525892	4.950844	5.619624
Zm00001eb000170	-	chr1	-	550834	564766	0.205518	2.111827	2.397102
Zm00001eb000180	-	chr1	+	551078	552061	0.000000	0.000000	0.000000
MSTRG.16	-	chr1	+	679957	680801	0.041702	0.392590	0.445623
MSTRG.17	-	chr1	-	679957	708016	0.754940	17.781000	20.182934
MSTRG.6	-	chr1	+	1003108	1014318	0.000000	0.000000	0.000000
MSTRG.1	-	chr1	+	1018151	1020839	2.011488	25.004747	28.382494
MSTRG.8	-	chr1	+	1022421	1026593	1.087249	16.597582	18.839653
MSTRG.9	-	chr1	-	1025166	1028066	0.255189	2.402396	2.726922
Zm00001eb000270	-	chr1	-	1060487	1063436	0.000000	0.000000	0.000000
MSTRG.5	-	chr1	-	1198348	1200495	0.788432	7.422443	8.425098
Zm00001eb000310	-	chr1	-	1201797	1210068	0.000000	0.000000	0.000000
MSTRG.2	-	chr1	-	1217679	1222212	1.930556	18.174608	20.629709
Zm00001eb000330	-	chr1	-	1222255	1227093	0.162218	1.527150	1.733444
MSTRG.30	-	chr1	+	1483183	1523873	2.332016	22.602192	25.655392
MSTRG.25	-	chr1	-	1601134	1602423	7.158424	67.390717	76.494133
MSTRG.43	-	chr1	+	1706577	1707999	0.320450	3.016775	3.424294
Zm00001eb000420	-	chr1	-	1832425	1834566	0.748985	7.051082	8.003572
MSTRG.11	-	chr1	-	1932708	1933552	10.566864	99.478394	112.916351
Zm00001eb000460	-	chr1	-	2009997	2012200	0.000000	0.000000	0.000000
Zm00001eb000470	-	chr1	+	2010318	2012354	0.213058	2.005767	2.276715
MSTRG.87	-	chr1	-	2017706	2024879	6.079494	64.247742	72.926598
MSTRG.7	-	chr1	+	2095539	2097445	5.881188	55.366581	62.845730
Zm00001eb000500	-	chr1	-	2099970	2104244	0.072515	0.695350	0.789281
MSTRG.20	-	chr1	-	2147897	2161903	0.616157	9.539024	10.827596
MSTRG.3	-	chr1	-	2275575	2280181	1.181355	11.522753	13.079295
MSTRG.13	-	chr1	+	2514265	2522242	1.109538	10.445394	11.856401
Zm00001eb000600	-	chr1	-	2553424	2556496	0.309750	2.935832	3.332416
MSTRG.19	-	chr1	-	2620295	2626950	0.547876	7.259352	8.239976
Zm00001eb000640	-	chr1	+	2737442	2740118	0.253441	2.385940	2.708243
Zm00001eb000650	-	chr1	+	2765072	2771704	0.278123	2.908333	3.301203
MSTRG.14	-	chr1	-	2772158	2773573	1.215524	11.743797	13.330199
MSTRG.15	-	chr1	+	2800774	2803236	2.240288	21.290842	24.166901
MSTRG.12	-	chr1	-	2803474	2804769	0.763295	9.388530	10.656772
MSTRG.36	-	chr1	+	2810082	2817677	0.648171	6.998682	7.944094
MSTRG.10	-	chr1	-	2817998	2820996	2.730347	25.703987	29.176189
MSTRG.18	-	chr1	+	2860721	2869355	1.416181	13.332188	15.133155
MSTRG.23	-	chr1	+	2874505	2883698	0.000000	0.000000	0.000000
MSTRG.24	-	chr1	-	2875398	2880118	0.000000	0.000000	0.000000
MSTRG.26	-	chr1	+	2925178	2926144	2.282316	21.486141	24.388578
MSTRG.29	-	chr1	+	2950594	2963259	2.357829	22.197035	25.195503
MSTRG.70	-	chr1	+	2965331	2968509	0.617578	5.813993	6.599371
MSTRG.71	-	chr1	-	2967642	2988230	2.262406	22.693642	25.759193
Zm00001eb000820	-	chr1	+	3022946	3028004	0.408656	4.213478	4.782652
MSTRG.28	-	chr1	+	3042596	3044181	0.949565	9.716717	11.029291
MSTRG.27	-	chr1	-	3086161	3086776	8.587663	80.845833	91.766823
MSTRG.21	-	chr1	+	3095249	3113958	1.689731	16.367649	18.578661
