""	"V1"
"Zm00001eb101010"	7.89259532688159e-06
"Zm00001eb023450"	8.34433979449187e-06
"Zm00001eb158770"	8.67922511660415e-06
"Zm00001eb326800"	8.79690665969341e-06
"Zm00001eb401590"	2.0628826763406e-05
"Zm00001eb019930"	2.07664280972881e-05
"Zm00001eb341940"	2.77084675703086e-05
"Zm00001eb431730"	3.18481698712821e-05
"Zm00001eb423570"	3.24118531913909e-05
"Zm00001eb024440"	3.35903136257107e-05
"Zm00001eb395970"	3.38811417319374e-05
"Zm00001eb019390"	3.58736912215647e-05
"Zm00001eb258900"	3.63136387180871e-05
"Zm00001eb413800"	4.05185982613378e-05
"Zm00001eb340400"	4.98808866195645e-05
"Zm00001eb133230"	5.54245527160949e-05
"Zm00001eb092080"	6.34001382949706e-05
"Zm00001eb254300"	6.67323155321618e-05
"Zm00001eb223050"	6.99926329402079e-05
"Zm00001eb045760"	7.17456198472646e-05
"Zm00001eb425860"	7.19775963444485e-05
"Zm00001eb160730"	7.34807303698018e-05
"Zm00001eb193970"	7.45397170625081e-05
"Zm00001eb321910"	7.7875741813586e-05
"Zm00001eb392160"	7.84427009480363e-05
"Zm00001eb269190"	8.4004485096795e-05
"Zm00001eb082500"	9.04049120166032e-05
"Zm00001eb339360"	9.61833394089301e-05
"Zm00001eb077490"	0.000101565961391405
"Zm00001eb290590"	0.000105569166355506
"Zm00001eb177560"	0.000106858595777077
"Zm00001eb335470"	0.000109932638027377
"Zm00001eb374110"	0.000110434040801991
"Zm00001eb093460"	0.000111828454156368
"Zm00001eb089250"	0.000112893871661238
"Zm00001eb020110"	0.00011526918435624
"Zm00001eb048820"	0.000122065112775175
"Zm00001eb165770"	0.00012215489392916
"Zm00001eb142430"	0.000123480672620403
"Zm00001eb307730"	0.000127770898715106
"Zm00001eb318370"	0.000128252964958736
"Zm00001eb256270"	0.000129362879707597
"Zm00001eb357670"	0.000135416204959033
"Zm00001eb226710"	0.000141050408982824
"Zm00001eb311450"	0.000144497454557114
"Zm00001eb297330"	0.000144630736614312
"Zm00001eb043920"	0.000158964231831277
"Zm00001eb247510"	0.000160624298764604
"Zm00001eb378200"	0.000171030774376749
"Zm00001eb433000"	0.000174712348277063
"Zm00001eb168950"	0.000174860317142472
"Zm00001eb049950"	0.00017842590426956
"Zm00001eb198750"	0.000181206522560028
"Zm00001eb081070"	0.00018169558546853
"Zm00001eb368990"	0.000198590852080103
"Zm00001eb391700"	0.000200951053411167
"Zm00001eb195930"	0.000201109083049669
"Zm00001eb212640"	0.000210789652048688
"Zm00001eb102030"	0.000210967013013915
"Zm00001eb280700"	0.000211725294548519
"Zm00001eb057040"	0.000212411700742534
"Zm00001eb178890"	0.000216943831441187
"Zm00001eb191370"	0.000221289268119339
"Zm00001eb215320"	0.00022176066224492
"Zm00001eb248630"	0.000243511005953638
"Zm00001eb400930"	0.000244870231020696
"Zm00001eb001780"	0.000257473413019584
"Zm00001eb104400"	0.000263257364156837
"Zm00001eb193760"	0.000268879768762206
"Zm00001eb314250"	0.00027116725901254
"Zm00001eb342740"	0.000275748029968418
"Zm00001eb001560"	0.000280002897318044
"Zm00001eb267390"	0.000280071808845497
"Zm00001eb306550"	0.000280252031424959
"Zm00001eb213060"	0.000291856404511358
"Zm00001eb054370"	0.00029483302693805
"Zm00001eb434280"	0.000299392187911217
"Zm00001eb104480"	0.000308038324064737
"Zm00001eb181850"	0.000308490937606437
"Zm00001eb371200"	0.000310716887085978
"Zm00001eb228970"	0.000311075552474396
"Zm00001eb049810"	0.00031255946379459
"Zm00001eb356820"	0.000323116459126104
"Zm00001eb085130"	0.000327236981176534
"Zm00001eb142620"	0.000330133357524185
"Zm00001eb282900"	0.000336050738145845
"Zm00001eb012590"	0.000342548359598399
"Zm00001eb394540"	0.000345726739156195
"Zm00001eb117420"	0.000358889943081525
"Zm00001eb214420"	0.000363205739896778
"Zm00001eb063990"	0.000367045080692561
"Zm00001eb255310"	0.000367545152644612
"Zm00001eb019460"	0.000373082471343182
"Zm00001eb288390"	0.000380680150357945
"Zm00001eb410440"	0.00038113417789496
"Zm00001eb357260"	0.00038219855809306
"Zm00001eb131070"	0.00038246079697739
"Zm00001eb208050"	0.000387496033257394
"Zm00001eb334960"	0.000387826823700389
"Zm00001eb069320"	0.000390999154264051
"Zm00001eb319620"	0.00039816859567319
"Zm00001eb297970"	0.000406285636497328
"Zm00001eb110520"	0.000407148739530366
"Zm00001eb030190"	0.000409583318547316
"Zm00001eb102400"	0.000412406443343309
"Zm00001eb365940"	0.000414404319770537
"Zm00001eb152430"	0.000418918746024765
"Zm00001eb045930"	0.000420893743485775
"Zm00001eb085940"	0.000431114345621959
"Zm00001eb160740"	0.00043422094056351
"Zm00001eb034700"	0.000434946061228874
"Zm00001eb270270"	0.000442831769204294
"Zm00001eb431850"	0.000443374870514974
"Zm00001eb398970"	0.00044528489734717
"Zm00001eb269840"	0.000447223065630061
"Zm00001eb392400"	0.000462532662192546
"Zm00001eb308540"	0.000467499448525703
"Zm00001eb209100"	0.000477721885159918
"Zm00001eb080080"	0.000483479904379101
"Zm00001eb357110"	0.000487110850005967
"Zm00001eb001110"	0.000489374552671035
"Zm00001eb140090"	0.000490153223349985
"Zm00001eb276850"	0.000490639528485004
"Zm00001eb124410"	0.000495955898070654
"Zm00001eb228170"	0.000514155037918402
"Zm00001eb075450"	0.000529407100088656
"Zm00001eb282710"	0.000546873099496971
"Zm00001eb378280"	0.000566038300613557
"Zm00001eb145800"	0.000566514574026555
"Zm00001eb389210"	0.000566816370489189
"Zm00001eb266560"	0.000580339124453248
"Zm00001eb151270"	0.000582155219767672
"Zm00001eb019510"	0.000587334716485515
"Zm00001eb289880"	0.000590432176370632
"Zm00001eb185530"	0.000593781437285314
"Zm00001eb078150"	0.000593960554222776
"Zm00001eb423440"	0.000597828149264684
"Zm00001eb399860"	0.000598200816168434
"Zm00001eb107190"	0.000599993868757386
"Zm00001eb165600"	0.00060495846200067
"Zm00001eb419040"	0.00060833524165292
"Zm00001eb195020"	0.000608570045702836
"Zm00001eb159290"	0.00061089513953021
"Zm00001eb223200"	0.00062486903945011
"Zm00001eb179130"	0.000625366980719784
"Zm00001eb376840"	0.000626385995491641
"Zm00001eb171060"	0.000629677330996297
"Zm00001eb114120"	0.000631922513207621
"Zm00001eb380460"	0.000638797987826324
"Zm00001eb110250"	0.000640589921267214
"Zm00001eb293320"	0.000643179216211762
"Zm00001eb237960"	0.000649216995823384
"Zm00001eb129570"	0.000650978545689446
"Zm00001eb082160"	0.000652054107718555
"Zm00001eb024130"	0.000664537151491105
"Zm00001eb016880"	0.000664627748676298
"Zm00001eb169420"	0.000664630225887613
