ENSEMBL_GeneID	C_24_Tol	T_24_Tol
Zm00001eb267030	501476	524164
Zm00001eb078440	193842	177427
Zm00001eb090830	179962	95583
Zm00001eb411380	14490	9987
Zm00001eb137410	106482	72535
Zm00001eb164750	70656	70890
Zm00001eb404790	72554	72222
Zm00001eb137390	73930	68855
Zm00001eb170040	81109	63759
Zm00001eb165580	99674	64191
Zm00001eb169520	72222	79045
Zm00001eb404780	66829	56000
Zm00001eb032290	83313	70982
Zm00001eb418460	56021	62030
Zm00001eb137480	66601	49072
Zm00001eb353970	93180	51121
Zm00001eb003730	70207	51424
Zm00001eb164610	66746	42505
Zm00001eb144960	33609	36220
Zm00001eb340450	64860	30778
Zm00001eb406100	54338	45391
Zm00001eb172420	59035	31079
Zm00001eb164860	58223	52290
Zm00001eb039010	77903	44522
Zm00001eb385900	49994	51515
Zm00001eb015620	30484	35162
Zm00001eb261430	45022	39608
Zm00001eb225230	39910	31448
Zm00001eb247610	40899	28245
Zm00001eb136490	48453	33882
Zm00001eb167690	47474	25705
Zm00001eb303190	28588	29633
Zm00001eb365710	40051	44301
Zm00001eb218320	36322	29998
Zm00001eb252870	40236	30814
Zm00001eb101770	27102	21668
Zm00001eb276860	37037	38479
Zm00001eb029200	50616	35030
Zm00001eb413630	47632	38424
Zm00001eb039550	38613	38094
Zm00001eb165550	35407	22556
Zm00001eb144240	28731	28512
Zm00001eb285210	36727	32338
Zm00001eb228620	28968	33760
Zm00001eb374090	20898	29011
Zm00001eb057810	30803	24134
Zm00001eb240700	18823	26575
Zm00001eb245610	33562	33268
Zm00001eb206040	38848	29276
Zm00001eb206930	29626	27244
Zm00001eb229550	31662	30505
Zm00001eb306030	33445	17477
Zm00001eb108410	30928	33774
Zm00001eb356050	29899	25832
Zm00001eb370330	31999	18201
Zm00001eb165610	26043	10770
Zm00001eb247630	30883	25908
Zm00001eb320800	25303	22394
Zm00001eb215710	29992	22559
Zm00001eb247590	32793	26709
Zm00001eb299450	24311	13733
Zm00001eb062180	28039	25904
Zm00001eb149490	32553	34743
Zm00001eb371200	27539	29596
Zm00001eb377870	28307	29911
Zm00001eb054230	25747	24786
Zm00001eb080570	29958	33895
Zm00001eb327430	31142	28854
Zm00001eb023820	21959	17808
Zm00001eb213760	26568	25512
Zm00001eb392880	32512	26191
Zm00001eb272050	55858	35892
Zm00001eb026940	27346	25733
Zm00001eb354640	15443	15608
Zm00001eb283110	22203	18494
Zm00001eb032690	24661	18288
Zm00001eb013080	26963	18724
Zm00001eb418440	9383	16524
Zm00001eb144760	28504	27726
Zm00001eb165620	32310	21559
Zm00001eb121650	20388	22801
Zm00001eb352030	24679	25657
Zm00001eb091920	25057	14497
Zm00001eb032380	21433	23006
Zm00001eb261840	24347	29658
Zm00001eb129360	30498	20821
Zm00001eb055850	25955	19966
Zm00001eb312070	16053	11330
Zm00001eb059930	16884	24736
Zm00001eb255240	21448	22141
Zm00001eb304560	18636	14465
Zm00001eb096930	15807	17902
Zm00001eb369350	12656	8338
Zm00001eb326630	20487	22098
Zm00001eb116960	16512	22256
Zm00001eb393120	19328	19112
Zm00001eb013750	25518	24208
Zm00001eb285230	21349	19132
Zm00001eb323110	14875	18440
Zm00001eb033030	19391	13864
Zm00001eb404800	18457	17229
Zm00001eb303500	22343	18689
Zm00001eb375040	15149	24393
Zm00001eb411300	32601	15805
Zm00001eb189380	20505	17476
Zm00001eb285220	21119	20849
Zm00001eb233070	20135	16083
Zm00001eb329960	18568	18115
Zm00001eb303080	21372	18402
Zm00001eb160820	18874	18560
Zm00001eb101750	25997	20799
Zm00001eb057230	11724	6805
Zm00001eb095540	22399	19885
Zm00001eb022710	13235	10346
Zm00001eb171440	18552	16781
Zm00001eb160340	19849	20371
Zm00001eb268660	21927	18872
Zm00001eb346150	10638	16269
Zm00001eb415410	17016	19443
Zm00001eb053700	8824	13040
Zm00001eb249940	13800	6515
Zm00001eb334050	17071	17129
Zm00001eb186900	15771	8341
Zm00001eb103500	19018	18176
Zm00001eb238670	11346	10937
Zm00001eb294420	16222	17966
Zm00001eb277320	19976	19854
Zm00001eb013430	16092	9848
Zm00001eb062600	17837	14552
Zm00001eb096070	16556	13534
Zm00001eb236430	19589	12120
Zm00001eb173410	25766	18891
Zm00001eb327800	18294	13175
Zm00001eb109610	18477	18031
Zm00001eb070400	16203	16751
Zm00001eb427180	13865	25522
Zm00001eb126900	9092	9183
Zm00001eb291240	17035	19799
Zm00001eb137430	23902	19276
Zm00001eb170020	10951	12416
Zm00001eb045790	12329	14183
Zm00001eb285450	18542	15764
Zm00001eb050280	16764	14330
Zm00001eb199590	19457	13354
Zm00001eb424290	15912	14920
Zm00001eb256020	12617	13469
Zm00001eb385040	14489	13920
Zm00001eb306400	14457	7016
Zm00001eb330600	11362	20166
Zm00001eb124410	14722	15643
Zm00001eb219270	17875	16513
Zm00001eb234730	15708	10538
Zm00001eb316520	14020	7191
Zm00001eb304290	19505	13357
Zm00001eb158190	15826	13456
Zm00001eb387920	14006	14797
Zm00001eb063980	17773	20707
Zm00001eb096680	21157	10255
Zm00001eb298320	15409	11532
Zm00001eb154490	12862	8961
Zm00001eb216260	12804	13528
Zm00001eb138230	18507	17110
Zm00001eb332050	26214	9355
Zm00001eb366710	16270	25207
Zm00001eb057690	12252	13332
Zm00001eb173220	19547	20704
Zm00001eb372570	16351	11656
Zm00001eb042670	13012	15250
Zm00001eb277330	13637	10923
Zm00001eb296460	11377	9892
Zm00001eb397500	16742	15880
Zm00001eb052750	16689	14711
Zm00001eb221000	6211	8994
Zm00001eb068400	13996	9381
Zm00001eb020340	9340	8040
Zm00001eb393200	15071	15442
Zm00001eb211010	17517	16991
Zm00001eb034220	14935	8447
Zm00001eb163700	16177	14952
Zm00001eb040460	15782	12268
Zm00001eb229460	13462	7005
Zm00001eb095350	9470	6964
Zm00001eb233450	14061	11579
Zm00001eb128330	17000	12900
Zm00001eb190060	10745	17517
Zm00001eb409870	15586	10884
Zm00001eb272920	14773	13224
Zm00001eb169970	11820	11959
Zm00001eb070950	14776	15481
Zm00001eb165590	12080	12322
Zm00001eb184000	11358	9445
Zm00001eb222570	13809	13042
Zm00001eb285610	14892	15781
Zm00001eb346210	16924	13602
Zm00001eb198420	15798	15695
Zm00001eb136750	17095	10863
Zm00001eb212470	15148	15079
Zm00001eb056450	13438	8040
Zm00001eb415630	13972	8057
Zm00001eb078210	15589	12699
Zm00001eb144930	7454	8370
Zm00001eb133810	8498	6602
Zm00001eb335880	14995	13474
Zm00001eb285890	14688	11757
Zm00001eb215310	13422	10270
Zm00001eb040570	15306	4787
Zm00001eb194190	10180	11593
Zm00001eb419190	17577	7514
Zm00001eb391690	10077	6223
Zm00001eb342400	13889	15899
Zm00001eb214560	13443	8967
Zm00001eb294160	12841	13617
Zm00001eb043450	10521	10357
Zm00001eb185240	10668	8082
Zm00001eb308350	12791	9550
Zm00001eb282710	11298	12087
Zm00001eb417450	10112	10529
Zm00001eb130220	12665	13240
Zm00001eb108120	10765	15034
Zm00001eb400820	15101	14782
Zm00001eb213080	13424	12143
Zm00001eb397180	7871	5712
Zm00001eb226920	12214	11357
Zm00001eb242260	14004	11387
Zm00001eb417370	9208	8338
Zm00001eb310700	13702	12563
Zm00001eb267260	11852	10800
Zm00001eb116010	14793	3147
Zm00001eb090730	12199	13027
Zm00001eb282790	14332	12366
Zm00001eb129440	9690	9584
Zm00001eb340580	11754	12888
Zm00001eb329250	14974	10327
Zm00001eb010790	11545	10647
Zm00001eb365200	12818	11198
Zm00001eb340370	11544	10778
Zm00001eb246370	9988	7998
Zm00001eb378000	12549	11978
Zm00001eb228370	8690	7672
Zm00001eb247760	16471	5169
Zm00001eb215120	9092	7942
Zm00001eb376570	9683	6238
Zm00001eb219490	12302	13244
Zm00001eb396730	12915	12302
Zm00001eb087960	22759	16065
Zm00001eb313850	17507	23238
Zm00001eb320980	12247	12895
Zm00001eb344440	13285	12463
Zm00001eb335620	12045	13802
Zm00001eb206090	18665	14680
Zm00001eb412370	12528	9605
Zm00001eb172130	13030	12991
Zm00001eb020200	12944	11656
Zm00001eb028980	10662	12557
Zm00001eb164780	12228	9834
Zm00001eb301010	14257	12327
