""	"bwnet_20$colors"
"Zm00001eb267030"	"ivory"
"Zm00001eb078440"	"red"
"Zm00001eb090830"	"salmon"
"Zm00001eb411380"	"turquoise"
"Zm00001eb137410"	"tan"
"Zm00001eb164750"	"black"
"Zm00001eb404790"	"black"
"Zm00001eb137390"	"turquoise"
"Zm00001eb170040"	"darkmagenta"
"Zm00001eb165580"	"mediumpurple3"
"Zm00001eb169520"	"green"
"Zm00001eb404780"	"black"
"Zm00001eb032290"	"blue"
"Zm00001eb418460"	"purple"
"Zm00001eb137480"	"red"
"Zm00001eb353970"	"salmon"
"Zm00001eb003730"	"magenta"
"Zm00001eb164610"	"darkred"
"Zm00001eb144960"	"red"
"Zm00001eb340450"	"green"
"Zm00001eb406100"	"red"
"Zm00001eb172420"	"orangered4"
"Zm00001eb164860"	"blue"
"Zm00001eb039010"	"brown"
"Zm00001eb385900"	"green"
"Zm00001eb015620"	"turquoise"
"Zm00001eb261430"	"yellow"
"Zm00001eb225230"	"darkturquoise"
"Zm00001eb247610"	"red"
"Zm00001eb136490"	"lightcyan"
"Zm00001eb167690"	"magenta"
"Zm00001eb303190"	"red"
"Zm00001eb365710"	"green"
"Zm00001eb218320"	"yellow"
"Zm00001eb252870"	"lightyellow"
"Zm00001eb101770"	"yellow"
"Zm00001eb276860"	"green"
"Zm00001eb029200"	"blue"
"Zm00001eb413630"	"brown"
"Zm00001eb039550"	"blue"
"Zm00001eb165550"	"magenta"
"Zm00001eb144240"	"pink"
"Zm00001eb285210"	"green"
"Zm00001eb228620"	"pink"
"Zm00001eb374090"	"greenyellow"
"Zm00001eb057810"	"yellow"
"Zm00001eb240700"	"greenyellow"
"Zm00001eb245610"	"cyan"
"Zm00001eb206040"	"green"
"Zm00001eb206930"	"salmon"
"Zm00001eb229550"	"green"
"Zm00001eb306030"	"red"
"Zm00001eb108410"	"green"
"Zm00001eb356050"	"yellow"
"Zm00001eb370330"	"green"
"Zm00001eb165610"	"turquoise"
"Zm00001eb247630"	"green"
"Zm00001eb320800"	"yellow"
"Zm00001eb215710"	"greenyellow"
"Zm00001eb247590"	"green"
"Zm00001eb299450"	"blue"
"Zm00001eb062180"	"tan"
"Zm00001eb149490"	"midnightblue"
"Zm00001eb371200"	"tan"
"Zm00001eb377870"	"green"
"Zm00001eb054230"	"black"
"Zm00001eb080570"	"green"
"Zm00001eb327430"	"green"
"Zm00001eb023820"	"turquoise"
"Zm00001eb213760"	"yellow"
"Zm00001eb392880"	"white"
"Zm00001eb272050"	"brown"
"Zm00001eb026940"	"green"
"Zm00001eb354640"	"brown"
"Zm00001eb283110"	"greenyellow"
"Zm00001eb032690"	"yellow"
"Zm00001eb013080"	"green"
"Zm00001eb418440"	"greenyellow"
"Zm00001eb144760"	"green"
"Zm00001eb165620"	"grey60"
"Zm00001eb121650"	"pink"
"Zm00001eb352030"	"green"
"Zm00001eb091920"	"red"
"Zm00001eb032380"	"brown"
"Zm00001eb261840"	"green"
"Zm00001eb129360"	"turquoise"
"Zm00001eb055850"	"tan"
"Zm00001eb312070"	"magenta"
"Zm00001eb059930"	"ivory"
"Zm00001eb255240"	"purple"
"Zm00001eb304560"	"greenyellow"
"Zm00001eb096930"	"turquoise"
"Zm00001eb369350"	"turquoise"
"Zm00001eb326630"	"green"
"Zm00001eb116960"	"yellow"
"Zm00001eb393120"	"sienna3"
"Zm00001eb013750"	"green"
"Zm00001eb285230"	"yellow"
"Zm00001eb323110"	"yellow"
"Zm00001eb033030"	"greenyellow"
"Zm00001eb404800"	"black"
"Zm00001eb303500"	"salmon4"
"Zm00001eb375040"	"purple"
"Zm00001eb411300"	"salmon"
"Zm00001eb189380"	"green"
"Zm00001eb285220"	"green"
"Zm00001eb233070"	"yellow"
"Zm00001eb329960"	"plum2"
"Zm00001eb303080"	"green"
"Zm00001eb160820"	"pink"
"Zm00001eb101750"	"midnightblue"
"Zm00001eb057230"	"greenyellow"
"Zm00001eb095540"	"green"
"Zm00001eb022710"	"red"
"Zm00001eb171440"	"purple"
"Zm00001eb160340"	"green"
"Zm00001eb268660"	"greenyellow"
"Zm00001eb346150"	"black"
"Zm00001eb415410"	"green"
"Zm00001eb053700"	"black"
"Zm00001eb249940"	"blue"
"Zm00001eb334050"	"green"
"Zm00001eb186900"	"red"
"Zm00001eb103500"	"red"
"Zm00001eb238670"	"turquoise"
"Zm00001eb294420"	"magenta"
"Zm00001eb277320"	"blue"
"Zm00001eb013430"	"greenyellow"
"Zm00001eb062600"	"skyblue"
"Zm00001eb096070"	"greenyellow"
"Zm00001eb236430"	"red"
"Zm00001eb173410"	"brown"
"Zm00001eb327800"	"greenyellow"
"Zm00001eb109610"	"green"
"Zm00001eb070400"	"tan"
"Zm00001eb427180"	"pink"
"Zm00001eb126900"	"saddlebrown"
"Zm00001eb291240"	"green"
"Zm00001eb137430"	"turquoise"
"Zm00001eb170020"	"black"
"Zm00001eb045790"	"salmon"
"Zm00001eb285450"	"green"
"Zm00001eb050280"	"steelblue"
"Zm00001eb199590"	"black"
"Zm00001eb424290"	"yellow"
"Zm00001eb256020"	"yellow"
"Zm00001eb385040"	"yellow"
"Zm00001eb306400"	"red"
"Zm00001eb330600"	"pink"
"Zm00001eb124410"	"green"
"Zm00001eb219270"	"green"
"Zm00001eb234730"	"yellow"
"Zm00001eb316520"	"blue"
"Zm00001eb304290"	"red"
"Zm00001eb158190"	"purple"
"Zm00001eb387920"	"black"
"Zm00001eb063980"	"blue"
"Zm00001eb096680"	"pink"
"Zm00001eb298320"	"greenyellow"
"Zm00001eb154490"	"blue"
"Zm00001eb216260"	"salmon"
"Zm00001eb138230"	"green"
"Zm00001eb332050"	"purple"
"Zm00001eb366710"	"blue"
"Zm00001eb057690"	"yellow"
"Zm00001eb173220"	"blue"
"Zm00001eb372570"	"darkturquoise"
"Zm00001eb042670"	"yellow"
"Zm00001eb277330"	"yellow"
"Zm00001eb296460"	"black"
"Zm00001eb397500"	"green"
"Zm00001eb052750"	"blue"
"Zm00001eb221000"	"lightpink4"
"Zm00001eb068400"	"greenyellow"
"Zm00001eb020340"	"cyan"
"Zm00001eb393200"	"green"
"Zm00001eb211010"	"blue"
"Zm00001eb034220"	"lightyellow"
"Zm00001eb163700"	"green"
"Zm00001eb040460"	"bisque4"
"Zm00001eb229460"	"ivory"
"Zm00001eb095350"	"greenyellow"
